date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2018-01-12,9.55,9.55,9.45,9.41,140868.16,-0.08,-0.84,9.31,9.067,8.927,214118.36,180195.55,160150.15,1.02
2018-01-11,9.23,9.56,9.53,9.21,334725.56,0.3,3.25,9.224,8.987,8.89,221377.29,185274.05,157776.6,2.43
2018-01-10,9.23,9.37,9.23,9.16,134833.22,-0.07,-0.75,9.09,8.904,8.853,171838.99,174096.7,153132.69,0.98
2018-01-09,9.28,9.47,9.3,9.14,328318.31,0.26,2.88,9.012,8.873,8.821,172591.41,173194.25,155529.39,2.38
2018-01-08,9.01,9.1,9.04,8.93,131846.53,0.02,0.22,8.91,8.813,8.784,147223.13,156343.51,150610.76,0.96
2018-01-05,8.82,9.14,9.02,8.82,177162.84,0.16,1.81,8.824,8.795,8.761,146272.74,152285.14,153288.59,1.29
2018-01-04,8.85,8.89,8.86,8.79,87034.03,0.02,0.23,8.75,8.778,8.738,149170.81,146393.55,153569.77,0.63
2018-01-03,8.83,8.9,8.84,8.76,138595.34,0.05,0.57,8.718,8.78,8.718,176354.41,146577.92,161175.81,1.01
2018-01-02,8.62,8.88,8.79,8.58,201476.92,0.18,2.09,8.734,8.789,8.691,173797.09,151752.68,161624.87,1.46
2017-12-29,8.6,8.68,8.61,8.53,127094.58,-0.04,-0.46,8.716,8.782,8.667,165463.88,145495.72,158989.37,0.92
2017-12-28,8.7,8.74,8.65,8.57,191653.2,-0.05,-0.57,8.766,8.787,8.652,158297.53,140104.75,158807.75,1.39
2017-12-27,8.91,8.92,8.7,8.63,222952.0,-0.22,-2.47,8.806,8.793,8.633,143616.29,130279.16,155304.14,1.62
2017-12-26,8.71,8.94,8.92,8.68,125808.76,0.22,2.53,8.842,8.802,8.618,116801.43,132168.68,152274.35,0.91
2017-12-25,8.85,8.86,8.7,8.63,159810.86,-0.16,-1.81,8.844,8.768,8.593,129708.26,137864.53,150705.99,1.16
2017-12-22,8.86,8.87,8.86,8.75,91262.85,0.01,0.11,8.848,8.755,8.578,125527.55,144878.02,147411.97,0.66
2017-12-21,8.84,8.93,8.85,8.69,118246.98,-0.03,-0.34,8.808,8.726,8.558,121911.98,154292.04,147851.98,0.86
2017-12-20,8.94,8.96,8.88,8.83,88877.68,-0.05,-0.56,8.78,8.698,8.535,116942.02,160745.99,146385.37,0.64
2017-12-19,8.75,9.03,8.93,8.72,190342.95,0.21,2.41,8.762,8.655,8.519,147535.93,175773.71,150845.48,1.38
2017-12-18,8.66,8.79,8.72,8.59,138907.3,0.06,0.69,8.692,8.592,8.493,146020.8,171497.07,146922.63,1.01
2017-12-15,8.66,8.74,8.66,8.62,73184.97,-0.05,-0.57,8.662,8.551,8.486,164228.49,172483.03,145486.14,0.53
2017-12-14,8.76,8.83,8.71,8.68,93397.21,-0.08,-0.91,8.644,8.516,8.481,186672.11,177510.74,154926.59,0.68
2017-12-13,8.58,8.8,8.79,8.52,241847.2,0.21,2.45,8.616,8.472,8.485,204549.96,180329.12,158664.77,1.75
2017-12-12,8.56,8.64,8.58,8.45,182767.31,0.01,0.12,8.548,8.433,8.49,204011.49,172380.03,152571.33,1.33
2017-12-11,8.58,8.68,8.57,8.53,229945.77,0.0,0.0,8.492,8.418,8.513,196973.34,163547.45,149308.91,1.67
2017-12-08,8.52,8.72,8.57,8.49,185403.08,0.0,0.0,8.44,8.401,8.536,180737.56,149945.91,148012.63,1.34
2017-12-07,8.41,8.66,8.57,8.4,182786.44,0.12,1.42,8.388,8.39,8.567,168349.36,141411.91,145124.08,1.33
2017-12-06,8.25,8.45,8.45,8.23,239154.84,0.15,1.81,8.328,8.372,8.598,156108.27,132024.75,141333.53,1.73
2017-12-05,8.31,8.34,8.3,8.12,147576.59,-0.01,-0.12,8.318,8.383,8.636,140748.57,125917.26,135896.2,1.07
2017-12-04,8.34,8.43,8.31,8.3,148766.84,0.0,0.0,8.344,8.394,8.68,130121.56,122348.18,134157.24,1.08
2017-12-01,8.29,8.38,8.31,8.22,123462.1,0.04,0.48,8.362,8.421,8.726,119154.27,118489.25,133090.32,0.9
2017-11-30,8.36,8.39,8.27,8.24,121581.0,-0.13,-1.55,8.392,8.445,8.773,114474.45,132342.45,132152.97,0.88
2017-11-29,8.44,8.44,8.4,8.24,162356.3,-0.03,-0.36,8.416,8.497,8.829,107941.23,137000.42,131156.14,1.18
2017-11-28,8.35,8.47,8.43,8.34,94441.57,0.03,0.36,8.448,8.546,8.883,111085.95,132762.64,127605.13,0.69
2017-11-27,8.43,8.45,8.4,8.29,93930.38,-0.06,-0.71,8.444,8.608,8.934,114574.8,135070.37,128469.61,0.68
2017-11-24,8.39,8.46,8.46,8.27,100063.02,0.07,0.83,8.48,8.67,8.976,117824.23,146079.35,130434.71,0.73
2017-11-23,8.52,8.56,8.39,8.37,88914.88,-0.17,-1.99,8.498,8.744,9.026,150210.44,148836.24,129385.09,0.64
2017-11-22,8.4,8.57,8.56,8.35,178079.92,0.15,1.78,8.578,8.823,9.087,166059.62,150642.3,130631.18,1.29
2017-11-21,8.53,8.57,8.41,8.4,111885.82,-0.17,-1.98,8.644,8.889,9.135,154439.33,145875.14,125937.64,0.81
2017-11-20,8.5,8.6,8.58,8.4,110177.51,0.03,0.35,8.772,8.966,9.19,155565.94,145966.31,125360.49,0.8
2017-11-17,8.78,8.78,8.55,8.35,261994.06,-0.24,-2.73,8.86,9.031,9.236,174334.46,147691.39,130112.67,1.9
2017-11-16,8.9,8.97,8.79,8.72,168160.77,-0.1,-1.12,8.99,9.101,9.27,147462.05,131963.49,120192.73,1.22
2017-11-15,9.05,9.06,8.89,8.89,119978.47,-0.16,-1.77,9.068,9.161,9.286,135224.98,125311.86,116676.7,0.87
2017-11-14,9.01,9.06,9.05,8.95,117518.88,0.03,0.33,9.134,9.219,9.303,137310.95,122447.62,115401.32,0.85
2017-11-13,9.21,9.29,9.02,9.0,204020.12,-0.18,-1.96,9.16,9.26,9.311,136366.67,121868.86,115273.35,1.48
2017-11-10,9.18,9.29,9.2,9.13,127632.01,0.02,0.22,9.202,9.281,9.319,121048.32,114790.07,119606.19,0.93
