date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2018-01-12,21.2,21.48,20.65,20.5,62875.74,-0.72,-3.37,20.602,20.482,20.928,75152.31,67384.6,92880.51,2.11
2018-01-11,20.7,21.5,21.37,20.48,97114.68,0.54,2.59,20.604,20.404,21.022,70225.14,80617.27,103224.59,3.26
2018-01-10,20.09,20.99,20.83,19.85,94735.31,0.81,4.05,20.448,20.406,21.041,64557.93,81371.25,105666.9,3.18
2018-01-09,19.98,20.15,20.02,19.75,45181.55,-0.12,-0.6,20.344,20.479,21.061,59171.65,80349.5,112353.93,1.52
2018-01-08,20.68,20.78,20.14,19.68,75854.28,-0.52,-2.52,20.394,20.642,21.119,63644.6,89711.94,125313.79,2.54
2018-01-05,20.79,20.79,20.66,20.44,38239.9,0.07,0.34,20.362,20.729,21.119,59616.89,91457.73,126184.89,1.28
2018-01-04,20.29,20.86,20.59,20.21,68778.63,0.28,1.38,20.204,20.79,21.084,91009.39,98258.54,129939.54,2.31
2018-01-03,20.05,20.47,20.31,19.95,67803.87,0.04,0.2,20.364,20.87,21.039,98184.56,99332.15,132068.99,2.27
2018-01-02,19.88,20.3,20.27,19.57,67546.31,0.29,1.45,20.614,21.019,20.973,101527.35,104300.46,135790.77,2.27
2017-12-29,19.85,20.2,19.98,19.84,55715.74,0.11,0.55,20.89,21.16,20.949,115779.28,108725.27,139092.28,1.87
2017-12-28,21.09,21.09,19.87,19.77,195202.41,-1.52,-7.11,21.096,21.374,20.966,123298.56,118376.42,145006.02,6.55
2017-12-27,21.49,22.25,21.39,21.34,104654.48,-0.17,-0.79,21.376,21.64,20.92,105507.68,125831.91,137271.64,3.51
2017-12-26,21.73,21.87,21.56,21.13,84517.83,-0.09,-0.42,21.376,21.675,20.814,100479.73,129962.56,135259.44,2.83
2017-12-25,21.1,22.26,21.65,21.1,138805.94,0.64,3.05,21.424,21.642,20.689,107073.57,144358.37,134479.66,4.66
2017-12-22,21.2,21.86,21.01,20.99,93312.14,-0.26,-1.22,21.43,21.596,20.517,101671.25,160915.65,131645.21,3.13
2017-12-21,21.31,21.68,21.27,20.63,106248.01,-0.12,-0.56,21.652,21.508,20.368,113454.28,160912.06,130359.36,3.56
2017-12-20,21.69,21.84,21.39,21.25,79514.74,-0.41,-1.88,21.904,21.377,20.234,146156.13,161620.55,130357.12,2.67
2017-12-19,21.76,22.03,21.8,21.24,117487.0,0.12,0.55,21.974,21.208,20.149,159445.39,164805.84,132205.42,3.94
2017-12-18,22.06,22.3,21.68,21.4,111794.36,-0.44,-1.99,21.86,20.926,20.057,181643.17,167281.08,132223.07,3.75
