date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2018-01-12,18.77,18.86,18.24,18.22,26676.09,-0.5,-2.67,18.504,18.592,18.832,33820.47,32709.19,31964.41,1.1
2018-01-11,18.4,18.9,18.74,18.1,35974.12,0.34,1.85,18.6,18.612,18.905,33375.77,32686.91,31681.46,1.48
2018-01-10,18.24,18.57,18.4,18.05,29690.78,0.07,0.38,18.6,18.578,18.961,33511.76,31658.8,31426.97,1.22
2018-01-09,18.41,18.68,18.33,18.22,35635.43,-0.48,-2.55,18.71,18.608,19.003,36002.1,31420.29,31126.09,1.46
2018-01-08,19.0,19.5,18.81,18.81,41125.95,0.09,0.48,18.786,18.599,19.072,34948.54,31371.08,31371.92,1.69
2018-01-05,18.71,18.88,18.72,18.63,24452.55,-0.02,-0.11,18.68,18.626,19.104,31597.91,29421.82,31227.26,1.0
2018-01-04,19.1,19.1,18.74,18.58,36654.08,-0.21,-1.11,18.624,18.662,19.114,31998.06,29528.0,31457.48,1.5
2018-01-03,18.71,19.08,18.95,18.54,42142.49,0.24,1.28,18.556,18.693,19.119,29805.85,29687.29,31443.31,1.73
2018-01-02,18.38,18.83,18.71,18.3,30367.61,0.43,2.35,18.506,18.787,19.09,26838.47,27851.04,31441.64,1.25
2017-12-29,18.66,18.66,18.28,18.11,24372.8,-0.16,-0.87,18.412,18.87,19.082,27793.62,28626.61,33854.65,1.0
2017-12-28,18.29,18.76,18.44,18.25,26453.33,0.04,0.22,18.572,19.071,19.191,27245.74,31219.63,34285.44,1.09
2017-12-27,18.78,18.87,18.4,18.17,25693.0,-0.3,-1.6,18.7,19.197,19.287,27057.94,30676.0,34390.3,1.05
2017-12-26,18.16,18.78,18.7,18.16,27305.62,0.46,2.52,18.83,19.343,19.378,29568.74,31195.15,34947.89,1.12
2017-12-25,18.84,19.06,18.24,18.1,35143.33,-0.84,-4.4,19.068,19.398,19.467,28863.61,30831.89,35453.76,1.44
2017-12-22,19.38,19.38,19.08,19.02,21633.41,0.0,0.0,19.328,19.544,19.55,29459.61,31372.77,35244.38,0.89
2017-12-21,19.1,19.33,19.08,18.88,25514.33,0.03,0.16,19.57,19.581,19.585,35193.53,33032.7,36161.44,1.05
2017-12-20,19.85,19.85,19.05,18.82,38247.03,-0.84,-4.22,19.694,19.565,19.619,34294.07,33386.96,37523.73,1.57
2017-12-19,19.55,19.98,19.89,19.55,23779.94,0.35,1.79,19.856,19.545,19.715,32821.55,33199.33,38839.02,0.98
2017-12-18,20.32,20.32,19.54,19.48,38123.32,-0.75,-3.7,19.728,19.393,19.814,32800.16,35032.25,40028.1,1.57
2017-12-15,19.22,20.45,20.29,19.22,50303.01,0.59,3.0,19.76,19.294,19.962,33285.94,39082.69,40488.35,2.07
2017-12-14,19.68,19.95,19.7,19.65,21017.03,-0.16,-0.81,19.592,19.31,20.057,30871.87,37351.24,42441.35,0.86
2017-12-13,19.25,19.95,19.86,19.08,30884.45,0.61,3.17,19.436,19.376,20.262,32479.86,38104.59,44262.1,1.27
2017-12-12,20.0,20.0,19.25,19.22,23673.01,-0.45,-2.28,19.234,19.412,20.496,33577.11,38700.63,46782.67,0.97
2017-12-11,19.87,20.38,19.7,19.6,40552.2,0.25,1.28,19.058,19.536,20.71,37264.33,40075.63,50445.09,1.66
2017-12-08,18.71,19.55,19.45,18.71,38232.68,0.53,2.8,18.828,19.555,20.952,44879.45,39115.98,52166.31,1.57
2017-12-07,18.85,19.09,18.92,18.67,29056.94,0.07,0.37,19.028,19.588,21.23,43830.61,39290.17,55142.82,1.19
2017-12-06,18.31,18.92,18.85,18.25,36370.73,0.48,2.61,19.316,19.672,21.522,43729.33,41660.51,58414.51,1.49
2017-12-05,18.27,18.88,18.37,18.01,42109.09,-0.18,-0.97,19.59,19.884,21.816,43824.15,44478.71,64890.29,1.73
2017-12-04,20.42,20.43,18.55,18.41,78627.8,-1.9,-9.29,20.014,20.235,22.189,42886.92,45023.95,68656.38,3.23
2017-12-01,20.3,20.66,20.45,20.22,32988.49,0.09,0.44,20.282,20.629,22.558,33352.51,41894.01,72169.96,1.35
2017-11-30,20.22,20.46,20.36,20.05,28550.53,0.14,0.69,20.148,20.804,22.777,34749.73,47531.46,77753.99,1.17
2017-11-29,20.55,20.57,20.22,19.96,36844.82,-0.27,-1.32,20.028,21.148,23.013,39591.69,50419.61,83151.75,1.51
2017-11-28,19.9,20.52,20.49,19.9,37422.97,0.6,3.02,20.178,21.579,23.24,45133.28,54864.71,87679.74,1.54
2017-11-27,20.08,20.28,19.89,19.81,30955.75,0.11,0.56,20.456,21.884,23.405,47160.97,60814.56,89081.82,1.27
2017-11-24,19.76,20.13,19.78,19.67,39974.58,0.02,0.1,20.976,22.349,23.566,50435.52,65216.64,92165.14,1.64
2017-11-23,20.73,20.95,19.76,19.71,52760.32,-1.21,-5.77,21.46,22.871,23.816,60313.2,70995.47,95085.58,2.17
2017-11-22,22.0,22.08,20.97,20.67,64552.76,-0.91,-4.16,22.268,23.372,24.043,61247.53,75168.51,95593.23,2.65
2017-11-21,22.42,22.65,21.88,21.65,47561.45,-0.61,-2.71,22.98,23.747,24.233,64596.15,85301.87,95808.98,1.95
2017-11-20,21.8,22.49,22.49,21.3,47328.47,0.29,1.31,23.312,24.142,24.384,74468.15,92288.81,99684.42,1.94
2017-11-17,23.63,23.95,22.2,21.5,89362.98,-1.6,-6.72,23.722,24.487,24.481,79997.77,102445.9,103655.67,3.67
2017-11-16,24.3,24.74,23.8,23.8,57432.01,-0.73,-2.98,24.282,24.75,24.625,81677.74,107976.51,104786.52,2.36
2017-11-15,23.38,24.53,24.53,23.31,81295.84,0.99,4.21,24.476,24.878,24.575,89089.49,115883.9,104463.66,3.34
2017-11-14,24.61,24.71,23.54,23.33,96921.44,-1.0,-4.08,24.514,24.901,24.457,106007.59,120494.76,102991.03,3.98
2017-11-13,24.99,25.16,24.54,24.5,74976.59,-0.46,-1.84,24.972,24.926,24.43,110109.47,117349.08,100757.97,3.08
2017-11-10,24.77,25.16,25.0,24.3,97762.82,0.23,0.93,25.252,24.782,24.33,124894.03,119113.64,101708.15,4.01
2017-11-09,24.5,24.87,24.77,24.08,94490.74,0.05,0.2,25.218,24.761,24.3,134275.28,119175.69,100632.22,3.88
2017-11-08,25.49,25.49,24.72,24.16,165886.38,-1.11,-4.3,25.28,24.713,24.312,142678.31,116017.95,100183.79,6.81
2017-11-07,25.71,26.0,25.83,25.26,117430.82,-0.11,-0.42,25.288,24.719,24.315,134981.93,106316.08,96711.14,4.82
2017-11-06,24.83,25.98,25.94,24.54,148899.39,1.11,4.47,24.88,24.626,24.26,124588.68,107080.02,99404.87,6.11
2017-11-03,24.82,25.73,24.83,24.47,144669.06,-0.25,-1.0,24.312,24.474,24.167,113333.26,104865.45,96802.06,5.94
2017-11-02,25.0,25.36,25.08,24.5,136505.88,0.32,1.29,24.304,24.499,24.021,104076.1,101596.53,91561.37,5.6
2017-11-01,23.97,25.66,24.76,23.97,127404.48,0.97,4.08,24.146,24.271,23.851,89357.59,93043.43,86841.72,5.23
2017-10-31,22.88,23.95,23.79,22.88,65464.6,0.69,2.99,24.15,24.012,23.737,77650.24,85487.3,83240.69,2.69
2017-10-30,24.8,24.96,23.1,22.7,92622.27,-1.69,-6.82,24.372,23.933,23.647,89571.37,84166.86,83883.14,3.8
2017-10-27,24.43,24.99,24.79,24.23,98383.29,0.5,2.06,24.636,23.877,23.62,96397.64,84302.66,83270.5,4.04
2017-10-26,24.79,24.79,24.29,24.01,62913.3,-0.49,-1.98,24.694,23.838,23.575,99116.96,82088.75,81278.28,2.58
2017-10-25,24.45,24.93,24.78,24.45,68867.73,-0.12,-0.48,24.396,23.911,23.554,96729.28,84349.64,82995.43,2.83
2017-10-24,24.55,25.29,24.9,24.09,125070.24,0.48,1.97,23.874,23.911,23.564,93324.35,87106.19,85030.16,5.13
2017-10-23,25.4,25.58,24.42,24.24,126753.62,-0.66,-2.63,23.494,23.893,23.569,78762.35,91729.72,86644.35,5.2
2017-10-20,22.98,25.08,25.08,22.68,111979.91,2.28,10.0,23.118,23.86,23.674,72207.69,88738.66,91010.66,4.6
2017-10-19,22.18,22.8,22.8,22.18,50974.89,0.63,2.84,22.982,23.542,23.831,65060.55,81526.2,98006.24,2.09
2017-10-18,23.05,23.38,22.17,21.91,51843.11,-0.83,-3.61,23.426,23.43,24.082,71970.0,80640.01,104341.09,2.13
2017-10-17,22.41,23.45,23.0,22.41,52260.23,0.46,2.04,23.948,23.461,24.238,80888.03,80994.09,109073.04,2.15
2017-10-16,24.46,24.65,22.54,22.3,93980.31,-1.86,-7.62,24.292,23.361,24.306,104697.08,83599.41,109745.75,3.86
2017-10-13,24.85,24.98,24.4,24.22,76244.19,-0.62,-2.48,24.602,23.363,24.397,105269.64,82238.34,108699.68,3.13
2017-10-12,24.56,25.19,25.02,24.18,85522.16,0.24,0.97,24.102,23.312,24.369,97991.86,80467.81,108638.58,3.51
2017-10-11,24.35,25.46,24.78,24.13,96433.28,0.06,0.24,23.434,23.196,24.467,89310.02,81641.22,104362.52,3.96
2017-10-10,24.08,25.7,24.72,23.91,171305.48,0.63,2.62,22.974,23.216,24.456,81100.15,82954.12,105550.9,7.03
2017-10-09,22.22,24.09,24.09,21.81,96843.08,2.19,10.0,22.43,23.244,24.446,62501.74,81558.99,106198.48,3.98
2017-09-29,21.61,22.08,21.9,21.6,39855.31,0.22,1.01,22.124,23.488,24.518,59207.05,93282.65,110993.62,1.64
2017-09-28,22.64,22.65,21.68,21.68,42112.95,-0.8,-3.56,22.522,24.12,24.584,62943.75,114486.27,115377.38,1.73
2017-09-27,21.96,22.67,22.48,21.8,55383.92,0.48,2.18,22.958,24.734,24.556,73972.42,128042.17,116507.73,2.27
2017-09-26,21.77,22.35,22.0,21.45,78313.44,-0.56,-2.48,23.458,25.015,24.462,84808.1,137151.99,115559.5,3.72
2017-09-25,23.95,24.13,22.56,22.49,80369.61,-1.33,-5.57,24.058,25.251,24.396,100616.24,135892.09,114456.23,3.81
2017-09-22,23.91,24.37,23.89,23.71,58538.82,0.03,0.13,24.852,25.43,24.338,127358.26,135161.02,113942.66,2.78
2017-09-21,24.8,24.99,23.86,23.86,97256.33,-1.12,-4.48,25.718,25.426,24.173,166028.8,136809.36,114431.89,4.62
2017-09-20,24.62,25.2,24.98,24.32,109562.3,-0.02,-0.08,26.51,25.737,24.111,182111.92,127083.82,111636.99,5.2
2017-09-19,26.64,26.65,25.0,24.76,157354.12,-1.53,-5.77,26.572,25.695,24.02,189495.88,128147.68,108269.6,7.47
2017-09-18,27.98,29.66,26.53,26.3,214079.73,-1.69,-5.99,26.444,25.647,23.914,171167.94,130837.97,102912.78,10.16
2017-09-15,27.0,29.69,28.22,25.05,251891.52,0.5,1.8,26.008,25.548,23.784,142963.77,128704.6,94035.06,11.95
2017-02-09,25.15,27.82,27.82,25.02,177671.92,2.53,10.0,25.134,25.048,23.579,107589.91,116268.49,83352.56,8.43
2017-02-08,24.3,26.54,25.29,24.01,146482.12,0.93,3.82,24.964,24.377,23.387,72055.73,104973.28,77005.87,6.95
2017-02-07,24.33,24.36,24.36,23.87,65714.42,0.01,0.04,24.818,23.908,23.348,66799.48,93967.01,71860.48,3.12
2017-02-06,23.9,24.47,24.35,23.89,73058.88,0.5,2.1,24.85,23.54,23.373,90507.99,93020.37,71763.39,3.47
