date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2018-01-12,7.69,7.76,7.63,7.61,32540.04,-0.1,-1.29,7.68,7.755,7.892,42973.83,46758.13,48332.82,0.89
2018-01-11,7.51,7.75,7.73,7.51,49503.33,0.13,1.71,7.72,7.757,7.93,43492.12,47437.43,49195.66,1.35
2018-01-10,7.68,7.68,7.6,7.49,41153.95,-0.08,-1.04,7.748,7.756,7.968,43564.65,46075.5,50356.87,1.12
2018-01-09,7.76,7.76,7.68,7.6,51207.78,-0.08,-1.03,7.818,7.777,8.001,53310.96,45747.65,51905.22,1.39
2018-01-08,7.8,7.8,7.76,7.67,40464.05,-0.07,-0.89,7.834,7.78,8.046,51737.21,46111.05,53349.73,1.1
2018-01-05,7.84,7.92,7.83,7.75,35131.47,-0.04,-0.51,7.83,7.806,8.083,50542.44,46119.13,56761.77,0.96
2018-01-04,7.96,8.02,7.87,7.83,49866.02,-0.08,-1.01,7.794,7.831,8.104,51382.75,48046.4,58078.63,1.36
2018-01-03,7.79,8.07,7.95,7.72,89885.49,0.19,2.45,7.764,7.862,8.115,48586.35,48160.99,59269.2,2.45
2018-01-02,7.79,7.84,7.76,7.68,43339.0,0.02,0.26,7.736,7.907,8.112,38184.33,44914.26,59268.03,1.18
2017-12-29,7.64,7.74,7.74,7.62,34490.22,0.09,1.18,7.726,7.953,8.148,40484.9,47863.22,61979.39,0.94
2017-12-28,7.73,7.82,7.65,7.65,39333.0,-0.07,-0.91,7.782,8.028,8.181,41695.81,49907.5,66569.89,1.07
2017-12-27,7.8,7.87,7.72,7.69,35884.02,-0.09,-1.15,7.868,8.102,8.227,44710.05,50953.9,73912.62,0.98
2017-12-26,7.69,7.85,7.81,7.69,37875.4,0.1,1.3,7.96,8.18,8.262,47735.64,54638.24,83999.68,1.03
2017-12-25,7.96,7.99,7.71,7.65,54841.84,-0.31,-3.87,8.078,8.225,8.3,51644.2,58062.79,84246.63,1.49
2017-12-22,8.09,8.12,8.02,7.96,40544.8,-0.06,-0.74,8.18,8.311,8.304,55241.55,60588.4,83461.62,1.1
2017-12-21,8.21,8.21,8.08,7.92,54404.18,-0.1,-1.22,8.274,8.36,8.288,58119.19,67404.42,84494.88,1.48
