date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2018-01-12,40.5,40.83,39.82,39.7,17285.3,-0.78,-1.92,39.814,39.071,37.96,30224.66,24223.26,19335.21,1.15
2018-01-11,40.08,41.36,40.6,39.77,37436.31,0.15,0.37,39.58,38.836,37.862,29385.82,24700.7,19033.77,2.48
2018-01-10,38.65,40.69,40.45,38.5,53012.56,1.65,4.25,39.202,38.44,37.713,26860.82,21984.22,17699.59,3.52
2018-01-09,39.58,39.63,38.8,38.58,16063.81,-0.6,-1.52,38.786,38.033,37.563,20035.4,17794.67,15842.85,1.07
2018-01-08,38.6,39.83,39.4,38.06,27325.34,0.75,1.94,38.708,37.734,37.537,21019.01,17592.0,16228.63,1.81
2018-01-05,38.63,38.87,38.65,38.32,13091.1,-0.06,-0.15,38.328,37.485,37.41,18221.85,15667.54,15305.55,0.87
2018-01-04,38.1,38.95,38.71,37.97,24811.29,0.34,0.89,38.092,37.325,37.303,20015.58,15268.96,15420.04,1.65
2018-01-03,38.41,38.8,38.37,37.8,18885.46,-0.04,-0.1,37.678,37.139,37.206,17107.62,15001.57,15116.14,1.25
2018-01-02,37.78,38.55,38.41,37.52,20981.86,0.91,2.43,37.28,37.072,37.088,15553.94,15301.38,15293.13,1.39
2017-12-29,37.47,37.84,37.5,37.36,13339.52,0.03,0.08,36.76,36.879,37.013,14164.99,14609.17,14887.61,0.88
2017-12-28,36.64,37.9,37.47,36.56,22059.76,0.83,2.27,36.642,36.849,36.999,13113.24,14447.16,15331.97,1.46
2017-12-27,36.68,37.0,36.64,36.3,10271.48,0.26,0.71,36.558,36.888,36.936,10522.34,13366.84,14981.39,0.68
2017-12-26,35.81,36.7,36.38,35.81,11117.1,0.57,1.59,36.6,36.985,36.896,12895.52,13414.96,15238.62,0.74
2017-12-25,36.57,36.85,35.81,35.55,14037.1,-1.1,-2.98,36.864,37.092,36.877,15048.81,13891.02,16309.71,0.93
2017-12-22,36.9,37.28,36.91,36.63,8080.78,-0.14,-0.38,36.998,37.339,36.797,15053.34,14865.26,16147.47,0.54
2017-12-21,37.0,37.15,37.05,36.53,9105.23,0.2,0.54,37.056,37.334,36.651,15781.08,14943.55,16338.89,0.6
2017-12-20,37.52,37.85,36.85,36.5,22137.39,-0.85,-2.25,37.218,37.281,36.526,16211.34,15571.12,16585.11,1.47
2017-12-19,36.58,37.95,37.7,36.58,21883.55,1.22,3.34,37.37,37.273,36.42,13934.41,15230.72,16128.99,1.45
2017-12-18,37.18,37.27,36.48,36.46,14059.75,-0.72,-1.94,37.32,37.103,36.287,12733.23,15284.87,15786.33,0.93
2017-12-15,38.38,38.38,37.2,37.0,11719.5,-0.66,-1.74,37.68,37.147,36.235,14677.18,15166.06,15479.55,0.78
2017-12-14,37.61,38.08,37.86,37.34,11256.49,0.25,0.67,37.612,37.148,36.125,14106.02,16216.78,15852.09,0.75
2017-12-13,37.44,38.18,37.61,37.21,10752.74,0.16,0.43,37.344,36.984,36.042,14930.91,16595.95,15762.92,0.71
2017-12-12,37.81,38.05,37.45,37.35,15877.66,-0.83,-2.17,37.176,36.806,35.977,16527.02,17062.28,15772.13,1.05
2017-12-11,37.46,38.28,38.28,37.09,23779.52,1.42,3.85,36.886,36.661,35.958,17836.52,18728.39,15525.5,1.58
2017-12-08,36.42,37.2,36.86,36.4,8863.68,0.34,0.93,36.614,36.254,35.903,15654.94,17429.69,14869.66,0.59
2017-12-07,37.0,37.0,36.52,36.06,15380.96,-0.25,-0.68,36.684,35.968,35.91,18327.55,17734.23,15500.33,1.02
2017-12-06,36.34,36.95,36.77,35.87,18733.3,0.77,2.14,36.624,35.771,35.954,18260.99,17599.1,15656.75,1.24
2017-12-05,37.3,37.39,36.0,35.85,22425.14,-0.92,-2.49,36.436,35.566,35.984,17597.54,17027.26,15615.59,1.49
2017-12-04,36.88,37.83,36.92,36.85,12871.64,-0.29,-0.78,36.436,35.47,35.999,19620.27,16287.79,15078.79,0.85
2017-12-01,36.06,37.6,37.21,36.06,22226.69,0.99,2.73,35.894,35.322,35.97,19204.43,15793.03,14856.3,1.47
2017-11-30,35.9,36.38,36.22,35.6,15048.19,0.39,1.09,35.252,35.102,35.919,17140.91,15487.4,14665.88,1.02
2017-11-29,36.45,36.45,35.83,35.51,15416.03,-0.17,-0.47,34.918,35.1,35.952,16937.2,14929.88,14621.64,1.04
2017-11-28,34.78,36.7,36.0,34.5,32538.79,1.79,5.23,34.696,35.147,36.023,16456.98,14481.98,14396.96,2.2
2017-11-27,33.83,35.0,34.21,33.83,10792.45,0.21,0.62,34.504,35.254,36.088,12955.32,12322.6,13265.27,0.73
2017-11-24,34.33,34.6,34.0,34.0,11909.11,-0.55,-1.59,34.75,35.552,36.219,12381.62,12309.64,14075.52,0.8
