date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2018-01-12,15.02,15.16,14.77,14.71,82427.23,-0.42,-2.77,14.636,14.581,14.758,84541.54,70473.37,92939.49,1.85
2018-01-11,14.54,15.41,15.19,14.38,150150.81,0.56,3.83,14.622,14.51,14.832,80109.86,73454.04,96353.28,3.36
2018-01-10,14.17,14.79,14.63,14.15,82629.56,0.43,3.03,14.51,14.462,14.887,60518.57,64696.86,97411.23,1.85
2018-01-09,14.39,14.5,14.2,14.15,42849.01,-0.19,-1.32,14.516,14.504,14.959,60193.93,64027.61,106303.78,0.96
2018-01-08,14.55,14.58,14.39,14.11,64651.07,-0.31,-2.11,14.542,14.57,15.081,60272.59,65729.56,124058.5,1.45
2018-01-05,14.63,14.99,14.7,14.58,60268.85,0.07,0.48,14.526,14.622,15.134,56405.2,66733.15,129173.96,1.35
2018-01-04,14.65,14.75,14.63,14.49,52194.35,-0.03,-0.2,14.398,14.654,15.176,66798.23,72655.18,134222.04,1.17
2018-01-03,14.36,14.77,14.66,14.24,81006.36,0.33,2.3,14.414,14.667,15.241,68875.16,76012.77,144208.58,1.82
2018-01-02,14.35,14.45,14.33,14.14,43242.34,0.02,0.14,14.492,14.699,15.274,67861.3,79606.59,150242.57,0.97
2017-12-29,14.06,14.32,14.31,14.06,45314.08,0.25,1.78,14.598,14.736,15.318,71186.53,97047.57,158708.46,1.02
2017-12-28,14.66,14.66,14.06,13.98,112234.0,-0.65,-4.42,14.718,14.935,15.363,77061.11,115405.62,162928.29,2.51
2017-12-27,15.05,15.09,14.71,14.7,62579.0,-0.34,-2.26,14.91,15.154,15.351,78512.13,119252.51,160224.39,1.4
2017-12-26,14.88,15.06,15.05,14.56,75937.06,0.19,1.28,14.92,15.311,15.333,83150.39,130125.61,159821.74,1.7
2017-12-25,14.84,15.04,14.86,14.56,59868.49,-0.05,-0.34,14.906,15.413,15.294,91351.89,148579.94,159441.72,1.34
2017-12-22,14.9,15.05,14.91,14.73,74687.0,-0.11,-0.73,14.874,15.592,15.242,122908.62,182387.44,160118.08,1.67
2017-12-21,14.9,15.04,15.02,14.23,119489.1,0.26,1.76,15.152,15.646,15.181,153750.12,191614.77,160640.6,2.68
2017-12-20,14.97,15.22,14.76,14.71,85770.31,-0.22,-1.47,15.398,15.698,15.144,159992.89,195788.9,161458.1,1.92
2017-12-19,14.88,15.13,14.98,14.7,116944.56,0.28,1.91,15.702,15.815,15.182,177100.82,212404.39,165795.54,2.62
2017-12-18,16.06,16.15,14.7,14.67,217652.12,-1.6,-9.82,15.92,15.848,15.227,205807.99,220878.55,167664.34,4.88
2017-12-15,16.05,16.93,16.3,16.0,228894.52,0.05,0.31,16.31,15.9,15.289,241866.25,220369.35,166691.87,5.13
2017-12-14,16.04,16.47,16.25,16.03,150702.94,-0.03,-0.18,16.14,15.79,15.229,229479.41,210450.97,167061.0,3.38
2017-12-13,16.07,16.31,16.28,15.7,171309.95,0.21,1.31,15.998,15.547,15.185,231584.9,201196.28,171248.3,3.84
2017-12-12,16.5,16.58,16.07,16.02,260480.44,-0.58,-3.48,15.928,15.354,15.082,247707.95,189517.88,165943.26,5.84
2017-12-11,16.45,17.0,16.65,16.2,397943.41,1.2,7.77,15.776,15.175,15.019,235949.11,170303.5,157690.11,8.92
2017-12-08,15.26,15.87,15.45,15.07,166960.31,-0.09,-0.58,15.49,14.892,14.922,198872.44,137848.72,142670.69,3.74
2017-12-07,15.85,15.9,15.54,15.38,161230.41,-0.39,-2.45,15.44,14.715,14.866,191422.53,129666.44,137821.62,3.61
2017-12-06,15.27,15.97,15.93,15.02,251925.2,0.62,4.05,15.096,14.59,14.81,170807.65,127127.31,134916.52,5.64
2017-12-05,15.31,15.99,15.31,14.88,201686.23,0.09,0.59,14.78,14.548,14.738,131327.81,119186.7,128389.27,4.52
2017-12-04,15.6,15.69,15.22,15.19,212560.05,0.02,0.13,14.574,14.605,14.677,104657.88,114450.12,122609.72,4.76
2017-12-01,13.83,15.2,15.2,13.83,129710.75,1.38,9.99,14.294,14.678,14.606,76825.0,113014.38,115310.43,2.91
2017-11-30,14.2,14.33,13.82,13.7,58156.0,-0.53,-3.69,13.99,14.668,14.505,67910.34,123671.02,111833.22,1.3
2017-11-29,14.32,14.42,14.35,14.1,54526.0,0.07,0.49,14.084,14.822,14.477,83446.98,141300.33,111869.77,1.22
2017-11-28,13.88,14.4,14.28,13.86,68336.6,0.46,3.33,14.316,14.809,14.425,107045.59,142368.63,111467.39,1.53
2017-11-27,13.51,14.25,13.82,13.51,73395.65,0.14,1.02,14.636,14.863,14.37,124242.37,145076.72,109513.97,1.64
2017-11-24,14.25,14.47,13.68,13.65,85137.47,-0.61,-4.27,15.062,14.951,14.33,149203.77,147492.66,108599.33,1.91
2017-11-23,15.18,15.45,14.29,14.23,135839.17,-1.22,-7.87,15.346,15.017,14.332,179431.7,145976.81,105591.39,3.04
2017-11-22,15.7,16.35,15.51,15.23,172519.05,-0.37,-2.33,15.56,15.029,14.316,199153.68,142705.73,100892.01,3.87
2017-11-21,15.74,15.98,15.88,15.51,154320.5,-0.07,-0.44,15.302,14.928,14.232,177691.68,137591.85,94068.81,3.46
2017-11-20,15.0,16.16,15.95,14.6,198202.66,0.85,5.63,15.09,14.749,14.118,165911.07,130769.33,88053.93,4.44
2017-11-17,15.0,15.82,15.1,14.9,236277.14,-0.26,-1.69,14.84,14.533,14.001,145781.55,117606.47,79268.68,5.29
2017-11-16,14.22,15.64,15.36,14.21,234449.06,1.14,8.02,14.688,14.341,13.922,112521.91,99995.42,69013.72,5.25
2017-11-15,14.75,14.77,14.22,14.2,65209.02,-0.6,-4.05,14.498,14.131,13.823,86257.78,82439.22,59726.59,1.46
2017-11-14,14.7,14.94,14.82,14.5,95417.46,0.12,0.82,14.554,14.041,13.804,97492.02,80566.15,58303.04,2.14
2017-11-13,14.35,14.76,14.7,14.02,97555.06,0.36,2.51,14.408,13.877,13.771,95627.58,73951.22,54937.93,2.19
2017-11-10,14.28,14.56,14.34,14.24,69978.97,-0.07,-0.49,14.226,13.709,13.739,89431.4,69705.99,52877.63,1.57
2017-11-09,14.4,14.85,14.41,14.2,103128.39,-0.09,-0.62,13.994,13.646,13.754,87468.92,65205.97,51389.1,2.31
2017-11-08,14.14,14.68,14.5,14.01,121380.24,0.41,2.91,13.764,13.602,13.77,78620.66,59078.3,48454.9,2.72
