date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2018-01-12,12.13,12.14,11.92,11.87,15204.32,-0.23,-1.89,12.146,12.025,11.77,27537.05,22659.51,19369.42,1.58
2018-01-11,12.32,12.32,12.15,11.94,22653.41,0.16,1.33,12.178,11.976,11.768,27115.56,22504.82,19495.76,2.35
2018-01-10,12.12,12.17,11.99,11.86,21071.11,-0.16,-1.32,12.176,11.902,11.755,28817.94,22192.03,19159.03,2.18
2018-01-09,12.49,12.84,12.15,12.12,32522.66,-0.37,-2.96,12.162,11.836,11.746,28806.66,21630.32,19039.88,3.37
2018-01-08,12.11,13.29,12.52,11.95,46233.76,0.44,3.64,12.068,11.735,11.746,24193.53,19519.25,18376.71,4.79
2018-01-05,12.2,12.2,12.08,12.01,13096.84,-0.06,-0.49,11.904,11.627,11.722,17781.98,15854.28,16974.87,1.36
2018-01-04,11.91,12.3,12.14,11.78,31165.32,0.22,1.85,11.774,11.578,11.715,17894.09,16372.52,17305.51,3.23
2018-01-03,11.69,12.0,11.92,11.62,21014.71,0.24,2.06,11.628,11.529,11.71,15566.12,14894.73,17476.54,2.18
2018-01-02,11.8,11.8,11.68,11.58,9457.0,-0.02,-0.17,11.51,11.51,11.734,14453.98,14387.17,17315.1,0.98
2017-12-29,11.4,11.78,11.7,11.4,14176.01,0.27,2.36,11.402,11.493,11.818,14844.98,15150.31,17368.97,1.47
2017-12-28,11.45,11.57,11.43,11.31,13657.41,0.02,0.17,11.35,11.515,11.916,13926.58,16079.32,17256.8,1.42
2017-12-27,11.39,11.68,11.41,11.25,19525.47,0.08,0.71,11.382,11.56,12.016,14850.95,16486.71,17115.12,2.02
2017-12-26,11.1,11.38,11.33,11.0,15454.0,0.19,1.71,11.43,11.607,12.107,14223.34,16126.04,16444.84,1.6
2017-12-25,11.46,11.46,11.14,11.11,11412.02,-0.3,-2.62,11.51,11.655,12.212,14320.36,16449.44,15949.84,1.18
2017-12-22,11.59,11.59,11.44,11.4,9584.0,-0.15,-1.29,11.584,11.757,12.319,15455.64,17234.17,15680.2,0.99
2017-12-21,11.75,11.75,11.59,11.1,18279.28,-0.06,-0.52,11.68,11.817,12.416,18232.06,18095.47,15543.21,1.89
2017-12-20,11.77,11.94,11.65,11.52,16387.4,-0.08,-0.68,11.738,11.851,12.507,18122.46,18238.5,15251.38,1.7
2017-12-19,11.52,11.78,11.73,11.52,15939.11,0.22,1.91,11.784,11.891,12.609,18028.73,20058.34,15122.23,1.65
2017-12-18,11.93,11.93,11.51,11.5,17088.4,-0.41,-3.44,11.8,11.958,12.717,18578.51,20243.03,14824.09,1.77
2017-12-15,11.82,12.08,11.92,11.8,23466.1,0.04,0.34,11.93,12.143,12.851,19012.7,19587.63,14571.62,2.43
2017-12-14,11.86,11.97,11.88,11.7,17731.28,0.0,0.0,11.954,12.317,12.977,17958.88,18434.28,14676.69,1.84
2017-12-13,11.78,11.9,11.88,11.67,15918.76,0.07,0.59,11.964,12.471,13.129,18354.54,17743.54,14306.73,1.65
2017-12-12,12.17,12.25,11.81,11.76,18688.0,-0.35,-2.88,11.998,12.607,13.28,22087.95,16763.64,14204.37,1.94
2017-12-11,12.1,12.38,12.16,12.05,19259.34,0.12,1.0,12.116,12.768,13.438,21907.55,15450.24,13803.75,2.0
2017-12-08,11.95,12.13,12.04,11.92,18197.0,0.11,0.92,12.356,12.881,13.591,20162.56,14126.23,13327.33,1.89
2017-12-07,12.05,12.1,11.93,11.81,19709.62,-0.12,-1.0,12.68,13.014,13.763,18909.68,12990.95,13218.98,2.04
2017-12-06,12.24,12.48,12.05,11.72,34585.8,-0.35,-2.82,12.978,13.163,13.941,17132.54,12264.27,12601.16,3.58
2017-12-05,13.23,13.24,12.4,12.4,17786.0,-0.96,-7.19,13.216,13.326,14.114,11439.34,10186.12,11484.34,1.84
2017-12-04,13.59,13.59,13.36,13.1,10534.4,-0.3,-2.2,13.42,13.476,14.275,8992.94,9405.15,11364.94,1.09
2017-12-01,13.32,13.69,13.66,13.28,11932.56,0.24,1.79,13.406,13.558,14.38,8089.9,9555.62,11189.47,1.24
2017-11-30,13.31,13.5,13.42,13.05,10823.95,0.18,1.36,13.348,13.637,14.477,7072.23,10919.11,11392.39,1.12
2017-11-29,13.42,13.59,13.24,13.13,6119.77,-0.18,-1.34,13.348,13.787,14.571,7395.99,10869.91,11478.75,0.63
2017-11-28,13.26,13.42,13.42,13.22,5554.0,0.13,0.98,13.436,13.953,14.688,8932.9,11645.1,11831.12,0.58
2017-11-27,13.36,13.36,13.29,13.0,6019.21,-0.08,-0.6,13.532,14.108,14.797,9817.35,12157.25,12105.7,0.62
2017-11-24,13.39,13.5,13.37,13.1,6844.21,-0.05,-0.37,13.71,14.3,14.914,11021.34,12528.43,13070.95,0.71
2017-11-23,13.56,13.61,13.42,13.3,12442.77,-0.26,-1.9,13.926,14.511,15.014,14765.99,13447.0,13218.88,1.29
2017-11-22,13.86,13.91,13.68,13.5,13804.29,-0.22,-1.58,14.226,14.719,15.124,14343.83,12938.06,13080.13,1.43
2017-11-21,14.14,14.34,13.9,13.81,9976.29,-0.28,-1.98,14.47,14.901,15.217,14357.31,12782.56,12731.42,1.03
2017-11-20,14.15,14.42,14.18,13.88,12039.12,-0.27,-1.87,14.684,15.073,15.299,14497.15,13324.73,12619.9,1.25
2017-11-17,14.91,14.91,14.45,13.84,25567.47,-0.47,-3.15,14.89,15.202,15.37,14035.53,12823.32,12511.88,2.65
2017-11-16,14.87,15.0,14.92,14.72,10332.0,0.02,0.13,15.096,15.316,15.427,12128.02,11865.68,11636.73,1.07
2017-11-15,14.92,15.08,14.9,14.7,13871.66,-0.07,-0.47,15.212,15.354,15.459,11532.28,12087.58,12230.58,1.44
2017-11-14,15.16,15.27,14.97,14.97,10675.49,-0.24,-1.58,15.332,15.423,15.485,11207.81,12017.13,12469.42,1.11
2017-11-13,15.4,15.4,15.21,15.2,9731.03,-0.27,-1.74,15.462,15.486,15.531,12152.31,12054.14,12436.95,1.01
2017-11-10,15.5,15.51,15.48,15.29,16029.9,-0.02,-0.13,15.514,15.527,15.562,11611.1,13613.46,12880.09,1.66
2017-11-09,15.43,15.56,15.5,15.4,7353.34,0.0,0.0,15.536,15.516,15.613,11603.34,12990.75,12716.81,0.76
2017-11-08,15.54,15.59,15.5,15.41,12249.27,-0.12,-0.77,15.496,15.529,15.668,12642.88,13222.2,13213.82,1.27
2017-11-07,15.41,15.64,15.62,15.12,15398.0,0.15,0.97,15.514,15.533,15.716,12826.46,12680.28,13689.35,1.6
2017-11-06,15.43,15.58,15.47,15.38,7025.0,-0.12,-0.77,15.51,15.525,15.768,11955.98,11915.08,14255.61,0.73
2017-11-03,15.52,15.59,15.59,15.1,15991.11,0.29,1.9,15.54,15.538,15.811,15615.82,12200.45,15280.08,1.66
2017-11-02,15.53,15.59,15.3,15.15,12551.0,-0.29,-1.86,15.496,15.537,15.83,14378.16,11407.78,15118.49,1.3
2017-11-01,15.51,15.68,15.59,15.41,13167.2,-0.01,-0.06,15.562,15.563,15.851,13801.53,12373.57,15101.95,1.36
2017-10-31,15.56,15.6,15.6,15.35,11045.58,-0.02,-0.13,15.552,15.547,15.872,12534.1,12921.7,14950.19,1.14
2017-10-30,15.31,15.66,15.62,14.73,25324.22,0.25,1.63,15.54,15.576,15.888,11874.18,12819.75,15136.21,2.62
2017-10-27,15.6,15.64,15.37,15.34,9802.79,-0.26,-1.66,15.536,15.597,15.922,8785.08,12146.71,14807.64,1.02
2017-10-26,15.54,15.69,15.63,15.5,9667.87,0.09,0.58,15.578,15.71,15.976,8437.4,12442.86,15653.37,1.0
2017-10-25,15.54,15.61,15.54,15.42,6830.02,0.0,0.0,15.564,15.806,16.002,10945.61,13205.43,16335.68,0.71
2017-10-24,15.6,15.62,15.54,15.32,7746.01,-0.06,-0.39,15.542,15.898,16.049,13309.31,14698.43,18538.52,0.8
2017-10-23,15.68,15.69,15.6,15.48,9878.73,0.02,0.13,15.612,16.01,16.072,13765.32,16596.15,19205.1,1.02
2017-10-20,15.45,15.58,15.58,15.3,8064.38,0.02,0.13,15.658,16.083,16.09,15508.34,18359.71,20186.79,0.84
2017-10-19,15.39,15.56,15.56,15.01,22208.93,0.13,0.84,15.842,16.122,16.094,16448.32,18829.2,20673.71,2.3
2017-10-18,15.98,16.14,15.43,15.37,18648.5,-0.46,-2.9,16.048,16.138,16.095,15465.24,17830.33,20151.61,1.93
