date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2018-01-12,14.0,14.03,13.53,13.5,38333.23,-0.58,-4.11,13.694,13.693,13.811,35085.64,29933.34,41462.32,1.86
2018-01-11,13.71,14.24,14.11,13.56,54598.99,0.31,2.25,13.694,13.704,13.866,31313.72,28967.18,45109.29,2.66
2018-01-10,13.67,13.84,13.8,13.3,44623.88,0.25,1.84,13.58,13.622,13.88,25189.49,26506.03,46607.1,2.17
2018-01-09,13.46,13.6,13.55,13.3,15789.85,0.07,0.52,13.576,13.578,13.918,22301.7,25069.14,52655.41,0.77
2018-01-08,13.5,13.57,13.48,13.2,22082.23,-0.05,-0.37,13.616,13.562,13.973,22640.43,26190.17,58123.48,1.07
2018-01-05,13.56,13.78,13.53,13.5,19473.66,-0.01,-0.07,13.692,13.564,13.965,24781.03,27985.7,57947.06,0.95
2018-01-04,13.73,13.73,13.54,13.46,23977.83,-0.24,-1.74,13.714,13.58,13.942,26620.63,35058.36,57715.28,1.17
2018-01-03,13.77,13.9,13.78,13.57,30184.95,0.03,0.22,13.664,13.656,13.916,27822.57,37300.52,57360.94,1.47
2018-01-02,13.73,13.84,13.75,13.67,17483.5,-0.11,-0.79,13.58,13.748,13.869,27836.57,40231.18,57162.87,0.85
2017-12-29,13.5,13.95,13.86,13.46,32785.23,0.22,1.61,13.508,13.832,13.867,29739.92,45148.22,57470.16,1.59
2017-12-28,13.28,13.64,13.64,13.2,28671.65,0.35,2.63,13.436,13.929,13.876,31190.37,52991.3,56886.75,1.39
2017-12-27,13.31,13.68,13.29,13.29,29987.5,-0.07,-0.52,13.446,14.027,13.886,43496.08,61251.41,56208.64,1.46
2017-12-26,13.01,13.4,13.36,12.98,30254.96,-0.03,-0.22,13.648,14.138,13.916,46778.48,66708.17,55838.04,1.47
2017-12-25,13.49,13.68,13.39,13.35,27000.24,-0.11,-0.81,13.916,14.258,13.943,52625.79,80241.69,55543.91,1.31
2017-12-22,13.7,13.75,13.5,13.45,40037.48,-0.19,-1.39,14.156,14.384,13.955,60556.52,90056.78,55013.59,1.95
2017-12-21,14.2,14.2,13.69,13.33,90200.22,-0.61,-4.27,14.422,14.366,13.964,74792.22,87908.43,54133.18,4.39
