date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2018-01-12,15.52,15.7,15.26,15.21,17460.1,-0.38,-2.43,15.244,15.341,15.491,17862.93,14909.49,14205.15,1.39
2018-01-11,15.12,15.65,15.64,15.02,22921.86,0.41,2.69,15.276,15.334,15.54,16572.99,14273.32,14473.54,1.83
2018-01-10,15.06,15.24,15.23,14.7,18677.37,0.17,1.13,15.232,15.282,15.556,14461.26,12876.43,14344.88,1.49
2018-01-09,15.03,15.12,15.06,14.99,10799.91,0.03,0.2,15.304,15.29,15.594,13734.78,12035.84,15175.93,0.86
2018-01-08,15.37,15.42,15.03,14.88,19455.4,-0.39,-2.53,15.38,15.292,15.663,13856.99,12240.05,16269.15,1.55
2018-01-05,15.47,15.59,15.42,15.36,11010.4,0.0,0.0,15.438,15.353,15.704,11956.05,11152.96,16191.7,0.88
2018-01-04,15.62,15.73,15.42,15.38,12363.24,-0.17,-1.09,15.392,15.381,15.699,11973.66,11470.58,16455.02,0.98
2018-01-03,15.42,15.66,15.59,15.38,15044.97,0.15,0.97,15.332,15.42,15.694,11291.59,11701.99,16493.56,1.2
2018-01-02,15.33,15.47,15.44,15.21,11410.93,0.12,0.78,15.276,15.486,15.672,10336.9,11891.16,16376.52,0.91
2017-12-29,15.25,15.35,15.32,15.15,9950.72,0.13,0.86,15.204,15.538,15.672,10623.12,12091.43,16444.52,0.79
2017-12-28,15.19,15.36,15.19,15.07,11098.44,0.07,0.46,15.268,15.64,15.698,10349.87,13500.81,16818.55,0.88
2017-12-27,15.38,15.38,15.12,15.08,8952.9,-0.19,-1.24,15.37,15.745,15.707,10967.51,14673.75,17064.97,0.71
2017-12-26,15.0,15.4,15.31,15.0,10271.52,0.23,1.52,15.508,15.83,15.738,12112.38,15813.33,17398.01,0.82
2017-12-25,15.66,15.66,15.08,15.05,12842.02,-0.56,-3.58,15.696,15.897,15.776,13445.42,18316.02,17519.56,1.02
2017-12-22,15.78,15.84,15.64,15.53,8584.45,-0.06,-0.38,15.872,16.034,15.812,13559.75,20298.25,17565.73,0.68
2017-12-21,15.78,15.91,15.7,15.41,14186.65,-0.11,-0.7,16.012,16.055,15.826,16651.76,21230.45,18025.67,1.13
2017-12-20,16.22,16.23,15.81,15.8,14677.25,-0.44,-2.71,16.12,16.017,15.821,18379.99,21439.45,18289.39,1.17
2017-12-19,15.9,16.33,16.25,15.9,16936.74,0.29,1.82,16.152,15.968,15.829,19514.29,21285.14,18768.78,1.35
2017-12-18,16.14,16.29,15.96,15.88,13413.64,-0.38,-2.33,16.098,15.857,15.825,23186.62,20861.87,19020.19,1.07
2017-12-15,16.06,16.45,16.34,15.93,24044.51,0.1,0.62,16.196,15.805,15.854,27036.76,20797.6,19207.42,1.92
2017-12-14,16.02,16.29,16.24,15.91,22827.8,0.27,1.69,16.098,15.756,15.852,25809.13,20136.28,19518.15,1.82
2017-12-13,15.68,16.17,15.97,15.68,20348.76,-0.01,-0.06,15.914,15.669,15.911,24498.91,19456.18,19278.79,1.62
2017-12-12,16.85,16.88,15.98,15.9,35298.37,-0.47,-2.86,15.784,15.646,15.981,23055.98,18982.68,19275.17,2.81
2017-12-11,16.99,17.3,16.45,16.38,32664.38,0.6,3.79,15.616,15.654,16.071,18537.13,16723.1,18828.5,2.6
2017-12-08,15.32,15.95,15.85,15.32,17906.35,0.53,3.46,15.414,15.59,16.15,14558.44,14833.2,18592.99,1.43
2017-12-07,15.26,15.6,15.32,15.21,16276.71,0.0,0.0,15.414,15.596,16.283,14463.43,14820.89,18851.44,1.3
2017-12-06,15.01,15.37,15.32,14.88,13134.1,0.18,1.19,15.424,15.625,16.449,14413.45,15139.32,19140.91,1.05
2017-12-05,15.65,15.76,15.14,15.09,12704.11,-0.3,-1.94,15.508,15.69,16.603,14909.37,16252.43,19964.99,1.01
2017-12-04,15.73,15.83,15.44,15.3,12770.94,-0.41,-2.59,15.692,15.793,16.747,14909.08,17178.51,20047.1,1.02
2017-12-01,15.37,15.85,15.85,15.31,17431.28,0.48,3.12,15.766,15.903,16.879,15107.96,17617.23,20306.54,1.39
2017-11-30,15.7,15.76,15.37,15.2,16026.83,-0.37,-2.35,15.778,15.948,16.967,15178.35,18900.03,20125.15,1.28
2017-11-29,16.09,16.1,15.74,15.27,15613.7,-0.32,-1.99,15.826,16.153,17.061,15865.19,19101.39,19990.07,1.24
2017-11-28,15.78,16.08,16.06,15.61,12702.64,0.25,1.58,15.872,16.315,17.148,17595.49,19567.65,20322.32,1.01
2017-11-27,15.91,16.09,15.81,15.6,13765.37,-0.1,-0.63,15.894,16.487,17.191,19447.94,20933.9,20596.89,1.1
2017-11-24,15.7,16.04,15.91,15.54,17783.2,0.3,1.92,16.04,16.709,17.228,20126.5,22352.78,21473.38,1.42
2017-11-23,16.09,16.11,15.61,15.5,19461.02,-0.36,-2.25,16.118,16.97,17.328,22621.71,22881.98,21245.2,1.55
2017-11-22,16.04,16.35,15.97,15.82,24265.22,-0.2,-1.24,16.48,17.272,17.457,22337.6,23142.51,21126.84,1.93
2017-11-21,16.43,16.77,16.17,16.09,21964.91,-0.37,-2.24,16.758,17.516,17.561,21539.82,23677.55,20707.31,1.75
2017-11-20,16.28,16.58,16.54,15.9,17158.14,0.24,1.47,17.08,17.701,17.639,22419.85,22915.69,20443.3,1.37
2017-11-17,17.45,17.58,16.3,16.09,30259.26,-1.12,-6.43,17.378,17.855,17.703,24579.05,22995.86,20797.91,2.41
2017-11-16,17.53,17.72,17.42,17.4,18040.47,0.06,0.35,17.822,17.985,17.768,23142.26,21350.28,20371.95,1.44
2017-11-15,17.72,17.97,17.36,17.35,20276.31,-0.42,-2.36,18.064,17.969,17.769,23947.41,20878.75,21005.42,1.62
2017-11-14,18.09,18.09,17.78,17.38,26365.08,-0.25,-1.39,18.274,17.98,17.783,25815.27,21076.98,21678.2,2.1
2017-11-13,18.52,18.52,18.03,17.82,27954.14,-0.49,-2.65,18.322,17.894,17.81,23411.52,20259.87,21380.52,2.23
2017-11-10,18.59,18.79,18.52,18.27,23075.28,-0.11,-0.59,18.332,17.747,17.824,21412.66,20594.0,21875.56,1.84
2017-11-09,18.23,18.8,18.63,18.19,22066.26,0.22,1.2,18.148,17.685,17.844,19558.3,19608.42,23375.27,1.76
2017-11-08,18.45,18.84,18.41,18.22,29615.61,0.39,2.16,17.874,17.642,17.889,17810.09,19111.18,25129.97,2.36
2017-11-07,18.11,18.11,18.02,17.81,14346.3,-0.06,-0.33,17.686,17.605,17.932,16338.69,17737.07,25670.59,1.14
2017-11-06,17.66,18.14,18.08,17.54,17959.87,0.48,2.73,17.466,17.576,18.012,17108.23,17970.91,27697.21,1.43
2017-11-03,17.31,17.65,17.6,17.1,13803.44,0.34,1.97,17.162,17.551,18.099,19775.33,18599.96,30783.28,1.1
2017-11-02,17.44,17.47,17.26,17.01,13325.23,-0.21,-1.2,17.222,17.551,18.217,19658.55,19393.61,34769.93,1.06
2017-11-01,16.84,17.55,17.47,16.84,22258.62,0.55,3.25,17.41,17.568,18.342,20412.26,21132.1,41122.71,1.77
2017-10-31,16.73,16.97,16.92,16.5,18193.99,0.36,2.17,17.524,17.585,18.419,19135.45,22279.42,44248.95,1.45
2017-10-30,17.96,17.96,16.56,16.56,31295.35,-1.34,-7.49,17.686,17.726,18.47,18833.6,22501.18,45948.06,2.49
2017-10-27,18.12,18.27,17.9,17.7,13219.57,-0.3,-1.65,17.94,17.9,18.546,17424.59,23157.12,47844.96,1.05
2017-10-26,18.14,18.39,18.2,17.91,17093.79,0.16,0.89,17.88,18.003,18.598,19128.68,27142.12,52320.33,1.36
2017-10-25,17.79,18.12,18.04,17.63,15874.54,0.31,1.75,17.726,18.135,18.578,21851.93,31148.75,54594.29,1.26
2017-10-24,17.89,17.89,17.73,17.38,16684.74,-0.1,-0.56,17.646,18.259,18.553,25423.39,33604.12,54782.44,1.33
2017-10-23,17.61,18.03,17.83,17.57,24250.31,0.23,1.31,17.766,18.448,18.533,26168.75,37423.51,55053.8,1.93
2017-10-20,17.43,17.7,17.6,17.26,21740.0,0.17,0.97,17.86,18.647,18.511,28889.64,42966.59,54777.1,1.73
2017-10-19,17.61,17.8,17.43,17.18,30710.04,-0.21,-1.19,18.126,18.882,18.495,35155.56,50146.24,54574.85,2.45
2017-10-18,18.35,18.69,17.64,17.52,33731.85,-0.69,-3.76,18.544,19.115,18.48,40445.58,61113.33,53893.49,2.69
2017-10-17,18.3,18.62,18.33,18.22,20411.56,0.03,0.16,18.872,19.252,18.463,41784.85,66218.48,53026.97,1.63
2017-10-16,18.92,19.06,18.3,18.15,37854.76,-0.63,-3.33,19.13,19.214,18.403,48678.26,69394.94,53627.56,3.02
2017-10-13,19.49,19.49,18.93,18.58,53069.59,-0.59,-3.02,19.434,19.192,18.363,57043.54,72532.8,52727.86,4.23
2017-10-12,19.22,19.96,19.52,19.18,57160.15,0.24,1.25,19.638,19.193,18.291,65136.92,77498.55,51558.45,4.55
2017-10-11,19.5,19.5,19.28,19.08,40428.17,-0.34,-1.73,19.686,19.02,18.198,81781.08,78039.82,51872.03,3.22
2017-10-10,19.81,19.83,19.62,19.23,54878.63,-0.2,-1.01,19.632,18.847,18.137,90652.12,75960.75,52487.12,4.37
2017-10-09,19.99,20.56,19.82,19.71,79681.18,-0.13,-0.65,19.298,18.618,18.043,90111.63,72684.09,52949.51,6.35
2017-09-29,19.61,20.46,19.95,19.28,93536.49,0.19,0.96,18.95,18.374,17.92,88022.05,66587.61,51373.62,7.45
2017-09-28,19.01,20.28,19.76,18.83,140380.94,0.75,3.94,18.748,18.107,17.781,89860.18,59003.46,48416.1,11.18
2017-09-27,17.84,19.16,19.01,17.68,84783.36,1.06,5.91,18.354,17.844,17.646,74298.56,46673.65,42545.65,6.75
2017-09-26,18.15,18.64,17.95,17.68,52176.16,-0.13,-0.72,18.062,17.674,17.55,61269.39,39835.46,39891.16,4.16
2017-09-25,18.8,18.93,18.08,17.93,69233.29,-0.86,-4.54,17.938,17.592,17.51,55256.55,37860.19,40255.69,5.52
2017-09-22,17.8,19.45,18.94,17.52,102727.13,1.15,6.46,17.798,17.533,17.473,45153.17,32922.92,39452.02,8.18
2017-09-21,17.55,18.3,17.79,17.55,62572.86,0.24,1.37,17.466,17.389,17.314,28146.74,25618.34,35891.36,4.99
2017-09-20,17.25,17.57,17.55,17.13,19637.5,0.22,1.27,17.334,17.375,17.191,19048.73,25704.24,33918.0,1.56
2017-09-19,17.31,17.66,17.33,17.22,22111.99,-0.05,-0.29,17.286,17.426,17.11,18401.53,29013.48,33713.95,1.76
2017-09-18,17.22,17.41,17.38,17.15,18716.38,0.1,0.58,17.246,17.467,17.046,20463.82,33214.93,33795.62,1.49
2017-09-15,17.13,17.37,17.28,17.04,17694.98,0.15,0.88,17.268,17.466,17.004,20692.67,36159.64,33645.46,1.41
2017-09-14,17.27,17.4,17.13,17.09,17082.82,-0.18,-1.04,17.312,17.455,16.963,23089.94,37828.74,33588.94,1.36
2017-09-13,17.13,17.4,17.31,17.05,16401.47,0.18,1.05,17.416,17.447,16.937,32359.75,38417.65,34023.34,1.31
2017-09-12,17.49,17.6,17.13,17.09,32423.45,-0.36,-2.06,17.566,17.425,16.896,39625.44,39946.85,34572.57,2.58
2017-09-11,17.5,17.65,17.49,17.2,19860.62,-0.01,-0.06,17.688,17.427,16.837,45966.03,42651.19,33560.86,1.58
2017-09-08,17.61,17.75,17.5,17.4,29681.35,-0.15,-0.85,17.664,17.412,16.768,51626.61,45981.12,33454.17,2.36
2017-09-07,18.09,18.77,17.65,17.6,63431.86,-0.41,-2.27,17.598,17.238,16.673,52567.53,46164.37,32554.18,5.05
2017-09-06,17.7,18.1,18.06,17.5,52729.92,0.32,1.8,17.478,17.006,16.573,44475.56,42131.76,30150.45,4.2
2017-09-05,17.35,18.16,17.74,17.26,64126.42,0.37,2.13,17.284,16.793,16.469,40268.26,38414.42,29159.08,5.11
2017-09-04,17.07,17.66,17.37,17.01,48163.51,0.2,1.17,17.166,16.625,16.382,39336.34,34376.31,28438.43,3.84
2017-09-01,16.99,17.34,17.17,16.75,34385.95,0.12,0.7,17.16,16.542,16.264,40335.63,31131.28,26419.98,2.74
2017-08-31,17.23,17.23,17.05,16.89,22971.99,-0.04,-0.23,16.878,16.471,16.149,39761.21,29349.15,25216.96,1.83
2017-08-30,17.02,17.33,17.09,17.0,31693.45,-0.06,-0.35,16.534,16.426,16.043,39787.95,29629.03,24765.62,2.53
2017-08-29,17.49,17.49,17.15,16.98,59466.81,-0.19,-1.1,16.302,16.366,15.929,36560.57,29198.29,23838.78,4.74
2017-08-28,15.75,17.34,17.34,15.75,53159.94,1.58,10.03,16.084,16.246,15.828,29416.28,24470.53,21503.03,4.24
2017-08-25,15.45,15.81,15.76,15.38,31513.87,0.43,2.81,15.924,16.123,15.717,21926.92,20927.22,19501.97,2.51
2017-08-24,15.97,15.99,15.33,15.32,23105.7,-0.6,-3.77,16.064,16.107,15.681,18937.08,18943.98,18777.83,1.84
2017-08-23,16.0,16.17,15.93,15.77,15556.53,-0.13,-0.81,16.318,16.139,15.68,19470.1,18169.15,19322.56,1.24
2017-08-22,16.44,16.5,16.06,15.86,23745.36,-0.48,-2.9,16.43,16.145,15.604,21836.0,19903.75,19009.75,1.89
2017-08-21,16.4,16.6,16.54,16.26,15713.15,0.08,0.49,16.408,16.139,15.527,19524.78,22500.55,18362.08,1.25
2017-08-18,16.49,16.75,16.46,16.3,16564.67,-0.14,-0.84,16.322,15.985,15.43,19927.51,21708.69,18357.84,1.32
2017-08-17,16.43,16.87,16.6,16.21,25770.8,0.11,0.67,16.15,15.827,15.333,18950.88,21084.78,18095.47,2.05
2017-08-16,15.95,16.59,16.49,15.94,27386.02,0.54,3.39,15.96,15.659,15.228,16868.2,19902.2,17738.02,2.18
2017-08-15,16.16,16.19,15.95,15.88,12189.28,-0.16,-0.99,15.86,15.491,15.136,17971.5,18479.27,17270.82,0.97
2017-08-14,15.5,16.21,16.11,15.5,17726.8,0.51,3.27,15.87,15.409,15.057,25476.31,18535.52,17678.49,1.41
2017-08-11,15.59,15.88,15.6,15.4,11681.51,-0.05,-0.32,15.648,15.311,14.956,23489.86,18076.73,18722.15,0.93
2017-08-10,15.92,16.0,15.65,15.56,15357.39,-0.34,-2.13,15.504,15.255,14.957,23218.67,18611.68,19914.34,1.22
2017-08-09,15.92,16.33,15.99,15.81,32902.52,-0.01,-0.06,15.358,15.22,15.003,22936.21,20475.98,19806.67,2.62
2017-08-08,14.93,16.38,16.0,14.91,49713.33,1.0,6.67,15.122,15.062,15.041,18987.04,18115.75,19167.59,3.96
2017-08-07,14.83,15.17,15.0,14.83,7794.55,0.12,0.81,14.948,14.914,15.08,11594.73,14223.62,17647.33,0.62
2017-08-04,15.08,15.08,14.88,14.83,10325.58,-0.04,-0.27,14.974,14.875,15.182,12663.59,15007.0,18606.53,0.82
2017-08-03,14.81,15.23,14.92,14.69,13945.07,0.11,0.74,15.006,14.838,15.331,14004.69,15106.17,18952.35,1.11
2017-08-02,15.18,15.18,14.81,14.74,13156.67,-0.32,-2.12,15.082,14.796,15.476,18015.74,15573.84,19149.92,1.05
2017-08-01,15.2,15.31,15.13,15.03,12751.79,0.0,0.0,15.002,14.781,15.639,17244.47,16062.36,19553.54,1.02
2017-07-31,15.0,15.29,15.13,14.8,13138.85,0.09,0.6,14.88,14.704,15.776,16852.51,16821.45,19647.69,1.05
2017-07-28,15.16,15.3,15.04,15.0,17031.06,-0.26,-1.7,14.776,14.6,15.914,17350.41,19367.58,19776.1,1.36
2017-07-27,14.26,15.47,15.3,14.25,34000.35,0.89,6.18,14.67,14.658,16.04,16207.65,21217.0,19550.03,2.71
2017-07-26,14.49,14.57,14.41,14.3,9300.3,-0.11,-0.76,14.51,14.786,16.154,13131.94,19137.37,18420.13,0.74
2017-07-25,14.58,14.65,14.52,14.42,10792.0,-0.09,-0.62,14.56,15.02,16.309,14880.25,20219.42,18735.75,0.86
2017-07-24,14.51,14.62,14.61,14.21,15628.36,0.1,0.69,14.528,15.246,16.478,16790.4,21071.04,19097.38,1.25
2017-07-21,14.4,14.65,14.51,14.4,11317.25,0.01,0.07,14.424,15.488,16.652,21384.74,22206.05,19493.5,0.9
2017-07-20,14.59,14.91,14.5,14.46,18621.78,-0.16,-1.09,14.646,15.824,16.831,26226.35,22798.53,20318.27,1.48
2017-07-19,14.36,14.69,14.66,14.13,18041.88,0.3,2.09,15.062,16.155,16.986,25142.8,22726.0,20573.44,1.44
2017-07-18,14.04,14.46,14.36,13.88,20342.72,0.27,1.92,15.48,16.496,17.146,25558.58,23044.73,21009.82,1.62
2017-07-17,15.5,15.5,14.09,14.06,38600.06,-1.53,-9.79,15.964,16.848,17.319,25351.69,22473.92,21847.04,3.08
2017-07-14,16.55,16.63,15.62,15.29,35525.32,-0.96,-5.79,16.552,17.227,17.498,23027.37,20184.62,20938.14,2.83
2017-07-13,16.76,16.76,16.58,16.51,13204.01,-0.17,-1.01,17.002,17.421,17.599,19370.71,17883.05,20418.96,1.05
