date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2018-01-12,12.8,12.88,12.78,12.7,12298.84,-0.1,-0.78,12.768,12.892,12.954,20897.36,31119.97,38041.57,0.82
2018-01-11,12.81,12.93,12.88,12.61,24119.26,0.07,0.55,12.762,12.919,12.966,24617.75,33460.33,40248.98,1.6
2018-01-10,12.39,12.85,12.81,12.38,28165.7,0.3,2.4,12.73,12.941,12.968,26116.96,34532.1,41958.08,1.87
2018-01-09,12.85,12.85,12.51,12.5,21382.0,-0.35,-2.72,12.776,12.998,12.987,33198.66,36953.5,44284.9,1.42
2018-01-08,12.62,12.87,12.86,12.55,18520.99,0.11,0.86,12.958,13.072,13.026,40714.51,38601.86,49038.85,1.23
2018-01-05,12.62,12.9,12.75,12.58,30900.81,0.03,0.24,13.016,13.098,13.046,41342.59,41117.46,52627.73,2.05
2018-01-04,12.9,13.13,12.72,12.72,31615.32,-0.32,-2.45,13.076,13.106,13.044,42302.9,43176.54,54541.37,2.1
2018-01-03,13.4,13.47,13.04,12.9,63574.17,-0.38,-2.83,13.152,13.098,13.022,42947.25,44696.27,54408.34,4.22
2018-01-02,13.2,13.5,13.42,13.2,58961.27,0.27,2.05,13.22,13.106,12.975,40708.35,42814.02,53520.62,3.91
2017-12-29,13.08,13.26,13.15,13.01,21661.37,0.1,0.77,13.186,13.053,12.91,36489.21,41509.31,51633.92,1.44
2017-12-28,13.1,13.11,13.05,12.79,35702.37,-0.05,-0.38,13.18,13.015,12.87,40892.32,44963.17,51996.21,2.37
2017-12-27,13.27,13.65,13.1,13.02,34837.05,-0.28,-2.09,13.136,13.012,12.833,44050.18,47037.64,52583.58,2.31
2017-12-26,13.36,13.53,13.38,13.11,52379.67,0.13,0.98,13.044,12.994,12.79,46445.3,49384.05,52324.08,3.48
2017-12-25,13.12,13.36,13.25,12.96,37865.6,0.13,0.99,12.992,12.976,12.743,44919.69,51616.29,51716.79,2.51
2017-12-22,12.76,13.12,13.12,12.72,43676.93,0.29,2.26,12.92,12.979,12.693,46529.41,59475.83,51932.57,2.9
2017-12-21,12.55,12.85,12.83,12.2,51491.64,0.19,1.5,12.85,12.994,12.642,49034.02,64138.01,51015.24,3.42
2017-12-20,13.13,13.17,12.64,12.57,46812.64,-0.48,-3.66,12.888,12.981,12.595,50025.1,65906.2,49695.0,3.11
2017-12-19,12.86,13.15,13.12,12.76,44751.66,0.23,1.78,12.944,12.945,12.57,52322.8,64120.42,49294.78,2.97
2017-12-18,12.72,12.98,12.89,12.72,45914.18,0.12,0.94,12.96,12.843,12.516,58312.89,64227.22,48482.6,3.05
2017-12-15,12.88,12.98,12.77,12.65,56199.98,-0.25,-1.92,13.038,12.766,12.467,72422.26,61758.53,47718.17,3.73
2017-12-14,12.9,13.02,13.02,12.73,56447.06,0.1,0.77,13.138,12.725,12.414,79241.99,59029.25,46391.95,3.75
2017-12-13,13.07,13.14,12.92,12.76,58301.13,-0.28,-2.12,13.074,12.653,12.347,81787.29,58129.51,44098.56,3.87
2017-12-12,13.13,13.31,13.2,12.94,74702.1,-0.08,-0.6,12.946,12.585,12.283,75918.03,55264.1,41841.09,4.96
2017-12-11,13.3,13.57,13.28,13.06,116461.01,0.01,0.07,12.726,12.51,12.214,70141.55,51817.29,39039.63,7.73
2017-12-08,12.6,13.3,13.27,12.53,90298.65,0.57,4.49,12.494,12.406,12.15,51094.81,44389.3,34285.48,5.99
2017-12-07,12.18,12.73,12.7,12.18,69173.55,0.42,3.42,12.312,12.289,12.082,38816.52,37892.47,30595.71,4.59
2017-12-06,12.01,12.31,12.28,11.82,28954.83,0.18,1.49,12.232,12.209,12.045,34471.74,33483.81,28050.36,1.92
2017-12-05,12.05,12.1,12.1,11.55,45819.69,-0.02,-0.17,12.224,12.195,12.019,34610.17,34469.14,27542.77,3.04
2017-12-04,12.31,12.31,12.12,12.0,21227.33,-0.24,-1.94,12.294,12.188,12.011,33493.04,32737.98,26715.89,1.41
2017-12-01,12.3,12.5,12.36,12.19,28907.2,0.06,0.49,12.318,12.168,11.994,37683.79,33677.8,26502.61,1.92
2017-11-30,12.06,12.31,12.3,11.85,47449.65,0.06,0.49,12.266,12.102,11.956,36968.41,33754.64,26050.92,3.15
2017-11-29,12.4,12.42,12.24,12.05,29647.0,-0.21,-1.69,12.186,12.041,11.913,32495.88,30067.6,24238.95,1.97
2017-11-28,12.26,12.54,12.45,12.01,40234.02,0.21,1.72,12.166,11.981,11.876,34328.1,28418.09,23610.24,2.67
2017-11-27,12.09,12.38,12.24,12.0,42181.1,0.14,1.16,12.082,11.917,11.828,31982.92,26261.96,22187.79,2.8
2017-11-24,11.81,12.1,12.1,11.75,25330.29,0.2,1.68,12.018,11.893,11.781,29671.81,24181.66,21162.69,1.68
2017-11-23,12.13,12.13,11.9,11.72,25087.0,-0.24,-1.98,11.938,11.874,11.748,30540.88,23298.96,20929.06,1.66
