date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2018-01-12,14.41,14.88,14.38,14.31,46069.0,-0.18,-1.24,14.44,14.248,13.732,52774.15,67498.86,50049.92,3.85
2018-01-11,14.13,14.64,14.56,14.11,50046.9,0.28,1.96,14.402,14.091,13.702,60250.36,65550.26,49171.67,4.18
2018-01-10,14.16,14.35,14.28,13.92,46526.02,-0.12,-0.83,14.28,13.917,13.662,60842.15,62871.24,48183.41,3.88
2018-01-09,14.57,14.73,14.4,14.25,44274.14,-0.18,-1.24,14.224,13.777,13.626,67762.46,61082.68,48432.26,3.7
2018-01-08,14.06,14.8,14.58,13.85,76954.7,0.39,2.75,14.154,13.601,13.609,78237.31,61079.14,49861.89,6.43
2018-01-05,14.06,14.68,14.19,14.01,83450.02,0.24,1.72,14.056,13.459,13.569,82223.56,56194.38,48816.35,6.97
2018-01-04,13.91,14.17,13.95,13.82,53005.88,-0.05,-0.36,13.78,13.374,13.538,70850.16,51772.75,47544.75,4.43
2018-01-03,13.81,14.37,14.0,13.78,81127.55,-0.05,-0.36,13.554,13.328,13.503,64900.34,49290.44,47298.41,6.77
2018-01-02,14.28,14.4,14.05,13.87,96648.41,-0.04,-0.28,13.33,13.281,13.47,54402.91,44570.62,46626.7,8.07
2017-12-29,12.82,14.09,14.09,12.82,96885.94,1.28,9.99,13.048,13.24,13.425,43920.96,37915.28,44679.4,8.09
2017-12-28,12.88,13.02,12.81,12.75,26583.0,-0.01,-0.08,12.862,13.216,13.41,30165.2,32600.99,42592.17,2.22
2017-12-27,12.85,12.98,12.82,12.74,23256.78,-0.06,-0.47,12.968,13.312,13.448,32695.35,32793.09,42888.72,1.94
2017-12-26,12.75,12.93,12.88,12.63,28640.41,0.24,1.9,13.102,13.406,13.491,33680.55,33495.57,43886.18,2.39
2017-12-25,13.16,13.25,12.64,12.45,44238.66,-0.52,-3.95,13.232,13.475,13.541,34738.33,35781.84,45058.32,3.69
2017-12-22,13.37,13.39,13.16,13.11,28107.13,-0.18,-1.35,13.432,13.616,13.582,31909.6,38644.64,45364.25,2.35
2017-12-21,13.49,13.49,13.34,13.05,39233.78,-0.15,-1.11,13.57,13.678,13.596,35036.78,41438.33,46451.45,3.28
2017-12-20,13.58,13.76,13.49,13.45,28182.75,-0.04,-0.3,13.656,13.701,13.585,32890.82,43316.76,47159.06,2.35
2017-12-19,13.56,13.8,13.53,13.45,33929.33,-0.11,-0.81,13.71,13.678,13.59,33310.6,45306.38,49068.54,2.83
2017-12-18,13.86,13.87,13.64,13.55,30095.0,-0.21,-1.52,13.718,13.658,13.585,36825.35,48682.79,51039.69,2.51
2017-12-15,13.7,14.08,13.85,13.66,43743.02,0.08,0.58,13.8,13.609,13.591,45379.69,51443.52,53427.06,3.65
2017-12-14,13.71,13.84,13.77,13.52,28504.0,0.01,0.07,13.786,13.604,13.607,47839.88,52583.35,58656.26,2.38
2017-12-13,13.52,13.78,13.76,13.52,30281.63,0.19,1.4,13.746,13.583,13.705,53742.69,52984.35,60906.27,2.53
2017-12-12,14.05,14.05,13.57,13.55,51503.1,-0.48,-3.42,13.646,13.576,13.802,57302.17,54276.79,64415.2,4.3
2017-12-11,13.8,14.33,14.05,13.72,72866.69,0.27,1.96,13.598,13.607,13.91,60540.22,54334.8,74117.25,6.08
2017-12-08,13.55,13.85,13.78,13.5,56043.96,0.21,1.55,13.418,13.547,14.082,57507.35,52083.85,77899.43,4.68
2017-12-07,13.29,13.72,13.57,13.23,58018.07,0.31,2.34,13.422,13.513,14.321,57326.81,51464.57,81312.82,4.84
2017-12-06,13.2,13.43,13.26,12.79,48079.02,-0.07,-0.53,13.42,13.469,14.591,52226.01,51001.36,87254.14,4.01
2017-12-05,13.16,13.67,13.33,13.06,67693.38,0.18,1.37,13.506,13.501,14.84,51251.41,52830.7,91861.02,5.65
2017-12-04,13.73,13.79,13.15,13.06,57702.34,-0.65,-4.71,13.616,13.511,15.066,48129.37,53396.59,94093.79,4.82
2017-12-01,13.63,13.94,13.8,13.42,55141.26,0.24,1.77,13.676,13.573,15.312,46660.35,55410.6,96427.02,4.6
