date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2018-01-12,8.43,8.46,8.19,8.15,62306.0,-0.29,-3.42,8.318,8.379,8.659,55315.85,59530.93,88702.95,1.86
2018-01-11,8.25,8.55,8.48,8.16,68854.56,0.23,2.79,8.4,8.378,8.692,57078.56,59191.64,90341.67,2.06
2018-01-10,8.26,8.34,8.25,8.13,40993.0,0.04,0.49,8.384,8.359,8.736,53941.06,61026.21,92440.04,1.23
2018-01-09,8.35,8.4,8.21,8.17,53131.0,-0.25,-2.96,8.432,8.359,8.769,58919.84,65097.28,93740.52,1.59
2018-01-08,8.56,8.64,8.46,8.34,51294.67,-0.14,-1.63,8.488,8.368,8.789,63556.44,74854.33,93738.19,1.53
2018-01-05,8.45,8.67,8.6,8.36,71119.56,0.2,2.38,8.44,8.444,8.802,63746.01,86124.62,94668.01,2.13
2018-01-04,8.52,8.55,8.4,8.3,53167.06,-0.09,-1.06,8.356,8.571,8.794,61304.72,102924.11,96454.78,1.59
2018-01-03,8.73,8.73,8.49,8.38,65886.93,0.0,0.0,8.334,8.74,8.83,68111.35,118358.05,98047.24,1.97
2018-01-02,8.14,8.55,8.49,8.14,76314.0,0.27,3.29,8.286,8.811,8.889,71274.72,121010.58,102056.28,2.28
2017-12-29,8.19,8.45,8.22,8.1,52242.5,0.04,0.49,8.248,8.862,8.934,86152.22,118290.3,101908.85,1.56
2017-12-28,8.2,8.36,8.18,8.08,58913.13,-0.11,-1.33,8.448,8.939,8.988,108503.23,117874.96,104252.45,1.76
2017-12-27,8.2,8.49,8.29,7.43,87200.21,0.04,0.48,8.786,9.006,9.067,144543.5,121491.71,107474.13,2.61
2017-12-26,8.11,8.33,8.25,8.06,81703.76,-0.05,-0.6,9.146,9.113,9.142,168604.75,123853.87,111269.89,2.44
2017-12-25,9.04,9.14,8.3,8.3,150701.48,-0.92,-9.98,9.336,9.179,9.266,170746.44,122383.77,120080.73,4.51
2017-12-22,9.2,9.79,9.22,9.13,163997.55,-0.65,-6.59,9.476,9.209,9.362,150428.38,112622.04,120600.45,4.9
2017-12-21,9.08,10.35,9.87,9.08,239114.52,-0.22,-2.18,9.43,9.16,9.38,127246.7,103211.41,117216.91,7.15
2017-12-18,9.27,10.12,10.09,9.18,207506.45,0.89,9.67,9.226,9.016,9.364,98439.91,89985.44,111480.72,6.21
2017-12-15,8.97,9.71,9.2,8.92,92412.22,0.2,2.22,9.08,8.919,9.336,79102.98,77736.43,105509.79,2.76
2017-12-14,9.1,9.12,9.0,8.78,49111.14,0.01,0.11,9.022,8.967,9.344,74021.09,83101.97,109064.14,1.47
2017-12-13,8.89,9.04,8.99,8.84,48089.19,0.14,1.58,8.942,9.005,9.388,74815.71,85527.4,116657.57,1.44
2017-12-12,9.3,9.36,8.85,8.83,95080.55,-0.51,-5.45,8.89,9.036,9.485,79176.12,90629.93,121542.25,2.84
2017-12-11,8.9,9.5,9.36,8.85,110821.8,0.45,5.05,8.806,9.127,9.584,81530.97,93456.55,125600.42,3.31
2017-12-08,8.66,8.99,8.91,8.56,67002.75,0.31,3.6,8.758,9.17,9.647,76369.87,98685.92,127858.31,2.0
2017-12-07,8.76,8.88,8.6,8.6,53084.25,-0.13,-1.49,8.912,9.352,9.752,92182.85,117777.69,135990.96,1.59
2017-12-06,8.43,8.77,8.73,8.43,69891.25,0.3,3.56,9.068,9.514,9.879,96239.1,128578.86,150606.3,2.09
2017-12-05,9.0,9.21,8.43,8.28,106854.82,-0.69,-7.57,9.182,9.6,10.049,102083.74,131222.42,170585.35,3.2
2017-12-04,9.45,9.6,9.12,9.03,85016.28,-0.56,-5.79,9.448,9.712,10.193,105382.12,132976.0,178955.84,2.54
2017-12-01,9.3,9.8,9.68,8.92,146067.66,0.3,3.2,9.582,9.752,10.28,121001.97,133283.15,182183.67,4.37
2017-11-30,9.36,9.59,9.38,9.23,73365.48,0.08,0.86,9.792,9.72,10.349,143372.52,135026.31,183361.7,2.19
2017-11-29,9.6,9.69,9.3,9.21,99114.46,-0.46,-4.71,9.96,9.771,10.435,160918.61,147787.74,189659.22,2.96
2017-11-28,9.5,9.79,9.76,9.31,123346.7,-0.03,-0.31,10.018,9.933,10.528,160361.09,152454.57,194850.17,3.69
2017-11-27,10.8,10.97,9.79,9.66,163115.55,-0.94,-8.76,9.976,10.04,10.611,160569.87,157744.29,196603.51,4.88
2017-11-24,9.85,11.24,10.73,9.85,257920.41,0.51,4.99,9.922,10.123,10.688,145564.33,157030.71,199147.53,7.71
2017-11-23,9.6,10.55,10.22,9.31,161095.95,0.63,6.57,9.648,10.151,10.739,126680.1,154204.24,201625.75,4.82
2017-11-22,9.48,9.76,9.59,9.42,96326.86,0.04,0.42,9.582,10.243,10.856,134656.87,172633.74,206847.18,2.88
2017-11-21,9.43,9.93,9.55,9.34,124390.6,0.03,0.32,9.848,10.498,11.036,144548.05,209948.28,218089.05,3.72
2017-11-20,9.21,9.54,9.52,9.18,88087.83,0.16,1.71,10.104,10.674,11.242,154918.7,224935.68,233351.98,2.63
2017-11-17,9.82,9.96,9.36,9.22,163499.25,-0.53,-5.36,10.324,10.808,11.486,168497.09,231084.18,249033.14,4.89
2017-11-16,10.88,10.94,9.89,9.86,200979.8,-1.03,-9.43,10.654,10.977,11.673,181728.37,231697.1,265286.29,6.01
2017-11-15,10.75,11.04,10.92,10.57,145782.77,0.09,0.83,10.904,11.098,11.837,210610.62,231530.7,268230.7,4.36
2017-11-14,10.56,11.11,10.83,10.41,176243.84,0.21,1.98,11.148,11.122,11.89,275348.52,237245.76,279348.87,5.27
2017-11-13,10.96,10.97,10.62,10.52,155979.77,-0.39,-3.54,11.244,11.182,11.892,294952.66,235462.73,280846.59,4.66
2017-11-10,10.86,11.25,11.01,10.64,229655.69,-0.13,-1.17,11.292,11.252,11.856,293671.27,241264.34,273411.95,6.87
2017-11-09,11.78,11.83,11.14,11.05,345391.03,-1.0,-8.24,11.3,11.326,11.855,281665.82,249047.26,268710.25,10.33
2017-11-08,11.15,12.44,12.14,11.1,469472.25,0.83,7.34,11.292,11.468,11.797,252450.78,241060.62,256776.39,14.04
2017-11-07,10.89,11.47,11.31,10.72,274264.56,0.45,4.14,11.096,11.573,11.644,199143.01,226229.82,235392.6,8.2
2017-11-06,10.92,11.2,10.86,10.36,149572.84,-0.19,-1.72,11.12,11.809,11.537,175972.79,241768.28,224800.7,4.47
2017-11-03,11.08,11.31,11.05,10.76,169628.42,-0.05,-0.45,11.212,12.164,11.424,188857.41,266982.09,218065.02,5.07
2017-11-02,11.0,11.41,11.1,10.63,199315.84,-0.06,-0.54,11.352,12.369,11.3,216428.69,298875.49,210123.04,5.96
2017-11-01,11.01,11.43,11.16,10.9,202933.38,-0.27,-2.36,11.644,12.576,11.17,229670.47,304930.7,200669.29,6.07
2017-10-31,11.51,11.57,11.43,11.22,158413.47,0.11,0.97,12.05,12.657,11.035,253316.62,321451.98,191239.98,4.74
2017-10-30,11.64,11.83,11.32,11.15,213995.95,-0.43,-3.66,12.498,12.602,10.895,307563.76,326230.46,183883.26,6.4
2017-10-27,12.41,12.69,11.75,11.58,307484.81,-0.81,-6.45,13.116,12.459,10.761,345106.77,305559.56,174558.78,9.2
2017-10-26,12.55,13.06,12.56,12.44,265524.72,-0.63,-4.78,13.386,12.383,10.616,381322.29,288373.24,160636.85,7.94
2017-10-25,13.72,14.19,13.19,12.73,321164.16,-0.48,-3.51,13.508,12.126,10.43,380190.93,272492.15,149497.27,9.6
2017-10-24,14.6,15.29,13.67,13.11,429649.16,-0.74,-5.13,13.264,11.715,10.193,389587.34,244555.39,134505.58,12.85
2017-10-23,12.5,14.41,14.41,12.5,401711.0,1.31,10.0,12.706,11.265,9.94,344897.16,207833.12,114301.81,12.01
2017-10-20,12.01,13.88,13.1,11.85,488562.41,-0.07,-0.53,11.802,10.683,9.642,266012.36,169147.96,95231.21,14.61
2017-10-19,12.89,13.17,13.17,12.77,259867.92,1.2,10.03,11.38,10.231,9.409,195424.2,121370.59,71859.67,7.77
2017-10-18,11.4,11.97,11.97,11.18,368146.19,1.09,10.02,10.744,9.763,9.173,164793.37,96407.87,60420.72,11.01
2017-10-17,9.29,10.88,10.88,9.09,206198.28,0.99,10.01,10.166,9.412,8.986,99523.44,61027.98,42555.29,6.17
2017-10-16,9.89,9.89,9.89,9.89,7287.0,-1.1,-10.01,9.824,9.187,8.851,70769.08,41536.05,32870.51,0.22
2017-09-25,10.4,10.99,10.99,10.03,135621.59,1.0,10.01,9.564,9.063,8.765,72283.56,43558.01,33412.33,4.06
2017-09-22,9.09,9.99,9.99,9.08,106713.81,0.91,10.02,9.082,8.848,8.631,47316.99,32900.46,27963.65,3.19
2017-09-21,9.17,9.26,9.08,9.02,41796.52,-0.09,-0.98,8.782,8.734,8.542,28022.37,26502.39,24129.62,1.25
2017-09-20,8.6,9.36,9.17,8.52,62426.48,0.58,6.75,8.658,8.671,8.486,22532.52,24455.78,22488.69,1.87
2017-09-19,8.55,8.68,8.59,8.51,14859.38,0.01,0.12,8.55,8.614,8.432,12303.03,20770.5,19811.94,0.44
2017-09-18,8.54,8.6,8.58,8.44,10788.74,0.09,1.06,8.562,8.601,8.406,14832.45,21314.47,19582.59,0.32
2017-09-15,8.47,8.64,8.49,8.4,10240.74,0.03,0.35,8.614,8.587,8.386,18483.93,22348.75,19621.19,0.31
2017-09-14,8.72,8.72,8.46,8.43,14347.28,-0.17,-1.97,8.686,8.582,8.372,24982.4,24433.57,19900.7,0.43
2017-09-13,8.56,8.73,8.63,8.55,11279.0,-0.02,-0.23,8.684,8.56,8.364,26379.03,24082.61,20144.03,0.34
2017-09-12,8.79,8.89,8.65,8.55,27506.51,-0.19,-2.15,8.678,8.514,8.34,29237.98,24204.96,20441.75,0.82
2017-09-11,8.7,8.88,8.84,8.65,29046.12,-0.01,-0.11,8.64,8.467,8.308,27796.49,23266.66,19674.15,0.87
2017-09-08,8.45,8.87,8.85,8.4,42733.11,0.4,4.73,8.56,8.413,8.268,26213.58,23026.85,19173.28,1.28
2017-09-07,8.55,8.79,8.45,8.42,21330.4,-0.15,-1.74,8.478,8.349,8.212,23884.73,21756.84,17852.78,0.64
2017-09-06,8.38,8.61,8.6,8.31,25573.76,0.14,1.66,8.436,8.301,8.187,21786.19,20521.6,17795.87,0.76
2017-09-05,8.42,8.65,8.46,8.38,20299.04,0.02,0.24,8.35,8.249,8.152,19171.94,18853.37,16896.96,0.61
2017-09-04,8.43,8.56,8.44,8.33,21131.58,0.0,0.0,8.294,8.211,8.124,18736.83,17850.71,16519.88,0.63
2017-09-01,8.27,8.54,8.44,8.15,31088.88,0.2,2.43,8.266,8.185,8.091,19840.12,16893.62,15943.82,0.93
2017-08-31,8.23,8.27,8.24,8.17,10837.67,0.07,0.86,8.22,8.161,8.055,19628.96,15367.84,14811.96,0.32
2017-08-30,8.2,8.25,8.17,8.13,12502.54,-0.01,-0.12,8.166,8.167,8.033,19257.01,16205.45,14876.74,0.37
