date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2018-01-12,9.56,9.64,9.39,9.38,42608.8,-0.19,-1.98,9.424,9.492,9.481,42286.88,40463.43,36637.59,0.58
2018-01-11,9.37,9.61,9.58,9.27,61833.61,0.2,2.13,9.454,9.49,9.5,41923.72,39483.01,36778.7,0.84
2018-01-10,9.42,9.45,9.38,9.24,43840.44,0.01,0.11,9.446,9.467,9.506,37164.98,35809.47,35558.68,0.59
2018-01-09,9.41,9.46,9.37,9.35,27590.35,-0.03,-0.32,9.496,9.465,9.514,36084.15,35675.44,35100.32,0.37
2018-01-08,9.54,9.54,9.4,9.35,35561.2,-0.14,-1.47,9.532,9.438,9.534,38166.55,37079.96,37419.69,0.48
2018-01-05,9.54,9.62,9.54,9.43,40792.98,0.0,0.0,9.56,9.435,9.537,38639.97,36907.63,37644.64,0.55
2018-01-04,9.69,9.72,9.54,9.49,38039.91,-0.09,-0.94,9.526,9.437,9.524,37042.3,35565.31,37248.15,0.52
2018-01-03,9.56,9.67,9.63,9.51,38436.31,0.08,0.84,9.488,9.433,9.512,34453.97,35090.77,37834.63,0.52
2018-01-02,9.55,9.6,9.55,9.44,38002.36,0.01,0.1,9.434,9.445,9.494,35266.72,34429.47,38757.02,0.51
2017-12-29,9.38,9.59,9.54,9.34,37928.31,0.17,1.81,9.344,9.453,9.492,35993.36,33350.24,39359.91,0.51
2017-12-28,9.38,9.45,9.37,9.26,32804.63,0.02,0.21,9.31,9.469,9.503,35175.29,32811.76,40394.92,0.44
2017-12-27,9.37,9.47,9.35,9.33,25098.24,-0.01,-0.11,9.348,9.51,9.518,34088.31,34074.38,40483.93,0.34
2017-12-26,9.12,9.38,9.36,9.11,42500.07,0.26,2.86,9.378,9.544,9.539,35727.57,35307.89,41629.37,0.58
2017-12-25,9.35,9.45,9.1,9.09,41635.54,-0.27,-2.88,9.456,9.563,9.566,33592.22,34525.2,41248.79,0.56
2017-12-22,9.61,9.61,9.37,9.36,33837.99,-0.19,-1.99,9.562,9.629,9.598,30707.12,37759.42,41032.15,0.46
2017-12-21,9.53,9.64,9.56,9.47,27369.72,0.06,0.63,9.628,9.638,9.623,30448.22,38381.65,42169.89,0.37
2017-12-20,9.71,9.75,9.5,9.46,33294.55,-0.25,-2.56,9.672,9.61,9.645,34060.45,38931.0,42902.21,0.45
2017-12-19,9.66,9.83,9.75,9.65,31823.28,0.12,1.25,9.71,9.591,9.682,34888.2,40578.49,44470.53,0.43
2017-12-18,9.7,9.75,9.63,9.57,27210.04,-0.07,-0.72,9.67,9.543,9.701,35458.18,43084.56,45283.27,0.37
2017-12-15,9.74,9.83,9.7,9.66,32543.51,-0.08,-0.82,9.696,9.53,9.731,44811.72,45369.58,46317.64,0.44
2017-12-14,9.64,9.8,9.78,9.59,45430.86,0.09,0.93,9.648,9.537,9.754,46315.07,47978.08,49382.03,0.62
2017-12-13,9.63,9.84,9.69,9.6,37433.31,0.14,1.47,9.548,9.525,9.782,43801.55,46893.48,49057.56,0.51
2017-12-12,9.7,9.74,9.55,9.55,34673.19,-0.21,-2.15,9.472,9.534,9.811,46268.77,47950.85,49917.0,0.47
2017-12-11,9.62,9.97,9.76,9.62,73977.74,0.3,3.17,9.416,9.569,9.853,50710.94,47972.37,51940.55,1.0
2017-12-08,9.3,9.56,9.46,9.28,40060.25,0.18,1.94,9.364,9.566,9.893,45927.44,44304.89,51756.97,0.54
2017-12-07,9.29,9.38,9.28,9.22,32863.28,-0.03,-0.32,9.426,9.607,9.953,49641.09,45958.14,54494.48,0.45
2017-12-06,9.27,9.34,9.31,9.02,49769.41,0.04,0.43,9.502,9.679,10.032,49985.4,46873.42,63386.14,0.67
2017-12-05,9.5,9.59,9.27,9.17,56884.02,-0.23,-2.42,9.596,9.773,10.102,49632.92,48362.58,67644.86,0.77
2017-12-04,9.74,9.78,9.5,9.5,50060.22,-0.27,-2.76,9.722,9.859,10.166,45233.81,47481.98,68819.63,0.68
2017-12-01,9.7,9.85,9.77,9.63,58628.52,0.11,1.14,9.768,9.931,10.209,42682.34,47265.69,69395.08,0.79
2017-11-30,9.78,9.81,9.66,9.65,34584.83,-0.12,-1.23,9.788,9.971,10.235,42275.19,50785.97,69559.24,0.47
2017-11-29,9.89,9.89,9.78,9.61,48007.0,-0.12,-1.21,9.856,10.038,10.27,43761.44,51221.63,70104.24,0.65
2017-11-28,9.75,9.92,9.9,9.74,34888.47,0.17,1.75,9.95,10.088,10.303,47092.23,51883.16,70444.36,0.47
2017-11-27,9.87,9.98,9.73,9.71,37302.9,-0.14,-1.42,9.996,10.136,10.333,49730.15,55908.72,70477.98,0.51
2017-11-24,9.93,10.07,9.87,9.85,56592.74,-0.13,-1.3,10.094,10.219,10.368,51849.04,59209.06,71869.35,0.77
2017-11-23,10.24,10.36,10.0,9.98,42016.07,-0.25,-2.44,10.154,10.299,10.415,59296.75,63030.81,72416.85,0.57
2017-11-22,10.08,10.47,10.25,10.05,64660.98,0.12,1.19,10.22,10.385,10.466,58681.83,79898.86,74919.2,0.88
2017-11-21,10.22,10.27,10.13,10.04,48078.04,-0.09,-0.88,10.226,10.431,10.496,56674.08,86927.15,73801.86,0.65
2017-11-20,10.1,10.3,10.22,10.03,47897.37,0.05,0.49,10.276,10.473,10.532,62087.3,90157.27,74899.3,0.65
2017-11-17,10.34,10.37,10.17,9.93,93831.31,-0.16,-1.55,10.344,10.487,10.558,66569.08,91524.47,74968.22,1.27
2017-11-16,10.23,10.46,10.33,10.22,38941.46,0.05,0.49,10.444,10.498,10.581,66764.87,88332.52,73052.68,0.53
2017-11-15,10.37,10.42,10.28,10.19,54622.21,-0.1,-0.96,10.55,10.501,10.586,101115.89,88986.85,75006.11,0.74
2017-11-14,10.57,10.66,10.38,10.32,75144.16,-0.18,-1.71,10.636,10.518,10.608,117180.21,89005.57,75213.13,1.02
2017-11-13,10.71,10.75,10.56,10.51,70306.24,-0.11,-1.03,10.67,10.53,10.635,118227.25,85047.25,73914.31,0.95
2017-11-10,10.7,10.8,10.67,10.61,94810.28,-0.19,-1.75,10.63,10.517,10.655,116479.86,84529.64,75068.74,1.28
2017-11-09,10.52,11.14,10.86,10.51,210696.56,0.15,1.4,10.552,10.53,10.688,109900.16,81802.89,74659.31,2.85
2017-11-08,10.52,10.92,10.71,10.32,134943.83,0.16,1.52,10.452,10.546,10.703,76857.8,69939.54,67628.97,1.83
2017-11-07,10.42,10.6,10.55,10.27,80379.32,0.19,1.83,10.4,10.561,10.725,60830.93,60676.58,64750.1,1.09
2017-11-06,10.22,10.39,10.36,10.09,61569.3,0.08,0.78,10.39,10.591,10.763,51867.24,59641.32,65206.55,0.83
2017-11-03,10.48,10.58,10.28,10.18,61911.8,-0.08,-0.77,10.404,10.629,10.802,52579.42,58411.98,65664.56,0.84
2017-11-02,10.41,10.51,10.36,10.36,45484.77,-0.09,-0.86,10.508,10.663,10.835,53705.62,57772.85,64310.57,0.62
2017-11-01,10.54,10.58,10.45,10.4,54809.46,-0.05,-0.48,10.64,10.671,10.86,63021.27,61025.38,64251.34,0.74
2017-10-31,10.46,10.54,10.5,10.39,35560.89,0.07,0.67,10.722,10.698,10.883,60522.23,61420.68,64023.7,0.48
2017-10-30,10.73,10.8,10.43,10.3,65130.18,-0.37,-3.43,10.792,10.74,10.902,67415.39,62781.38,66818.22,0.88
2017-10-27,10.95,10.95,10.8,10.69,67542.8,-0.22,-2.0,10.854,10.793,10.937,64244.54,65607.83,65911.14,0.91
2017-10-26,10.9,11.17,11.02,10.78,92063.0,0.16,1.47,10.818,10.846,10.957,61840.07,67515.73,65430.08,1.25
2017-10-25,10.84,10.88,10.86,10.75,42314.26,0.01,0.09,10.702,10.86,10.969,59029.48,65318.4,64805.11,0.57
2017-10-24,10.73,10.88,10.85,10.6,70026.7,0.11,1.02,10.674,10.888,10.993,62319.13,68823.63,65798.71,0.95
2017-10-23,10.6,10.74,10.74,10.56,49275.93,0.12,1.13,10.688,10.935,11.009,58147.37,70771.78,65632.28,0.67
