date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2018-01-12,8.91,8.91,8.64,8.63,55703.7,-0.16,-1.82,8.658,8.729,8.707,59287.52,61625.0,53965.5,1.84
2018-01-11,8.45,8.87,8.8,8.42,90366.57,0.28,3.29,8.684,8.704,8.723,57024.87,61817.6,52959.01,2.99
2018-01-10,8.69,8.72,8.52,8.38,54340.45,-0.17,-1.96,8.696,8.682,8.738,49304.41,58932.04,49953.46,1.8
2018-01-09,8.67,8.83,8.69,8.56,48485.87,0.05,0.58,8.78,8.67,8.764,57367.78,56960.86,49217.64,1.6
2018-01-08,8.72,8.75,8.64,8.5,47541.0,-0.13,-1.48,8.78,8.63,8.79,59131.21,57394.36,49810.65,1.57
2018-01-05,8.87,8.99,8.77,8.71,44390.48,-0.09,-1.02,8.8,8.624,8.813,63962.49,56446.72,50372.46,1.47
2018-01-04,8.93,8.98,8.86,8.83,51764.24,-0.08,-0.9,8.724,8.625,8.819,66610.32,55727.09,50971.92,1.71
2018-01-03,8.66,9.01,8.94,8.59,94657.29,0.25,2.88,8.668,8.613,8.818,68559.67,57558.13,51718.86,3.13
2018-01-02,8.98,8.98,8.69,8.58,57303.02,-0.05,-0.57,8.56,8.629,8.806,56553.94,51590.98,52911.9,1.9
2017-12-29,8.36,8.75,8.74,8.36,71697.42,0.35,4.17,8.48,8.653,8.84,55657.52,49068.75,52745.51,2.37
2017-12-28,8.59,8.63,8.39,8.38,57629.63,-0.19,-2.21,8.448,8.684,8.885,48930.96,46305.99,52178.74,1.91
2017-12-27,8.45,8.88,8.58,8.35,61511.0,0.18,2.14,8.526,8.742,8.937,44843.85,44100.43,50949.59,2.03
2017-12-26,8.32,8.45,8.4,8.28,34628.62,0.11,1.33,8.558,8.793,8.982,46556.6,40974.88,50683.12,1.15
2017-12-25,8.62,8.64,8.29,8.2,52820.94,-0.29,-3.38,8.698,8.857,9.045,46628.02,41474.42,51164.99,1.75
2017-12-22,8.78,8.82,8.58,8.54,38064.6,-0.2,-2.28,8.826,8.95,9.101,42479.97,42226.95,50981.27,1.26
2017-12-21,8.75,8.82,8.78,8.56,37194.09,0.04,0.46,8.92,9.001,9.157,43681.03,44298.19,51329.57,1.23
2017-12-20,9.1,9.11,8.74,8.7,70074.74,-0.36,-3.96,8.958,9.012,9.199,43357.01,46216.76,53146.31,2.32
