date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2018-01-12,11.48,11.61,11.47,11.41,44234.6,0.0,0.0,11.524,11.618,11.686,66365.73,76524.61,71205.18,0.76
2018-01-11,11.5,11.62,11.47,11.33,73297.94,0.03,0.26,11.568,11.639,11.732,73316.04,77149.9,75241.8,1.26
2018-01-10,11.63,11.71,11.44,11.4,67943.15,-0.23,-1.97,11.662,11.678,11.763,83664.59,78684.17,74887.95,1.17
2018-01-09,11.5,11.78,11.67,11.5,59801.95,0.1,0.86,11.728,11.705,11.795,88473.07,77551.26,74808.49,1.03
2018-01-08,11.6,11.72,11.57,11.5,86551.0,-0.12,-1.03,11.708,11.681,11.817,92123.13,76639.24,76170.54,1.49
2018-01-05,11.9,11.98,11.69,11.69,78986.14,-0.25,-2.09,11.712,11.675,11.841,86683.49,75032.73,76601.49,1.36
2018-01-04,11.79,12.03,11.94,11.62,125040.73,0.17,1.44,11.71,11.672,11.849,80983.76,73415.23,75539.47,2.15
2018-01-03,11.56,11.85,11.77,11.55,91985.51,0.2,1.73,11.694,11.641,11.842,73703.74,68494.27,72370.16,1.58
2018-01-02,11.62,11.69,11.57,11.47,78052.25,-0.02,-0.17,11.682,11.669,11.827,66629.45,64691.91,72509.18,1.34
2017-12-29,11.77,11.85,11.59,11.5,59352.8,-0.09,-0.77,11.654,11.702,11.844,61155.36,63108.76,73813.44,1.02
2017-12-28,11.8,11.92,11.68,11.66,50487.51,-0.18,-1.52,11.638,11.753,11.864,63381.97,65885.76,77505.94,0.87
2017-12-27,12.01,12.19,11.86,11.81,88640.65,0.15,1.28,11.634,11.824,11.863,65846.7,73333.71,80201.33,1.52
2017-12-26,11.46,11.73,11.71,11.45,56614.06,0.28,2.45,11.588,11.848,11.851,63284.8,71091.72,81284.4,0.97
2017-12-25,11.41,11.56,11.43,11.36,50681.78,-0.08,-0.69,11.656,11.885,11.847,62754.36,72065.72,87037.71,0.87
2017-12-22,11.72,11.73,11.51,11.45,70485.83,-0.15,-1.29,11.75,11.952,11.85,65062.16,75701.84,91127.15,1.21
2017-12-21,11.58,11.76,11.66,11.57,62811.17,0.03,0.26,11.868,12.006,11.877,68389.56,78170.25,94045.02,1.08
2017-12-20,12.0,12.05,11.63,11.6,75831.15,-0.42,-3.48,12.014,12.026,11.891,80820.72,77663.71,97063.51,1.3
2017-12-19,11.97,12.09,12.05,11.9,53961.88,0.15,1.26,12.108,12.043,11.914,78898.65,76246.05,99370.89,0.93
2017-12-18,12.08,12.13,11.9,11.89,62220.75,-0.2,-1.65,12.114,11.984,11.915,81377.08,80326.45,106212.67,1.07
2017-12-15,12.32,12.36,12.1,12.05,87122.83,-0.29,-2.34,12.154,11.985,11.908,86341.53,84518.12,106981.43,1.5
2017-12-14,12.06,12.45,12.39,12.01,124966.99,0.29,2.4,12.144,11.974,11.872,87950.94,89126.12,107623.05,2.15
2017-12-13,12.09,12.19,12.1,11.92,66220.8,0.02,0.17,12.038,11.902,11.843,74506.71,87068.95,105948.86,1.14
2017-12-12,12.12,12.23,12.08,12.04,66354.02,-0.02,-0.17,11.978,11.853,11.841,73593.45,91477.07,110672.9,1.14
2017-12-11,12.24,12.34,12.1,11.99,87042.99,0.05,0.41,11.854,11.808,11.819,79275.83,102009.7,113820.51,1.5
2017-12-08,11.86,12.22,12.05,11.81,95169.88,0.19,1.6,11.816,11.748,11.82,82694.71,106552.46,114459.02,1.64
2017-12-07,11.73,11.98,11.86,11.73,57745.84,0.06,0.51,11.804,11.747,11.834,90301.3,109919.79,116603.64,0.99
2017-12-06,11.44,11.86,11.8,11.4,61654.53,0.34,2.97,11.766,11.756,11.836,99631.19,116463.3,117978.09,1.06
2017-12-05,11.98,12.09,11.46,11.32,94765.89,-0.45,-3.78,11.728,11.784,11.836,109360.69,122495.74,119470.99,1.63
2017-12-04,11.99,12.24,11.91,11.86,104137.43,-0.08,-0.67,11.762,11.846,11.856,124743.57,132098.89,120698.36,1.79
2017-12-01,11.61,12.07,11.99,11.61,133202.81,0.32,2.74,11.68,11.83,11.833,130410.21,129444.73,119141.36,2.29
2017-11-30,11.55,11.79,11.67,11.41,104395.31,0.06,0.52,11.69,11.77,11.806,129538.28,126119.98,116372.05,1.79
2017-11-29,11.53,11.73,11.61,11.3,110302.01,-0.02,-0.17,11.746,11.784,11.798,133295.41,124828.76,115866.91,1.9
2017-11-28,11.5,11.65,11.63,11.26,171680.28,0.13,1.13,11.84,11.828,11.806,135630.78,129868.73,115737.31,2.95
2017-11-27,11.95,12.0,11.5,11.3,132470.66,-0.54,-4.49,11.93,11.829,11.814,139454.22,125631.33,114874.62,2.28
2017-11-24,11.95,12.35,12.04,11.88,128843.12,0.09,0.75,11.98,11.892,11.831,128479.25,122365.58,119093.38,2.21
2017-11-23,12.07,12.32,11.95,11.88,123180.97,-0.13,-1.08,11.85,11.92,11.867,122701.67,123287.49,118100.81,2.12
2017-11-22,12.06,12.32,12.08,11.86,121978.88,0.0,0.0,11.822,11.916,11.91,116362.12,119492.89,117214.96,2.1
2017-11-21,11.74,12.37,12.08,11.72,190797.45,0.33,2.81,11.816,11.888,11.95,124106.69,116446.24,115266.27,3.28
2017-11-20,11.59,11.76,11.75,11.39,77595.84,0.36,3.16,11.728,11.865,11.985,111808.44,109297.82,110816.12,1.33
2017-11-17,11.81,12.02,11.39,11.37,99955.23,-0.42,-3.56,11.804,11.835,12.028,116251.92,108837.99,113015.68,1.72
2017-11-16,12.17,12.17,11.81,11.72,91483.18,-0.24,-1.99,11.99,11.842,12.104,123873.31,106624.12,112170.73,1.57
2017-11-15,11.64,12.59,12.05,11.64,160701.73,0.41,3.52,12.01,11.812,12.15,122623.66,106905.07,112209.13,2.76
2017-11-14,12.24,12.24,11.64,11.58,129306.2,-0.49,-4.04,11.96,11.784,12.18,108785.78,101605.89,111585.18,2.22
2017-11-13,12.28,12.35,12.13,12.08,99813.24,-0.19,-1.54,12.002,11.798,12.237,106787.2,104117.91,110453.23,1.72
2017-11-10,11.88,12.38,12.32,11.86,138062.2,0.41,3.44,11.866,11.77,12.272,101424.06,115821.18,115598.58,2.37
2017-11-09,11.8,12.05,11.91,11.76,85234.91,0.11,0.93,11.694,11.814,12.329,89374.93,112914.13,115858.66,1.47
2017-11-08,11.81,11.98,11.8,11.78,91512.37,-0.05,-0.42,11.614,11.903,12.411,91186.48,114937.04,121472.07,1.57
2017-11-07,11.49,11.94,11.85,11.45,119313.28,0.4,3.49,11.608,12.011,12.488,94425.99,114086.3,130025.84,2.05
2017-11-06,11.33,11.54,11.45,11.32,72997.53,-0.01,-0.09,11.594,12.104,12.595,101448.62,112334.42,135832.01,1.25
