date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2018-01-12,14.0,14.13,13.69,13.66,39678.76,-0.4,-2.84,13.78,13.929,14.047,43802.53,34630.86,28461.78,1.67
2018-01-11,13.62,14.12,14.09,13.52,59549.88,0.37,2.7,13.856,13.951,14.082,42353.19,33182.62,27487.2,2.51
2018-01-10,13.57,13.78,13.72,13.51,35325.2,0.11,0.81,13.864,13.943,14.103,35419.42,29953.23,25649.04,1.49
2018-01-09,13.78,13.79,13.61,13.57,27148.06,-0.18,-1.3,13.954,13.995,14.139,35702.81,28323.04,25747.16,1.14
2018-01-08,13.95,13.96,13.79,13.55,57310.76,-0.28,-1.99,14.036,14.046,14.2,34062.33,27528.06,27309.38,2.42
2018-01-05,14.2,14.21,14.07,13.99,32432.06,-0.06,-0.42,14.078,14.073,14.234,25459.18,23724.09,25882.54,1.37
2018-01-04,14.14,14.23,14.13,14.08,24881.04,-0.04,-0.28,14.046,14.086,14.248,24012.04,22460.48,25496.46,1.05
2018-01-03,14.04,14.28,14.17,13.92,36742.11,0.15,1.07,14.022,14.093,14.257,24487.04,21846.9,25628.36,1.55
2018-01-02,14.02,14.07,14.02,13.95,18945.67,0.02,0.14,14.036,14.116,14.254,20943.27,20591.39,25929.29,0.8
2017-12-29,13.96,14.08,14.0,13.91,14295.03,0.09,0.65,14.056,14.13,14.286,20993.8,21103.99,26903.65,0.6
2017-12-28,13.99,14.15,13.91,13.9,25196.36,-0.1,-0.71,14.068,14.164,14.325,21989.0,22292.7,28849.1,1.06
2017-12-27,14.21,14.28,14.01,14.0,27256.05,-0.23,-1.61,14.126,14.213,14.345,20908.92,21791.78,28909.43,1.15
2017-12-26,14.1,14.25,14.24,14.01,19023.26,0.12,0.85,14.164,14.262,14.37,19206.75,21344.85,29070.32,0.8
2017-12-25,14.15,14.23,14.12,13.95,19198.29,0.06,0.43,14.196,14.283,14.392,20239.51,23171.27,29644.22,0.81
2017-12-22,14.19,14.26,14.06,14.04,19271.02,-0.14,-0.99,14.204,14.353,14.407,21214.19,27090.69,30019.06,0.81
2017-12-21,14.27,14.27,14.2,14.01,19796.0,0.0,0.0,14.26,14.395,14.428,22596.41,28040.98,30342.01,0.83
2017-12-20,14.36,14.45,14.2,14.15,18745.2,-0.2,-1.39,14.3,14.409,14.438,22674.65,28532.44,31843.87,0.79
2017-12-19,14.15,14.48,14.4,14.15,24187.02,0.24,1.7,14.36,14.421,14.469,23482.94,29409.83,34092.58,1.02
2017-12-18,14.36,14.38,14.16,14.01,24071.69,-0.18,-1.25,14.37,14.392,14.507,26103.04,31267.19,35832.13,1.02
2017-12-15,14.4,14.55,14.34,14.32,26182.14,-0.06,-0.42,14.502,14.442,14.562,32967.19,32703.32,37789.65,1.1
2017-12-14,14.43,14.49,14.4,14.31,20187.18,-0.1,-0.69,14.53,14.486,14.61,33485.56,35405.5,42126.41,0.85
2017-12-13,14.45,14.53,14.5,14.33,22786.66,0.05,0.35,14.518,14.477,14.704,34390.22,36027.08,46282.46,0.96
2017-12-12,14.7,14.79,14.45,14.45,37287.52,-0.37,-2.5,14.482,14.477,14.78,35336.72,36795.8,49167.43,1.57
2017-12-11,14.72,15.11,14.82,14.65,58392.47,0.34,2.35,14.414,14.501,14.851,36431.35,36117.16,51418.76,2.46
2017-12-08,14.39,14.65,14.48,14.38,28773.97,0.14,0.98,14.382,14.46,14.901,32439.44,32947.42,52652.48,1.21
2017-12-07,14.29,14.56,14.34,14.25,24710.5,0.02,0.14,14.442,14.46,14.969,37325.44,32643.03,59092.11,1.04
2017-12-06,14.15,14.44,14.32,14.1,27519.14,0.21,1.49,14.436,14.467,15.074,37663.94,35155.3,71262.0,1.16
2017-12-05,14.74,14.74,14.11,13.9,42760.67,-0.55,-3.75,14.472,14.517,15.173,38254.88,38775.33,78997.44,1.8
2017-12-04,14.71,14.95,14.66,14.6,38432.92,-0.12,-0.81,14.588,14.622,15.258,35802.97,40397.07,82499.26,1.62
2017-12-01,14.33,14.85,14.78,14.31,53203.96,0.47,3.28,14.538,14.681,15.291,33455.4,42875.98,83449.82,2.24
2017-11-30,14.56,14.6,14.31,14.31,26402.99,-0.19,-1.31,14.478,14.733,15.317,27960.62,48847.33,83753.44,1.11
2017-11-29,14.71,14.73,14.5,14.36,30473.88,-0.19,-1.29,14.498,14.93,15.365,32646.66,56537.84,85840.54,1.29
2017-11-28,14.45,14.7,14.69,14.42,30501.12,0.28,1.94,14.562,15.082,15.42,39295.77,61539.06,88147.77,1.29
2017-11-27,14.53,14.69,14.41,14.25,26695.07,-0.07,-0.48,14.656,15.201,15.446,44991.17,66720.36,88871.73,1.13
2017-11-24,14.33,14.58,14.48,14.33,25730.06,0.07,0.49,14.824,15.342,15.478,52296.56,72357.53,92472.65,1.09
2017-11-23,14.68,14.98,14.41,14.37,49833.18,-0.41,-2.77,14.988,15.477,15.552,69734.03,85541.19,97597.72,2.1
2017-11-22,15.1,15.18,14.82,14.69,63719.44,-0.34,-2.24,15.362,15.681,15.634,80429.02,107368.7,103296.82,2.69
2017-11-21,15.49,15.59,15.16,14.95,58978.09,-0.09,-0.59,15.602,15.829,15.66,83782.34,119219.56,101798.26,2.49
2017-11-20,15.18,15.27,15.25,13.77,63222.03,-0.05,-0.33,15.746,15.893,15.66,88449.54,124601.44,100282.08,2.67
2017-11-17,16.21,16.31,15.3,15.3,112917.43,-0.98,-6.02,15.86,15.9,15.667,92418.5,124023.65,99296.67,4.76
2017-11-16,15.98,16.39,16.28,15.81,103308.09,0.26,1.62,15.966,15.9,15.661,101348.34,118659.55,94977.52,4.36
2017-11-15,15.8,16.2,16.02,15.71,80486.06,0.14,0.88,16.0,15.8,15.593,134308.37,115143.24,92740.91,3.39
2017-11-14,15.81,16.14,15.88,15.75,82314.1,0.06,0.38,16.056,15.758,15.564,154656.78,114756.49,90757.71,3.47
2017-11-13,15.73,16.06,15.82,15.69,83066.81,-0.01,-0.06,16.04,15.691,15.543,160753.34,111023.1,88310.57,3.5
2017-11-10,16.07,16.25,15.83,15.82,157566.62,-0.62,-3.77,15.94,15.614,15.522,155628.81,112587.77,89176.86,6.64
2017-11-09,16.25,17.15,16.45,16.04,268108.28,0.15,0.92,15.834,15.626,15.544,135970.76,109654.26,84929.73,11.31
2017-11-08,15.78,16.79,16.3,15.53,182228.09,0.5,3.17,15.6,15.587,15.528,95978.11,99224.95,74709.91,7.68
