date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2018-01-12,14.35,14.75,14.39,14.12,102377.15,0.0,0.0,14.024,13.945,13.465,78074.64,80623.17,65245.7,5.57
2018-01-11,14.06,14.53,14.39,13.88,112996.71,0.29,2.06,13.87,13.858,13.373,66397.87,82058.56,61427.79,6.15
2018-01-10,13.66,14.18,14.1,13.55,92227.0,0.46,3.37,13.736,13.734,13.276,57744.11,75412.06,56605.11,5.02
2018-01-09,13.61,13.97,13.64,13.53,45529.2,0.04,0.29,13.704,13.649,13.191,60887.17,72061.96,54449.63,2.48
2018-01-08,13.61,13.7,13.6,13.38,37243.15,-0.02,-0.15,13.794,13.6,13.152,72301.33,74898.61,54308.32,2.03
2018-01-05,13.56,13.8,13.62,13.56,43993.3,-0.1,-0.73,13.866,13.555,13.118,83171.7,74710.0,55176.92,2.39
2018-01-04,13.89,14.01,13.72,13.46,69727.9,-0.22,-1.58,13.846,13.496,13.072,97719.24,75459.87,55851.09,3.8
2018-01-03,14.11,14.79,13.94,13.88,107942.31,-0.15,-1.06,13.732,13.411,13.026,93080.02,71648.03,53633.1,5.88
2018-01-02,14.05,14.69,14.09,13.6,102600.0,0.13,0.93,13.594,13.305,12.952,83236.76,64682.89,49974.93,5.59
2017-12-29,13.45,14.17,13.96,13.21,91595.0,0.44,3.25,13.406,13.144,12.876,77495.89,56756.82,46802.38,4.99
2017-12-28,13.16,14.41,13.52,13.1,116731.0,0.37,2.81,13.244,12.985,12.824,66248.29,49868.22,44574.83,6.35
2017-12-27,13.32,13.4,13.15,13.02,46531.78,-0.1,-0.76,13.146,12.887,12.785,53200.5,40797.02,41392.49,2.53
2017-12-26,13.15,13.35,13.25,12.9,58726.0,0.1,0.76,13.09,12.818,12.758,50216.05,37798.15,40943.88,3.2
2017-12-25,13.13,13.69,13.15,13.01,73895.68,0.0,0.0,13.016,12.732,12.733,46129.02,36837.3,41132.66,4.02
2017-12-22,12.99,13.22,13.15,12.9,35357.0,0.12,0.92,12.882,12.704,12.696,36017.76,33718.03,40121.38,1.92
2017-12-21,12.73,13.14,13.03,12.61,51492.02,0.16,1.24,12.726,12.68,12.652,33488.16,35643.84,40259.5,2.8
2017-12-20,12.76,12.96,12.87,12.65,31609.54,-0.01,-0.08,12.628,12.647,12.61,28393.55,36242.32,40672.76,1.72
2017-12-19,12.48,12.94,12.88,12.42,38290.88,0.4,3.21,12.546,12.64,12.568,25380.24,35618.16,41134.32,2.08
2017-12-18,12.37,12.52,12.48,12.29,23339.34,0.11,0.89,12.448,12.599,12.537,27545.57,35266.98,41188.48,1.27
2017-12-15,12.53,12.65,12.37,12.31,22709.0,-0.17,-1.36,12.526,12.607,12.531,31418.31,36847.94,42774.5,1.24
2017-12-14,12.41,12.58,12.54,12.26,26019.0,0.08,0.64,12.634,12.662,12.526,37799.52,39281.44,45645.93,1.42
2017-12-13,12.37,12.51,12.46,12.29,16543.0,0.07,0.56,12.666,12.683,12.58,44091.08,41987.96,48730.71,0.9
2017-12-12,12.7,12.76,12.39,12.33,49117.53,-0.48,-3.73,12.734,12.697,12.627,45856.08,44089.61,51374.11,2.67
2017-12-11,12.98,13.08,12.87,12.79,42703.0,-0.04,-0.31,12.75,12.733,12.655,42988.38,45428.01,50910.43,2.32
2017-12-08,12.7,13.03,12.91,12.51,54615.08,0.21,1.65,12.688,12.687,12.672,42277.57,46524.73,51528.29,2.97
2017-12-07,12.84,13.04,12.7,12.68,57476.8,-0.1,-0.78,12.69,12.624,12.694,40763.36,44875.16,53113.97,3.13
2017-12-06,12.6,12.81,12.8,12.4,25368.0,0.33,2.65,12.7,12.572,12.695,39884.83,45103.2,51644.74,1.38
2017-12-05,12.64,12.64,12.47,12.27,34779.0,-0.09,-0.72,12.66,12.495,12.684,42323.13,46650.48,51964.82,1.89
2017-12-04,12.96,13.06,12.56,12.55,39148.95,-0.36,-2.79,12.716,12.475,12.686,47867.65,47109.98,51726.42,2.13
2017-12-01,12.75,13.14,12.92,12.55,47044.05,0.17,1.33,12.686,12.454,12.687,50771.89,48701.07,52001.12,2.56
2017-11-30,12.75,12.86,12.75,12.32,53084.15,0.15,1.19,12.558,12.389,12.659,48986.96,52010.41,51527.16,2.89
2017-11-29,12.84,12.84,12.6,12.55,37559.5,-0.15,-1.18,12.444,12.477,12.638,50321.56,55473.45,50961.11,2.04
2017-11-28,12.42,12.77,12.75,12.3,62501.6,0.34,2.74,12.33,12.556,12.64,50977.84,58658.6,50859.54,3.4
2017-11-27,12.2,12.75,12.41,11.9,53670.14,0.13,1.06,12.234,12.576,12.63,46352.32,56392.84,49673.06,2.92
2017-11-24,12.01,12.65,12.28,12.0,38119.41,0.1,0.82,12.222,12.656,12.629,46630.25,56531.86,51074.6,2.08
2017-11-23,12.05,12.7,12.18,11.89,59757.16,0.15,1.25,12.22,12.764,12.675,55033.87,61352.78,53488.93,3.25
2017-11-22,12.28,12.55,12.03,11.93,40840.88,-0.24,-1.96,12.51,12.818,12.758,60625.35,58186.29,54438.98,2.22
2017-11-21,12.35,12.75,12.27,12.25,39374.0,-0.08,-0.65,12.782,12.873,12.861,66339.37,57279.16,56349.38,2.14
2017-11-20,11.9,12.57,12.35,11.31,55059.8,0.08,0.65,12.918,12.896,12.949,66433.37,56342.86,60449.19,3.0
2017-11-17,13.6,13.6,12.27,12.27,80137.5,-1.36,-9.98,13.09,12.92,13.001,66433.46,55301.17,60156.7,4.36
2017-11-16,13.26,13.7,13.63,12.99,87714.55,0.24,1.79,13.308,12.928,13.058,67671.7,51043.91,58673.99,4.78
2017-11-15,13.0,13.39,13.39,12.9,69411.0,0.44,3.4,13.126,12.798,13.042,55747.23,46448.76,59079.72,3.78
2017-11-14,13.19,13.32,12.95,12.8,39844.0,-0.26,-1.97,12.964,12.723,13.023,48218.95,43060.47,60287.15,2.17
2017-11-13,13.25,13.52,13.21,13.08,55060.25,-0.15,-1.12,12.874,12.684,13.06,46252.35,42953.27,61787.26,3.0
2017-11-10,12.8,13.45,13.36,12.51,86328.68,0.64,5.03,12.75,12.602,13.079,44168.87,45617.35,64423.95,4.7
2017-11-09,12.57,12.87,12.72,12.54,28092.23,0.14,1.11,12.548,12.586,13.115,34416.13,45625.09,63992.17,1.53
