date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2018-01-12,11.53,11.6,11.25,11.22,52389.85,-0.27,-2.34,11.444,11.625,11.814,76196.78,83818.4,84685.97,1.41
2018-01-11,11.46,11.63,11.52,11.23,83423.96,-0.08,-0.69,11.546,11.647,11.89,76493.45,85553.66,86418.03,2.25
2018-01-10,11.4,11.82,11.6,11.0,124318.89,0.2,1.75,11.614,11.625,11.96,72615.49,82759.65,86265.74,3.36
2018-01-09,11.41,11.56,11.4,11.35,49433.44,-0.05,-0.44,11.654,11.609,12.018,65102.35,78218.2,86842.74,1.33
2018-01-08,11.75,11.75,11.45,11.35,71417.74,-0.31,-2.64,11.732,11.606,12.109,71788.64,86038.61,91112.0,1.93
2018-01-05,11.86,11.87,11.76,11.67,53873.22,-0.1,-0.84,11.806,11.656,12.199,91440.02,89530.21,96274.15,1.45
2018-01-04,11.74,11.87,11.86,11.63,64034.16,0.06,0.51,11.748,11.734,12.261,94613.86,91716.99,104104.85,1.73
2018-01-03,11.75,12.07,11.8,11.6,86753.21,0.01,0.09,11.636,11.792,12.324,92903.8,92465.44,110402.44,2.34
2018-01-02,11.55,11.87,11.79,11.55,82864.88,-0.03,-0.25,11.564,11.852,12.362,91334.04,91030.96,113706.87,2.24
2017-12-29,11.96,12.5,11.82,11.8,169674.64,0.35,3.05,11.48,11.896,12.411,100288.58,93840.8,116958.65,4.58
2017-12-28,11.28,11.47,11.47,11.17,69742.41,0.17,1.5,11.506,12.002,12.481,87620.39,85553.54,121543.71,1.88
2017-12-27,11.5,11.5,11.3,11.25,55483.87,-0.14,-1.22,11.72,12.133,12.548,88820.11,87282.4,126894.12,1.5
2017-12-26,11.33,11.49,11.44,11.15,78904.38,0.07,0.62,11.948,12.294,12.632,92027.08,89771.83,142076.68,2.13
2017-12-25,12.16,12.19,11.37,11.25,127637.6,-0.58,-4.85,12.14,12.427,12.705,90727.89,95467.28,153187.22,3.45
2017-12-22,12.48,12.58,11.95,11.92,106333.69,-0.59,-4.71,12.312,12.611,12.722,87393.02,96185.38,149412.97,2.87
2017-12-21,12.37,12.71,12.54,12.19,75741.03,0.1,0.8,12.498,12.741,12.71,83486.7,103018.1,146808.93,2.05
2017-12-20,12.37,12.72,12.44,12.32,71518.69,0.04,0.32,12.546,12.788,12.666,85744.69,116492.71,147072.16,1.93
2017-12-19,12.15,12.45,12.4,12.1,72408.42,0.17,1.39,12.64,12.855,12.658,87516.59,128339.44,148185.27,1.96
2017-12-18,12.9,12.9,12.23,12.22,110963.25,-0.65,-5.05,12.714,12.871,12.644,100206.68,136382.79,150255.73,3.0
2017-12-15,12.79,12.91,12.88,12.64,86802.09,0.1,0.78,12.91,12.926,12.628,104977.75,140076.5,147974.48,2.34
2017-12-14,12.92,12.95,12.78,12.63,87030.98,-0.13,-1.01,12.984,12.96,12.561,122549.49,157533.88,148091.15,2.35
2017-12-13,12.76,12.98,12.91,12.71,80378.21,0.14,1.1,13.03,12.963,12.534,147240.73,166505.84,148048.4,2.17
2017-12-12,13.19,13.19,12.77,12.68,135858.88,-0.44,-3.33,13.07,12.97,12.519,169162.29,194381.53,150306.59,3.67
2017-12-11,13.22,13.38,13.21,13.0,134818.59,-0.04,-0.3,13.028,12.982,12.5,172558.89,210907.16,149428.17,3.64
2017-12-08,13.0,13.37,13.25,12.91,174660.81,0.24,1.84,12.942,12.833,12.455,175175.25,202640.56,150508.67,4.72
