date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2018-01-12,14.48,14.89,14.89,14.47,82103.09,0.28,1.92,14.462,14.493,14.71,56694.0,57581.11,74354.01,1.21
2018-01-11,14.18,14.73,14.61,13.97,70274.39,0.36,2.53,14.34,14.443,14.728,55502.43,55196.94,78601.67,1.04
2018-01-10,14.32,14.32,14.25,13.88,44432.6,-0.04,-0.28,14.322,14.42,14.749,53523.8,55382.91,80478.38,0.66
2018-01-09,14.25,14.32,14.29,14.12,32082.29,0.02,0.14,14.408,14.474,14.783,55754.99,58359.2,84616.2,0.47
2018-01-08,14.33,14.33,14.27,13.97,54577.61,-0.01,-0.07,14.452,14.553,14.814,60077.47,61989.08,95243.21,0.81
2018-01-05,14.49,14.6,14.28,14.18,76145.24,-0.24,-1.65,14.524,14.604,14.835,58468.22,63363.66,101155.63,1.12
2018-01-04,14.68,14.81,14.52,14.44,60381.25,-0.16,-1.09,14.546,14.695,14.789,54891.45,65417.23,100948.66,0.89
2018-01-03,14.51,14.73,14.68,14.47,55588.55,0.17,1.17,14.518,14.763,14.753,57242.03,68373.26,101663.37,0.82
2018-01-02,14.56,14.67,14.51,14.42,53694.71,-0.12,-0.82,14.54,14.824,14.693,60963.41,77225.05,103011.44,0.79
2017-12-29,14.35,14.69,14.63,14.3,46531.37,0.24,1.67,14.654,14.909,14.658,63900.68,85506.41,105657.0,0.69
2017-12-28,14.28,14.69,14.39,14.26,58261.37,0.01,0.07,14.684,14.927,14.643,68259.1,91126.92,109473.3,0.86
2017-12-27,14.54,14.77,14.38,14.21,72134.13,-0.41,-2.77,14.844,15.013,14.662,75943.0,102006.41,112599.01,1.06
2017-12-26,15.06,15.2,14.79,14.6,74195.49,-0.29,-1.92,15.008,15.078,14.669,79504.5,105573.84,114993.96,1.1
2017-12-25,14.85,15.1,15.08,14.7,68381.04,0.3,2.03,15.108,15.092,14.644,93486.69,110873.2,117631.85,1.01
2017-12-22,15.01,15.26,14.78,14.71,68323.45,-0.41,-2.7,15.164,15.074,14.54,107112.14,128497.34,118691.77,1.01
2017-12-21,15.08,15.44,15.19,14.93,96680.89,-0.01,-0.07,15.17,15.066,14.517,113994.73,138947.61,117050.65,1.43
2017-12-20,15.25,15.45,15.2,15.06,89941.61,-0.09,-0.59,15.182,14.883,14.483,128069.82,136480.1,114727.07,1.33
2017-12-19,15.34,15.6,15.29,15.06,144106.45,-0.07,-0.46,15.148,14.742,14.479,131643.19,134953.48,113983.85,2.13
2017-12-18,14.93,15.42,15.36,14.55,136508.28,0.55,3.71,15.076,14.562,14.46,128259.7,128797.83,111558.26,2.01
2017-12-15,15.25,15.31,14.81,14.81,102736.44,-0.44,-2.88,14.984,14.407,14.459,149882.55,125807.59,115914.73,1.52
2017-12-14,15.07,15.48,15.25,14.91,167056.3,0.22,1.46,14.962,14.359,14.429,163900.48,127819.68,114864.0,2.47
2017-12-13,14.9,15.1,15.03,14.73,107808.49,0.1,0.67,14.584,14.31,14.367,144890.39,123191.6,108538.98,1.59
2017-12-12,14.88,15.11,14.93,14.74,127189.0,0.03,0.2,14.336,14.259,14.334,138263.76,124414.08,105086.33,1.88
2017-12-11,15.17,15.36,14.9,14.76,244622.52,0.2,1.36,14.048,14.196,14.3,129335.95,124390.5,101532.53,3.61
2017-12-08,13.4,14.7,14.7,13.32,172826.08,1.34,10.03,13.83,14.006,14.289,101732.63,108886.19,91996.34,2.55
2017-12-07,13.58,13.78,13.36,13.34,72005.87,-0.43,-3.12,13.756,13.968,14.293,91738.89,95153.69,85840.85,1.06
2017-12-06,13.33,13.83,13.79,13.12,74675.33,0.3,2.22,14.036,14.082,14.375,101492.82,92974.04,85045.78,1.21
2017-12-05,13.84,13.95,13.49,13.17,82549.95,-0.32,-2.32,14.182,14.215,14.434,110564.4,93014.23,83898.32,1.33
2017-12-04,14.44,14.56,13.81,13.76,106605.93,-0.52,-3.63,14.344,14.357,14.498,119445.05,94318.7,82003.83,1.72
2017-12-01,14.98,15.0,14.33,14.25,122857.36,-0.43,-2.91,14.182,14.511,14.561,116039.75,106021.86,78863.73,1.98
2017-11-30,15.14,15.54,14.76,14.3,120775.51,0.24,1.65,14.18,14.498,14.585,98568.5,101908.32,74108.98,1.95
2017-11-29,14.26,14.9,14.52,14.16,120033.26,0.22,1.54,14.128,14.423,14.608,84455.26,93886.35,70441.15,1.94
2017-11-28,13.06,14.3,14.3,12.97,126953.2,1.3,10.0,14.248,14.409,14.64,75464.06,85758.58,67540.05,2.05
2017-11-27,14.23,14.39,13.0,12.89,89579.43,-1.32,-9.22,14.37,14.404,14.65,69192.35,78674.55,62949.5,1.5
2017-11-24,14.5,14.65,14.32,14.27,35501.09,-0.18,-1.24,14.84,14.572,14.711,96003.97,75106.49,61702.49,0.6
2017-11-23,15.01,15.26,14.5,14.5,50209.3,-0.62,-4.1,14.816,14.617,14.758,105248.15,76528.0,61638.74,0.84
2017-11-22,14.98,15.46,15.12,14.73,75077.3,0.21,1.41,14.718,14.667,14.802,103317.45,77117.52,60671.77,1.26
2017-11-21,15.2,15.46,14.91,14.9,95594.64,-0.44,-2.87,14.57,14.653,14.815,96053.1,74782.4,58225.68,1.61
2017-11-20,14.2,15.62,15.35,13.51,223637.52,1.15,8.1,14.438,14.638,14.85,88156.75,69688.96,55253.51,3.75
2017-11-17,13.97,14.45,14.2,13.73,81721.97,0.19,1.36,14.304,14.61,14.863,54209.01,51705.6,45512.47,1.37
2017-11-16,14.52,14.52,14.01,14.01,40555.82,-0.37,-2.57,14.418,14.672,14.922,47807.86,46309.64,42824.45,0.68
2017-11-15,14.38,14.68,14.38,14.2,38755.54,0.13,0.91,14.616,14.793,14.972,50917.59,46995.94,43302.04,0.65
2017-11-14,14.81,14.88,14.25,14.25,56112.9,-0.43,-2.93,14.736,14.87,15.033,53511.7,49321.53,43081.32,0.94
2017-11-13,14.79,15.0,14.68,14.5,53898.82,-0.09,-0.61,14.838,14.896,15.124,51221.17,47224.46,41630.54,0.9
2017-11-10,14.98,15.01,14.77,14.77,49716.2,-0.23,-1.53,14.916,14.849,15.196,49202.2,48298.5,41690.3,0.83
