date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2018-01-12,10.65,10.77,10.61,10.52,14457.5,-0.15,-1.39,10.674,10.728,10.691,10197.93,9660.46,9264.18,0.86
2018-01-11,10.54,10.8,10.76,10.42,11606.12,0.22,2.09,10.722,10.711,10.704,9173.23,9198.91,8956.8,0.69
2018-01-10,10.69,10.69,10.54,10.4,10597.2,-0.15,-1.4,10.744,10.679,10.709,8925.2,8744.2,8705.45,0.63
2018-01-09,10.77,10.77,10.69,10.6,7340.0,-0.08,-0.74,10.792,10.686,10.716,8467.96,8266.28,8614.4,0.44
2018-01-08,10.77,10.91,10.77,10.68,6988.81,-0.08,-0.74,10.796,10.666,10.726,8646.16,8123.19,8875.48,0.42
2018-01-05,10.95,10.98,10.85,10.75,9334.0,-0.02,-0.18,10.782,10.645,10.722,9123.0,8044.61,8957.4,0.56
2018-01-04,10.77,10.98,10.87,10.69,10366.0,0.09,0.83,10.7,10.618,10.707,9224.6,7914.64,8927.3,0.62
2018-01-03,10.68,10.82,10.78,10.66,8311.0,0.07,0.65,10.614,10.589,10.682,8563.21,7901.74,8986.44,0.5
2018-01-02,10.7,10.76,10.71,10.55,8231.0,0.01,0.09,10.58,10.605,10.651,8064.61,7975.97,9640.14,0.49
2017-12-29,10.41,10.79,10.7,10.4,9373.0,0.26,2.49,10.536,10.63,10.658,7600.21,8934.39,9647.19,0.56
2017-12-28,10.41,10.53,10.44,10.34,9842.01,0.0,0.0,10.508,10.653,10.677,6966.21,8867.89,9557.41,0.59
2017-12-27,10.57,10.69,10.44,10.44,7059.02,-0.17,-1.6,10.536,10.697,10.702,6604.68,8714.69,9455.44,0.42
2017-12-26,10.44,10.61,10.61,10.2,5818.0,0.12,1.14,10.564,10.738,10.732,7240.27,8666.69,9593.52,0.35
2017-12-25,10.46,10.6,10.49,10.4,5909.03,-0.07,-0.66,10.63,10.745,10.759,7887.33,8962.52,9823.22,0.35
2017-12-22,10.67,10.67,10.56,10.51,6203.0,-0.02,-0.19,10.724,10.785,10.78,10268.57,9627.78,9907.7,0.37
2017-12-21,10.57,10.69,10.58,10.4,8034.34,0.0,0.0,10.798,10.799,10.799,10769.57,9870.2,10010.18,0.48
2017-12-20,10.84,10.92,10.58,10.53,10237.0,-0.36,-3.29,10.858,10.795,10.819,10824.7,9939.96,10212.6,0.61
2017-12-19,10.83,10.98,10.94,10.79,9053.3,-0.02,-0.18,10.912,10.775,10.845,10093.1,10071.14,10409.97,0.54
2017-12-18,10.91,11.21,10.96,10.81,17815.2,0.03,0.27,10.86,10.696,10.853,10037.7,11304.31,10529.85,1.06
2017-12-15,10.76,10.96,10.93,10.76,8708.0,0.05,0.46,10.846,10.686,10.867,8986.99,10359.99,10464.28,0.52
2017-12-14,10.78,10.94,10.88,10.77,8310.0,0.03,0.28,10.8,10.7,10.884,8970.83,10246.94,11502.29,0.5
2017-12-13,10.75,10.95,10.85,10.7,6579.0,0.17,1.59,10.732,10.706,10.953,9055.21,10196.19,11576.76,0.39
2017-12-12,10.8,10.94,10.68,10.63,8776.29,-0.21,-1.93,10.638,10.725,11.027,10049.17,10520.35,11767.76,0.52
2017-12-11,10.76,10.96,10.89,10.58,12561.68,0.19,1.78,10.532,10.772,11.112,12570.91,10683.93,12344.45,0.75
2017-12-08,10.56,10.75,10.7,10.4,8627.2,0.16,1.52,10.526,10.774,11.195,11732.98,10187.62,12481.55,0.51
2017-12-07,10.48,10.62,10.54,10.32,8731.89,0.16,1.54,10.6,10.798,11.294,11523.04,10150.17,12900.5,0.52
2017-12-06,10.12,10.42,10.38,10.06,11548.8,0.23,2.27,10.68,10.842,11.408,11337.18,10485.24,13564.24,0.69
2017-12-05,10.82,10.86,10.15,9.95,21385.0,-0.71,-6.54,10.812,10.914,11.524,10991.53,10748.81,14676.71,1.28
2017-12-04,11.02,11.1,10.86,10.85,8372.0,-0.21,-1.9,11.012,11.01,11.63,8796.95,9755.39,14072.95,0.5
2017-12-01,10.84,11.13,11.07,10.84,7577.5,0.13,1.19,11.022,11.048,11.698,8642.25,10568.57,14477.76,0.45
2017-11-30,10.99,11.09,10.94,10.93,7802.58,-0.1,-0.91,10.996,11.067,11.742,8777.3,12757.64,14608.57,0.47
2017-11-29,11.08,11.38,11.04,10.88,9820.55,-0.11,-0.99,11.004,11.2,11.793,9633.3,12957.33,15253.13,0.59
2017-11-28,10.87,11.15,11.15,10.83,10412.13,0.24,2.2,11.016,11.328,11.86,10506.1,13015.17,15571.09,0.62
2017-11-27,10.97,10.97,10.91,10.75,7598.5,-0.03,-0.27,11.008,11.451,11.915,10713.83,14004.97,15579.12,0.45
2017-11-24,10.85,11.05,10.94,10.77,8252.72,-0.04,-0.36,11.074,11.615,11.979,12494.89,14775.48,16302.17,0.49
2017-11-23,11.11,11.22,10.98,10.96,12082.62,-0.12,-1.08,11.138,11.789,12.066,16737.98,15650.83,16491.4,0.72
2017-11-22,11.07,11.21,11.1,10.91,14184.53,-0.01,-0.09,11.396,11.974,12.153,16281.35,16643.25,16441.86,0.85
2017-11-21,11.24,11.3,11.11,11.02,11450.77,-0.13,-1.16,11.64,12.134,12.232,15524.25,18604.6,16307.94,0.68
2017-11-20,11.15,11.26,11.24,10.85,16503.79,-0.02,-0.18,11.894,12.25,12.306,17296.12,18390.51,16263.75,0.98
2017-11-17,12.27,12.36,11.26,11.19,29468.18,-1.01,-8.23,12.156,12.347,12.382,17056.06,18386.95,16303.65,1.76
2017-11-16,12.36,12.46,12.27,12.24,9799.5,-0.05,-0.41,12.44,12.417,12.46,14563.68,16459.49,16077.95,0.58
2017-11-15,12.31,12.56,12.32,12.23,10399.0,-0.06,-0.48,12.552,12.386,12.46,17005.14,17548.93,16427.66,0.62
2017-11-14,12.6,12.6,12.38,12.34,20310.13,-0.17,-1.35,12.628,12.392,12.474,21684.95,18127.01,17118.45,1.21
2017-11-13,12.74,12.74,12.55,12.5,15303.51,-0.13,-1.02,12.606,12.379,12.497,19484.9,17153.27,16841.91,0.91
2017-11-10,12.78,12.8,12.68,12.55,17006.26,-0.15,-1.17,12.538,12.342,12.507,19717.84,17828.87,17618.58,1.01
2017-11-09,12.6,12.96,12.83,12.6,22006.81,0.13,1.02,12.394,12.343,12.54,18355.31,17331.96,17706.36,1.31
2017-11-08,12.46,13.13,12.7,12.46,33798.06,0.43,3.5,12.22,12.332,12.576,18092.72,16240.48,17632.11,2.02
2017-11-07,12.27,12.3,12.27,12.08,9309.85,0.06,0.49,12.156,12.329,12.619,14569.06,14011.29,17779.68,0.56
