date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2018-01-12,11.45,11.61,11.2,11.2,85604.53,-0.37,-3.2,11.134,10.848,10.819,79139.57,55729.94,48016.86,1.71
2018-01-11,11.15,11.66,11.57,11.05,124852.91,0.34,3.03,11.034,10.804,10.783,76073.81,50380.48,44954.72,2.5
2018-01-10,10.81,11.26,11.23,10.8,101844.65,0.47,4.37,10.816,10.727,10.729,54881.87,42993.42,41365.28,2.04
2018-01-09,10.84,10.86,10.76,10.72,26049.29,-0.15,-1.38,10.672,10.701,10.68,38441.18,40541.08,38107.74,0.52
2018-01-08,10.64,10.92,10.91,10.37,57346.48,0.21,1.96,10.616,10.699,10.671,39635.71,39756.87,38157.3,1.15
2018-01-05,10.73,11.11,10.7,10.66,70275.71,0.22,2.1,10.562,10.684,10.662,32320.31,37285.92,36895.75,1.41
2017-12-27,10.47,10.55,10.48,10.38,18893.2,-0.03,-0.28,10.574,10.691,10.657,24687.14,32603.41,34325.13,0.38
2017-12-26,10.46,10.55,10.51,10.37,19641.2,0.03,0.29,10.638,10.725,10.665,31104.97,33366.81,34855.01,0.39
2017-12-25,10.65,10.65,10.48,10.33,32021.98,-0.16,-1.5,10.73,10.743,10.677,42640.99,34967.36,34879.5,0.64
2017-12-22,10.77,10.85,10.64,10.64,20769.45,-0.12,-1.11,10.782,10.793,10.683,39878.02,38959.2,34908.6,0.42
2017-12-21,10.76,10.85,10.76,10.62,32109.89,-0.04,-0.37,10.806,10.79,10.683,42251.53,40303.79,35393.5,0.64
2017-12-20,10.97,10.97,10.8,10.68,50982.31,-0.17,-1.55,10.808,10.762,10.679,40519.67,39528.96,35655.31,1.02
2017-12-19,10.74,11.18,10.97,10.74,77321.32,0.23,2.14,10.812,10.731,10.684,35628.66,39737.15,35012.88,1.55
2017-12-18,10.76,10.82,10.74,10.61,18207.12,-0.02,-0.19,10.756,10.658,10.679,27293.73,35674.4,32434.38,0.36
2017-12-15,10.74,10.92,10.76,10.67,32637.0,-0.01,-0.09,10.804,10.642,10.691,38040.39,36557.73,32757.04,0.65
2017-12-14,10.8,10.87,10.77,10.69,23450.61,-0.05,-0.46,10.774,10.64,10.699,38356.04,36505.58,33647.6,0.47
2017-12-13,10.63,10.85,10.82,10.63,26527.26,0.13,1.22,10.716,10.622,10.728,38538.26,36046.86,33486.13,0.53
2017-12-12,10.96,10.96,10.69,10.69,35646.66,-0.29,-2.64,10.65,10.604,10.757,43845.64,36343.21,33847.97,0.71
2017-12-11,10.69,11.06,10.98,10.69,71940.4,0.37,3.49,10.56,10.61,10.81,44055.06,34791.64,33545.18,1.44
2017-12-08,10.55,10.72,10.61,10.43,34215.29,0.13,1.24,10.48,10.572,10.856,35075.07,30858.0,32674.97,0.68
2017-12-07,10.45,10.57,10.48,10.38,24361.67,-0.01,-0.1,10.506,10.575,10.913,34655.12,30483.21,33409.08,0.49
2017-12-06,10.2,10.6,10.49,10.09,53064.17,0.25,2.44,10.528,10.595,10.968,33555.46,31781.65,33516.36,1.06
2017-12-05,10.53,10.64,10.24,10.15,36693.78,-0.34,-3.21,10.558,10.637,11.018,28840.78,30288.62,34045.37,0.73
2017-12-04,10.71,10.74,10.58,10.54,27040.45,-0.16,-1.49,10.66,10.7,11.068,25528.21,29194.37,33597.8,0.54
2017-12-01,10.55,10.82,10.74,10.55,32115.52,0.15,1.42,10.664,10.739,11.101,26640.92,28956.35,33919.83,0.64
2017-11-30,10.6,10.66,10.59,10.52,18863.38,-0.05,-0.47,10.644,10.758,11.121,26311.31,30789.62,33924.29,0.38
2017-11-29,10.73,10.74,10.64,10.5,29490.75,-0.11,-1.02,10.662,10.833,11.152,30007.83,30925.4,35475.82,0.59
2017-11-28,10.62,10.78,10.75,10.58,20130.96,0.15,1.42,10.716,10.909,11.181,31736.46,31352.73,35577.97,0.4
2017-11-27,10.65,10.74,10.6,10.52,32604.0,-0.04,-0.38,10.74,11.01,11.208,32860.53,32298.72,36111.43,0.65
2017-11-24,10.69,10.8,10.64,10.55,30467.44,-0.04,-0.38,10.814,11.14,11.238,31271.79,34491.95,36962.71,0.61
2017-11-23,10.87,10.98,10.68,10.65,37346.02,-0.23,-2.11,10.872,11.25,11.291,35267.93,36334.95,37166.63,0.75
2017-11-22,10.87,11.13,10.91,10.71,38133.9,0.04,0.37,11.004,11.341,11.352,31842.97,35251.08,37145.76,0.76
2017-11-21,11.0,11.04,10.87,10.73,25751.29,-0.1,-0.91,11.102,11.398,11.404,30968.99,37802.13,37144.79,0.52
2017-11-20,10.95,11.0,10.97,10.59,24660.29,0.04,0.37,11.28,11.436,11.45,31736.9,38001.24,37309.48,0.49
