date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2018-01-12,16.27,16.35,15.86,15.81,45633.63,-0.57,-3.47,15.706,15.437,15.222,46421.32,34032.99,29138.75,2.5
2018-01-11,15.6,16.8,16.43,15.4,86986.03,0.85,5.46,15.566,15.332,15.188,40405.71,31464.25,27701.61,4.77
2018-01-10,15.3,16.2,15.58,15.3,48807.0,0.3,1.96,15.31,15.154,15.132,27148.33,23994.85,24088.17,2.68
2018-01-09,15.33,15.47,15.28,15.17,20363.68,-0.1,-0.65,15.266,15.069,15.116,23252.89,20637.27,22660.36,1.12
2018-01-08,15.14,15.44,15.38,14.85,30316.27,0.22,1.45,15.232,14.999,15.137,23579.12,21237.71,23079.85,1.66
2018-01-05,15.15,15.47,15.16,15.1,15555.58,0.01,0.07,15.168,14.976,15.136,21644.66,20040.95,22670.74,0.85
2018-01-04,15.37,15.37,15.15,15.1,20699.11,-0.21,-1.37,15.098,14.99,15.142,22522.79,22057.08,23241.63,1.14
2018-01-03,15.1,15.48,15.36,14.93,29329.83,0.25,1.66,14.998,14.983,15.152,20841.36,22985.57,23303.73,1.61
2018-01-02,15.07,15.23,15.11,14.74,21994.82,0.05,0.33,14.872,14.989,15.136,18021.64,25047.33,23638.19,1.21
2017-12-29,14.78,15.16,15.06,14.78,20643.97,0.25,1.69,14.766,14.983,15.173,18896.3,24670.94,24115.6,1.13
2017-12-28,14.65,15.04,14.81,14.62,19946.2,0.16,1.09,14.784,15.006,15.248,18437.23,24244.5,24505.42,1.09
2017-12-27,14.84,14.85,14.65,14.62,12292.0,-0.08,-0.54,14.882,15.043,15.318,21591.38,23938.97,24222.63,0.67
2017-12-26,14.66,14.87,14.73,14.43,15231.2,0.15,1.03,14.968,15.109,15.406,25129.77,24181.49,24556.01,0.84
2017-12-25,15.16,15.19,14.58,14.5,26368.13,-0.57,-3.76,15.106,15.163,15.505,32073.01,24683.45,24504.28,1.45
2017-12-22,15.29,15.35,15.15,15.05,18348.62,-0.15,-0.98,15.2,15.275,15.596,30445.59,24922.0,23925.19,1.01
2017-12-21,15.1,15.53,15.3,15.0,35716.96,0.22,1.46,15.228,15.296,15.657,30051.77,25300.53,23908.56,1.96
2017-12-20,15.35,15.4,15.08,15.03,29983.95,-0.34,-2.21,15.204,15.293,15.711,26286.55,24426.18,23490.21,1.65
2017-12-19,15.14,15.89,15.42,15.08,49947.41,0.37,2.46,15.25,15.32,15.787,23233.21,23621.9,22770.32,2.74
2017-12-18,15.28,15.43,15.05,15.01,18231.0,-0.24,-1.57,15.22,15.282,15.841,17293.89,22229.06,21010.64,1.0
2017-12-15,15.14,15.29,15.29,15.13,16379.51,0.11,0.72,15.35,15.362,15.916,19398.4,23560.26,21028.91,0.9
2017-12-14,15.31,15.45,15.18,15.1,16890.89,-0.13,-0.85,15.364,15.489,15.988,20549.3,24766.35,22204.74,0.93
2017-12-13,15.2,15.38,15.31,15.14,14717.23,0.04,0.26,15.382,15.592,16.128,22565.8,24506.3,22158.27,0.81
