date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2018-01-12,12.51,12.52,12.06,12.05,29217.41,-0.41,-3.29,12.124,12.086,11.799,31040.52,30594.98,28844.94,1.16
2018-01-11,12.16,12.67,12.47,12.1,45652.21,0.25,2.05,12.134,12.048,11.777,30546.07,32703.04,28355.62,1.81
2018-01-10,12.05,12.28,12.22,11.88,31965.0,0.29,2.43,12.028,11.919,11.737,24949.34,29940.92,27088.17,1.27
2018-01-09,11.99,12.18,11.93,11.93,25486.0,-0.01,-0.08,12.014,11.836,11.715,25234.91,28439.89,27510.69,1.01
2018-01-08,12.07,12.07,11.94,11.83,22882.0,-0.17,-1.4,12.032,11.762,11.713,25845.03,28004.94,28926.15,0.91
2018-01-05,11.89,12.28,12.11,11.81,26745.16,0.17,1.42,12.048,11.721,11.679,30149.44,27534.14,28778.67,1.06
2018-01-04,12.06,12.15,11.94,11.92,17668.54,-0.21,-1.73,11.962,11.672,11.633,34860.01,27800.42,28163.55,0.7
2018-01-03,12.01,12.15,12.15,11.86,33392.86,0.13,1.08,11.81,11.665,11.601,34932.5,28905.23,28297.28,1.32
2018-01-02,11.9,12.02,12.02,11.8,28536.6,0.0,0.0,11.658,11.63,11.551,31644.87,30768.26,27941.49,1.13
2017-12-29,11.57,12.02,12.02,11.51,44404.06,0.34,2.91,11.492,11.558,11.526,30164.84,29904.64,28102.85,1.76
2017-12-28,11.18,11.68,11.68,11.14,50297.99,0.5,4.47,11.394,11.512,11.531,24918.83,27094.9,27062.1,1.99
2017-12-27,11.32,11.39,11.18,11.15,18031.0,-0.21,-1.84,11.382,11.505,11.544,20740.83,24008.19,25496.54,0.71
2017-12-26,11.18,11.4,11.39,11.06,16954.72,0.2,1.79,11.52,11.555,11.597,22877.96,24235.41,26058.87,0.67
2017-12-25,11.51,11.51,11.19,11.1,21136.42,-0.34,-2.95,11.602,11.593,11.629,29891.65,26581.5,26058.21,0.84
2017-12-22,11.58,11.73,11.53,11.5,18174.0,-0.09,-0.78,11.624,11.663,11.659,29644.43,29847.36,26108.67,0.72
2017-12-21,11.77,11.88,11.62,11.46,29408.0,-0.25,-2.11,11.63,11.636,11.677,29270.97,30023.21,25924.76,1.17
2017-12-20,11.8,11.95,11.87,11.74,28716.66,0.07,0.59,11.628,11.594,11.69,27275.55,28526.69,25466.46,1.14
2017-12-19,11.4,12.04,11.8,11.39,52023.17,0.5,4.42,11.59,11.536,11.703,25592.86,27689.32,25362.08,2.06
2017-12-18,11.5,11.59,11.3,11.24,19900.34,-0.26,-2.25,11.584,11.472,11.707,23271.34,25114.71,23957.01,0.95
2017-12-15,11.52,11.69,11.56,11.51,16306.7,-0.05,-0.43,11.702,11.494,11.749,30050.28,26301.07,23945.88,0.78
