date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2018-01-12,15.11,15.12,14.77,14.54,130712.71,-0.27,-1.79,14.866,15.01,15.106,98217.11,88998.95,89830.94,2.38
2018-01-11,14.76,15.07,15.04,14.61,139612.05,0.26,1.76,14.892,15.013,15.151,87349.62,82231.0,88874.22,2.54
2018-01-10,14.89,14.92,14.78,14.5,91793.36,-0.09,-0.6,14.892,14.979,15.182,75981.94,74900.18,87214.64,1.67
2018-01-09,14.89,15.06,14.87,14.75,55001.85,0.0,0.0,15.008,14.982,15.203,73404.17,72542.28,87389.33,1.0
2018-01-08,14.8,14.92,14.87,14.64,73965.6,-0.03,-0.2,15.112,14.985,15.233,79842.88,78440.63,93127.6,1.35
2018-01-05,15.15,15.19,14.9,14.87,76375.24,-0.14,-0.93,15.154,15.009,15.238,79780.8,77165.64,93194.08,1.39
2018-01-04,15.36,15.45,15.04,15.01,82773.65,-0.32,-2.08,15.134,15.045,15.236,77112.38,79605.4,92837.54,1.51
2018-01-03,15.35,15.42,15.36,15.17,78904.5,-0.03,-0.2,15.066,15.088,15.237,73818.42,78373.99,94805.0,1.44
2018-01-02,15.09,15.5,15.39,14.97,87195.39,0.31,2.06,14.956,15.131,15.213,71680.4,82137.23,100939.09,1.59
2017-12-29,14.89,15.2,15.08,14.88,73655.2,0.28,1.89,14.858,15.133,15.221,77038.38,81789.47,102939.7,1.34
2017-12-28,14.68,14.93,14.8,14.62,63033.15,0.1,0.68,14.864,15.202,15.278,74550.48,90662.92,107548.8,1.15
2017-12-27,14.77,14.9,14.7,14.67,66303.84,-0.11,-0.74,14.956,15.289,15.329,82098.43,95517.45,109813.65,1.21
2017-12-26,14.87,14.94,14.81,14.62,68214.42,-0.09,-0.6,15.11,15.385,15.403,82929.57,99529.11,118665.02,1.24
2017-12-25,15.03,15.25,14.9,14.55,113985.28,-0.21,-1.39,15.306,15.423,15.497,92594.06,102236.37,124334.29,2.08
2017-12-22,15.31,15.51,15.11,15.07,61215.73,-0.15,-0.98,15.408,15.48,15.546,86540.55,107814.58,128753.19,1.12
2017-12-21,15.5,15.56,15.26,14.83,100772.88,-0.21,-1.36,15.54,15.466,15.605,106775.35,109222.53,136755.58,1.84
2017-12-20,15.71,15.79,15.47,15.43,70459.52,-0.32,-2.03,15.622,15.427,15.631,108936.47,106069.67,141822.74,1.28
2017-12-19,15.43,15.94,15.79,15.42,116536.87,0.38,2.47,15.66,15.385,15.644,116128.64,111236.0,147933.05,2.12
2017-12-18,15.61,15.8,15.41,15.35,83717.77,-0.36,-2.28,15.54,15.294,15.63,111878.69,119740.94,149288.44,1.53
2017-12-15,15.6,16.1,15.77,15.6,162389.7,0.1,0.64,15.552,15.309,15.633,129088.6,124089.94,152157.63,2.96
2017-12-14,15.63,15.79,15.67,15.42,111578.49,0.01,0.06,15.392,15.354,15.598,111669.71,124434.69,150468.14,2.03
2017-12-13,15.2,15.7,15.66,15.13,106420.39,0.47,3.09,15.232,15.369,15.562,103202.87,124109.86,149147.14,1.94
2017-12-12,15.34,15.58,15.19,15.19,95287.1,-0.28,-1.81,15.11,15.421,15.536,106343.35,137800.94,149471.27,1.76
2017-12-11,15.28,16.06,15.47,15.25,169767.34,0.5,3.34,15.048,15.57,15.53,127603.2,146432.21,153258.63,3.14
