date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2017-11-06,13.1,13.39,13.19,13.1,164209.45,0.16,1.23,13.406,14.116,14.547,208864.95,262431.77,321762.53,1.2
2017-11-03,13.32,13.48,13.03,12.9,235368.86,-0.33,-2.47,13.48,14.301,14.605,299588.96,268698.5,328416.81,1.72
2017-11-02,13.7,13.71,13.36,13.19,265522.03,-0.39,-2.84,13.862,14.508,14.65,291018.14,269088.25,324607.87,1.95
2017-11-01,13.65,13.88,13.75,13.59,184416.44,0.05,0.36,14.246,14.645,14.669,292599.29,271931.13,322178.9,1.35
2017-10-31,13.56,13.78,13.7,13.48,194807.95,0.14,1.03,14.574,14.705,14.672,313530.03,281625.87,322865.6,1.43
2017-10-30,14.57,14.57,13.56,13.45,617829.5,-1.38,-9.24,14.826,14.824,14.671,315998.59,287532.25,334184.67,4.53
2017-10-27,15.28,15.38,14.94,14.88,192514.8,-0.34,-2.23,15.122,14.949,14.708,237808.05,270203.48,316000.18,1.41
2017-10-26,15.38,15.66,15.28,15.23,273427.75,-0.11,-0.71,15.154,14.987,14.699,247158.36,287842.3,322963.8,2.0
2017-10-25,14.96,15.39,15.39,14.72,289070.16,0.43,2.87,15.044,14.977,14.645,251262.97,306164.62,323763.83,2.12
2017-10-24,15.05,15.14,14.96,14.63,207150.72,-0.08,-0.53,14.836,14.956,14.615,249721.7,351328.06,324221.69,1.52
2017-10-23,15.0,15.36,15.04,14.88,226876.8,-0.06,-0.4,14.822,14.977,14.594,259065.91,381093.3,336961.63,1.66
2017-10-20,14.6,15.15,15.1,14.53,239266.38,0.37,2.51,14.776,14.908,14.566,302598.92,388135.11,340938.79,1.75
2017-10-19,14.37,14.75,14.73,14.1,293950.81,0.38,2.65,14.82,14.792,14.511,328526.25,380127.48,348052.06,2.15
2017-10-18,14.89,15.04,14.35,14.31,281363.81,-0.54,-3.63,14.91,14.693,14.503,361066.26,372426.67,352939.92,2.06
2017-10-17,14.69,15.04,14.89,14.62,253871.77,0.08,0.54,15.076,14.638,14.51,452934.42,364105.32,350663.8,1.86
2017-10-16,15.34,15.62,14.81,14.51,444541.81,-0.51,-3.33,15.132,14.517,14.484,503120.69,380837.09,358555.84,3.26
2017-10-13,15.38,15.49,15.32,15.05,368903.03,0.14,0.92,15.04,14.466,14.476,473671.31,361796.87,351663.03,2.7
2017-10-12,15.35,15.68,15.18,15.04,456650.88,0.0,0.0,14.764,14.41,14.439,431728.72,358085.3,354053.07,3.35
2017-10-11,15.33,15.98,15.18,15.05,740704.62,0.01,0.07,14.476,14.313,14.414,383787.08,341363.05,366171.08,5.43
2017-10-10,14.29,15.19,15.17,14.22,504803.12,0.82,5.71,14.2,14.273,14.396,275276.22,297115.32,375014.25,3.7
2017-10-09,14.19,14.58,14.35,13.97,297294.88,0.41,2.94,13.902,14.211,14.337,258553.49,292829.96,385189.16,2.18
2017-09-29,13.8,14.07,13.94,13.76,159190.11,0.2,1.46,13.892,14.223,14.33,249922.43,293742.47,415956.72,1.17
2017-09-28,13.8,14.05,13.74,13.59,216942.69,-0.06,-0.43,14.056,14.229,14.303,284441.87,315976.63,437868.93,1.59
2017-09-27,13.66,13.9,13.8,13.56,198150.31,0.12,0.88,14.15,14.312,14.267,298939.02,333453.18,436945.25,1.45
2017-09-26,14.22,14.37,13.68,13.47,421189.47,-0.62,-4.34,14.346,14.381,14.222,318954.41,337222.29,440493.27,3.09
2017-09-25,14.61,14.7,14.3,14.18,254139.58,-0.46,-3.12,14.52,14.451,14.191,327106.43,336274.6,434446.08,1.86
2017-09-22,14.18,14.83,14.76,14.16,331787.31,0.55,3.87,14.554,14.485,14.14,337562.51,341529.19,440948.63,2.43
2017-09-21,14.92,14.94,14.21,14.13,289428.41,-0.57,-3.86,14.402,14.468,14.045,347511.39,350020.84,436466.58,2.12
2017-09-20,14.58,14.9,14.78,14.46,298227.28,0.23,1.58,14.474,14.514,13.972,367967.34,390979.11,436594.88,2.18
2017-09-19,14.42,14.98,14.55,14.42,461949.59,0.08,0.55,14.416,14.519,13.886,355490.16,452913.19,432241.1,3.38
2017-09-18,14.02,14.48,14.47,13.91,306419.97,0.47,3.36,14.382,14.463,13.81,345442.76,477548.37,422286.94,2.24
2017-09-15,14.53,14.53,14.0,13.94,381531.72,-0.57,-3.91,14.416,14.436,13.754,345495.87,538170.96,421066.11,2.8
2017-09-14,14.48,14.83,14.57,14.35,391708.12,0.08,0.55,14.534,14.376,13.719,352530.29,559761.23,421846.18,2.87
2017-09-13,14.41,14.56,14.49,14.33,235841.41,0.11,0.77,14.554,14.221,13.664,413990.88,540437.33,428271.13,1.73
2017-09-12,14.66,14.74,14.38,14.28,411712.56,-0.26,-1.78,14.622,14.063,13.596,550336.21,543764.26,439836.67,3.02
2017-09-11,14.48,14.75,14.64,14.35,306685.53,0.05,0.34,14.544,13.931,13.533,609653.97,532617.56,432748.79,2.25
2017-09-08,14.59,14.85,14.59,14.34,416703.84,-0.08,-0.55,14.456,13.794,13.454,730846.06,540368.06,440169.35,3.05
2017-09-07,14.9,15.25,14.67,14.55,699011.06,-0.16,-1.08,14.218,13.621,13.346,766992.18,522912.32,433579.84,5.12
2017-09-06,14.09,15.38,14.83,13.93,917568.06,0.84,6.0,13.888,13.429,13.228,666883.78,482210.66,411229.12,6.72
2017-09-05,14.21,14.58,13.99,13.93,708301.38,-0.21,-1.48,13.504,13.252,13.123,537192.31,411569.01,378926.64,5.19
2017-09-04,13.36,14.2,14.2,13.0,912645.94,0.8,5.97,13.318,13.156,13.07,455581.15,367025.51,362084.23,6.69
2017-09-01,13.1,13.68,13.4,12.8,597434.44,0.38,2.92,13.132,13.071,12.99,349890.07,303961.26,332463.21,4.38
2017-08-31,12.9,13.05,13.02,12.8,198469.06,0.11,0.85,13.024,13.061,12.936,278832.47,283931.13,314385.29,1.45
2017-08-30,13.06,13.15,12.91,12.84,269110.75,-0.15,-1.15,12.97,13.106,12.899,297537.54,316104.92,320264.94,1.97
2017-08-29,13.39,13.47,13.06,12.98,300245.56,-0.21,-1.58,13.0,13.129,12.859,285945.7,335909.07,316056.94,2.2
2017-08-28,12.9,13.42,13.27,12.87,384190.53,0.41,3.19,12.994,13.134,12.826,278469.87,332880.01,312317.44,2.81
2017-08-25,12.51,12.95,12.86,12.42,242146.44,0.11,0.86,13.01,13.114,12.776,258032.44,339970.64,308117.84,1.77
2017-08-24,13.04,13.1,12.75,12.62,291994.44,-0.31,-2.37,13.098,13.07,12.735,289029.79,344247.36,310212.93,2.14
2017-08-23,13.01,13.28,13.06,13.0,211151.52,0.03,0.23,13.242,13.027,12.712,334672.3,340247.58,322424.0,1.55
2017-08-22,13.3,13.31,13.03,13.01,262866.44,-0.32,-2.4,13.258,12.993,12.627,385872.45,346284.27,321262.91,1.93
2017-08-21,13.3,13.53,13.35,13.12,282003.38,0.05,0.38,13.274,12.984,12.555,387290.15,357142.94,317254.99,2.07
2017-08-18,13.35,13.66,13.3,13.28,397133.19,-0.17,-1.26,13.218,12.908,12.461,421908.84,360965.17,311314.79,2.91
2017-08-17,13.01,13.75,13.47,13.01,520206.97,0.33,2.51,13.042,12.81,12.369,399464.92,344839.45,300197.59,3.81
2017-08-16,13.12,13.47,13.14,13.01,467152.25,0.03,0.23,12.812,12.691,12.266,345822.87,324424.96,285680.56,3.42
2017-08-15,13.05,13.15,13.11,12.95,269954.97,0.04,0.31,12.728,12.589,12.181,306696.1,296204.8,275887.23,1.98
2017-08-14,12.38,13.18,13.07,12.38,455096.81,0.65,5.23,12.694,12.517,12.102,326995.72,291754.87,278780.93,3.33
