date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2018-01-12,19.37,19.95,18.75,18.6,249768.12,-1.21,-6.06,18.48,17.33,17.074,264598.72,173108.77,140390.45,12.61
2018-01-11,19.25,20.65,19.96,18.68,402374.69,1.15,6.11,18.116,17.037,16.952,254798.33,154281.33,129789.02,20.32
2018-01-10,17.7,18.81,18.81,17.68,301356.88,1.71,10.0,17.352,16.654,16.771,186490.09,121120.3,111605.44,15.22
2018-01-09,17.35,17.65,17.1,17.0,125424.61,-0.68,-3.83,16.798,16.442,16.641,136433.17,98097.9,99132.65,6.33
2018-01-08,16.48,18.59,17.78,16.44,244069.3,0.85,5.02,16.564,16.384,16.617,119605.44,97491.93,96182.6,12.32
2018-01-05,17.52,17.75,16.93,16.86,200766.16,0.79,4.89,16.18,16.334,16.547,81618.81,84891.55,88065.08,10.14
2018-01-04,16.21,16.49,16.14,16.08,60833.49,0.1,0.62,15.958,16.443,16.508,53764.33,83875.63,81527.31,3.07
2018-01-03,16.0,16.1,16.04,15.8,51072.29,0.11,0.69,15.956,16.61,16.483,55750.51,103408.76,80224.5,2.58
2018-01-02,15.61,15.99,15.93,15.61,41285.96,0.07,0.44,16.086,16.756,16.45,59762.63,107546.67,79985.51,2.08
2017-12-29,15.65,15.91,15.86,15.42,54136.16,0.04,0.25,16.204,16.754,16.455,75378.42,107625.11,79988.98,2.73
2017-12-28,15.9,16.26,15.82,15.8,61493.74,-0.31,-1.92,16.488,16.818,16.491,88164.28,107672.13,80760.38,3.1
2017-12-27,16.71,16.71,16.13,16.02,70764.42,-0.56,-3.35,16.928,16.866,16.526,113986.92,105296.72,80299.36,3.57
2017-12-26,16.32,16.72,16.69,16.21,71132.85,0.17,1.03,17.264,16.888,16.532,151067.0,102090.58,79267.52,3.59
2017-12-25,16.97,16.98,16.52,16.12,119364.92,-0.76,-4.4,17.426,16.84,16.523,155330.71,100167.4,79372.89,6.03
2017-12-22,17.61,17.73,17.28,17.21,118065.47,-0.74,-4.11,17.304,16.849,16.496,139871.8,94873.27,76415.76,5.96
2017-12-21,17.4,18.05,18.02,17.12,190606.95,0.21,1.18,17.148,16.759,16.407,127179.99,91238.62,71679.24,9.62
2017-12-20,18.35,18.39,17.81,17.6,256164.8,0.31,1.77,16.804,16.573,16.285,96606.51,79179.0,63954.86,12.93
2017-12-19,15.96,17.5,17.5,15.92,92451.41,1.59,9.99,16.512,16.356,16.172,53114.15,57040.25,52470.5,4.67
2017-12-18,16.43,16.51,15.91,15.75,42070.35,-0.59,-3.58,16.254,16.144,16.071,45004.09,52424.36,49014.36,2.12
2017-12-15,16.35,16.75,16.5,16.23,54606.43,0.2,1.23,16.394,16.156,16.046,49874.74,52352.86,48536.75,2.76
2017-12-14,16.35,16.45,16.3,16.08,37739.57,-0.05,-0.31,16.37,16.164,15.976,55297.24,53848.63,47825.17,1.91
2017-12-13,16.15,16.43,16.35,16.1,38703.0,0.14,0.86,16.342,16.186,15.962,61751.49,55302.0,47349.75,1.95
2017-12-12,16.6,16.6,16.21,16.07,51901.12,-0.4,-2.41,16.2,16.176,15.944,60966.34,56444.47,47276.57,2.62
2017-12-11,16.49,16.76,16.61,16.4,66423.59,0.23,1.4,16.034,16.205,15.966,59844.62,58578.38,46210.1,3.35
2017-12-08,16.29,16.8,16.38,16.01,81718.93,0.22,1.36,15.918,16.142,15.973,54830.97,57958.26,44333.44,4.13
2017-12-07,15.58,16.3,16.16,15.38,70010.8,0.52,3.33,15.958,16.054,16.007,52400.01,52119.87,42457.79,3.53
2017-12-06,15.38,15.64,15.64,15.12,34777.25,0.26,1.69,16.03,15.996,16.064,48852.52,48730.72,43178.69,1.76
2017-12-05,15.81,15.99,15.38,15.1,46292.54,-0.65,-4.05,16.152,15.987,16.121,51922.6,47900.75,43879.8,2.34
2017-12-04,16.65,16.75,16.03,16.0,41355.32,-0.55,-3.32,16.376,15.997,16.174,57312.15,45604.36,42881.77,2.09
2017-12-01,16.85,16.97,16.58,16.4,69564.15,0.06,0.36,16.366,15.935,16.193,61085.55,44720.65,42167.32,3.51
2017-11-30,16.4,16.68,16.52,15.9,52273.32,0.27,1.66,16.15,15.788,16.17,51839.73,41801.72,39897.61,2.64
2017-11-29,16.31,16.43,16.25,15.93,50127.65,-0.25,-1.51,15.962,15.737,16.158,48608.92,39397.5,38905.18,2.53
2017-11-28,15.7,16.73,16.5,15.68,73240.3,0.52,3.25,15.822,15.711,16.158,43878.91,38108.67,38279.15,3.7
2017-11-27,15.83,17.05,15.98,15.57,60222.34,0.48,3.1,15.618,15.727,16.131,33896.58,33841.82,36177.73,3.04
2017-11-24,15.65,15.66,15.5,15.15,23335.03,-0.08,-0.51,15.504,15.803,16.12,28355.75,30708.63,36801.47,1.18
2017-11-23,15.45,15.96,15.58,15.31,36119.27,0.03,0.19,15.426,15.959,16.2,31763.71,32795.72,36807.97,1.82
2017-11-22,15.5,15.74,15.55,15.2,26477.62,0.07,0.45,15.512,16.131,16.291,30186.08,37626.66,36376.62,1.34
2017-11-21,15.44,15.68,15.48,15.4,23328.62,0.07,0.45,15.6,16.254,16.384,32338.43,39858.84,36565.04,1.18
