date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2018-01-12,6.76,6.82,6.79,6.73,17081.55,0.0,0.0,6.8,6.829,6.886,21611.59,20517.07,24111.0,0.92
2018-01-11,6.71,6.82,6.79,6.67,28302.91,0.06,0.89,6.822,6.82,6.904,21608.1,20636.27,26244.67,1.53
2018-01-10,6.84,6.88,6.73,6.66,22546.96,-0.07,-1.03,6.84,6.807,6.913,20024.03,21882.13,26887.68,1.22
2018-01-09,6.88,6.88,6.8,6.71,20958.29,-0.09,-1.31,6.868,6.801,6.914,19200.33,21766.53,27501.05,1.13
2018-01-08,6.89,6.93,6.89,6.79,19168.23,-0.01,-0.14,6.874,6.781,6.925,18029.79,24562.93,28435.11,1.03
2018-01-05,6.88,6.93,6.9,6.84,17064.09,0.02,0.29,6.858,6.807,6.945,19422.55,24313.07,29364.0,0.92
2018-01-04,6.87,6.94,6.88,6.82,20382.59,0.01,0.15,6.818,6.83,6.962,19664.44,24311.76,29999.16,1.1
2018-01-03,6.8,6.91,6.87,6.79,18428.46,0.04,0.59,6.774,6.859,6.98,23740.23,24318.65,30958.94,0.99
2018-01-02,6.83,6.85,6.83,6.76,15105.59,0.02,0.29,6.734,6.877,7.003,24332.74,24925.48,31822.87,0.81
2017-12-29,6.7,6.83,6.81,6.66,26132.03,0.11,1.64,6.688,6.91,7.023,31096.07,26048.4,33288.58,1.41
2017-12-28,6.64,6.75,6.7,6.61,18273.51,0.04,0.6,6.756,6.942,7.043,29203.59,27704.93,34828.89,0.99
2017-12-27,6.7,6.86,6.66,6.62,40761.55,-0.01,-0.15,6.842,6.987,7.075,28959.09,31853.08,36737.65,2.2
2017-12-26,6.56,6.71,6.67,6.51,21391.0,0.07,1.06,6.944,7.018,7.125,24897.08,31893.23,37903.67,1.15
2017-12-25,6.97,7.0,6.6,6.54,48922.25,-0.55,-7.69,7.02,7.026,7.174,25518.22,33235.56,41472.08,3.19
2017-12-15,7.13,7.17,7.15,7.08,16669.65,0.02,0.28,7.132,7.068,7.23,21000.72,32307.28,44445.7,1.09
2017-12-14,7.15,7.15,7.13,7.09,17051.0,-0.04,-0.56,7.128,7.083,7.271,26206.27,34414.93,54865.63,1.11
2017-12-13,7.05,7.18,7.17,7.01,20451.5,0.12,1.7,7.132,7.094,7.357,34747.08,35686.55,65994.56,1.33
2017-12-12,7.18,7.26,7.05,7.03,24496.72,-0.11,-1.54,7.092,7.101,7.466,38889.38,37599.22,82398.58,1.6
2017-12-11,7.13,7.21,7.16,7.1,26334.75,0.03,0.42,7.032,7.129,7.603,40952.89,38720.26,90828.45,1.72
2017-12-08,7.09,7.23,7.13,6.99,42697.36,-0.02,-0.28,7.004,7.136,7.69,43613.84,40528.77,90956.28,2.78
2017-12-07,6.92,7.27,7.15,6.88,59755.05,0.18,2.58,7.038,7.143,7.738,42623.58,41952.85,89561.61,3.89
2017-12-06,6.75,7.11,6.97,6.73,41163.03,0.22,3.26,7.056,7.162,7.782,36626.02,41622.22,87245.11,2.68
2017-12-05,7.0,7.07,6.75,6.71,34814.26,-0.27,-3.85,7.11,7.231,7.835,36309.06,43914.12,86008.0,2.27
2017-12-04,7.33,7.33,7.02,7.0,39639.5,-0.28,-3.84,7.226,7.321,7.894,36487.62,49708.61,85053.98,2.58
2017-12-01,7.22,7.38,7.3,7.21,37746.08,0.06,0.83,7.268,7.392,7.942,37443.69,56584.12,83648.08,2.46
2017-11-30,7.25,7.28,7.24,7.18,29767.23,0.0,0.0,7.248,7.459,7.969,41282.12,75316.33,82611.99,1.94
2017-11-29,7.29,7.33,7.24,7.14,39578.25,-0.09,-1.23,7.268,7.62,7.999,46618.42,96302.57,81876.44,2.58
2017-11-28,7.16,7.33,7.33,7.16,35707.06,0.1,1.38,7.352,7.831,8.038,51519.17,127197.94,80500.01,2.33
2017-11-27,7.21,7.39,7.23,7.18,44419.85,0.03,0.42,7.416,8.077,8.072,62929.59,142936.63,79374.88,2.89
2017-11-24,7.31,7.36,7.2,7.19,56938.21,-0.14,-1.91,7.516,8.244,8.107,75724.55,141383.79,78507.37,3.71
2017-11-23,7.59,7.67,7.34,7.33,56448.75,-0.32,-4.18,7.67,8.333,8.162,109350.55,137170.37,76408.01,3.68
2017-11-22,7.59,7.73,7.66,7.47,64082.0,0.01,0.13,7.972,8.402,8.215,145986.72,132868.0,74528.91,4.17
2017-11-21,7.73,7.74,7.65,7.41,92759.12,-0.08,-1.03,8.31,8.438,8.254,202876.7,128101.88,71985.83,6.04
