date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2018-01-12,20.86,20.98,20.5,20.48,17307.51,-0.65,-3.07,20.404,20.312,20.481,14932.69,11080.89,14729.3,2.38
2018-01-11,20.2,21.23,21.15,19.99,28012.25,0.82,4.03,20.34,20.253,20.57,13172.73,10046.39,14714.27,3.85
2018-01-10,19.86,20.4,20.33,19.86,15479.7,0.42,2.11,20.17,20.135,20.635,8918.64,7837.75,14350.6,2.13
2018-01-09,19.97,20.14,19.91,19.9,5114.9,-0.22,-1.09,20.178,20.1,20.708,7679.6,7125.43,15007.81,0.7
2018-01-08,20.19,20.28,20.13,19.77,8749.1,-0.05,-0.25,20.232,20.071,20.836,7953.82,7612.74,16268.36,1.2
2018-01-05,20.42,20.59,20.18,20.08,8507.7,-0.12,-0.59,20.22,20.063,20.913,7229.08,7765.33,16893.03,1.17
2018-01-04,20.35,20.41,20.3,20.14,6741.81,-0.07,-0.34,20.166,20.061,20.972,6920.05,9128.21,17775.21,0.93
2018-01-03,20.21,20.41,20.37,20.12,9284.5,0.19,0.94,20.1,20.099,21.004,6756.86,13196.11,19018.94,1.27
2018-01-02,20.19,20.37,20.18,20.01,6486.0,0.11,0.55,20.022,20.292,21.038,6571.26,16889.08,20759.42,0.89
2017-12-29,19.9,20.12,20.07,19.89,5125.41,0.16,0.8,19.91,20.452,21.078,7271.66,17420.48,21442.97,0.7
2017-12-28,19.96,20.23,19.91,19.8,6962.51,-0.06,-0.3,19.906,20.65,21.147,8301.58,18377.71,23507.25,0.96
2017-12-27,20.03,20.25,19.97,19.89,5925.9,-0.01,-0.05,19.956,20.886,21.22,11336.38,19382.16,24263.35,0.81
2017-12-26,19.61,19.99,19.98,19.5,8356.5,0.36,1.83,20.098,21.134,21.286,19635.35,20863.44,26014.83,1.15
2017-12-25,20.05,20.17,19.62,19.5,9988.0,-0.43,-2.15,20.562,21.315,21.405,27206.89,22890.18,28388.39,1.37
2017-12-22,20.09,20.49,20.05,20.05,10275.0,-0.11,-0.55,20.994,21.6,21.447,27569.29,24923.97,29385.54,1.41
2017-12-21,19.98,20.46,20.16,19.68,22136.51,-0.52,-2.52,21.394,21.762,21.481,28453.84,26020.72,31276.72,3.04
2017-12-20,22.45,22.45,20.68,20.63,47420.72,-1.62,-7.26,21.816,21.882,21.52,27427.94,26422.21,32529.47,6.51
2017-12-19,21.84,23.8,22.3,21.84,46214.23,0.52,2.39,22.17,21.908,21.438,22091.54,24841.77,30552.46,6.35
2017-12-18,22.05,22.05,21.78,21.46,11800.0,-0.27,-1.22,22.068,21.783,21.27,18573.47,24629.77,28629.62,1.62
2017-12-15,22.5,22.5,22.05,21.88,14697.72,-0.22,-0.99,22.206,21.704,21.134,22278.65,25465.47,28678.13,2.02
2017-12-14,22.45,22.45,22.27,21.88,17007.02,-0.18,-0.8,22.13,21.644,20.995,23587.61,28636.79,29088.63,2.34
2017-12-13,21.69,22.45,22.45,21.41,20738.71,0.66,3.03,21.948,21.553,20.926,25416.47,29144.54,28661.67,2.85
