date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2018-01-12,7.32,7.33,7.26,7.24,85896.01,-0.05,-0.68,7.296,7.377,7.458,112141.71,130075.12,143216.61,1.14
2018-01-11,7.22,7.32,7.3,7.17,102902.62,0.05,0.69,7.334,7.376,7.481,121798.08,138730.74,142923.47,1.37
2018-01-10,7.34,7.34,7.21,7.17,134827.69,-0.13,-1.77,7.372,7.371,7.5,125816.26,144259.97,141554.69,1.79
2018-01-09,7.36,7.4,7.35,7.22,142471.81,-0.01,-0.14,7.428,7.38,7.524,126389.17,142937.4,139381.82,1.89
2018-01-08,7.45,7.45,7.36,7.33,94610.4,-0.08,-1.07,7.454,7.38,7.545,135010.03,142591.06,141055.86,1.26
2018-01-05,7.49,7.51,7.45,7.39,134177.89,-0.03,-0.4,7.458,7.395,7.57,148008.54,156511.11,142276.03,1.78
2018-01-04,7.49,7.53,7.49,7.41,122993.5,0.0,0.0,7.418,7.423,7.589,155663.4,168807.23,139641.67,1.63
2018-01-03,7.51,7.55,7.49,7.46,137692.25,0.0,0.0,7.37,7.447,7.613,162703.67,168130.28,136296.28,1.83
2018-01-02,7.36,7.57,7.48,7.34,185576.12,0.1,1.35,7.332,7.475,7.638,159485.62,165294.45,137541.81,2.47
2017-12-29,7.25,7.42,7.38,7.17,159602.92,0.13,1.79,7.306,7.498,7.668,150172.09,158582.76,136211.21,2.12
2017-12-28,7.23,7.3,7.25,7.14,172452.19,0.0,0.0,7.332,7.538,7.737,165013.68,156358.09,130321.32,2.29
2017-12-27,7.31,7.32,7.25,7.1,158194.88,-0.07,-0.96,7.428,7.585,7.814,181951.05,147116.2,124246.79,2.1
2017-12-26,7.34,7.35,7.3,7.22,121602.0,-0.05,-0.68,7.524,7.629,7.883,173556.88,138849.41,117830.12,1.62
2017-12-25,7.51,7.52,7.35,7.23,139008.44,-0.18,-2.39,7.618,7.667,7.952,171103.28,135826.25,113774.5,1.85
2017-12-22,7.69,7.72,7.51,7.37,233810.89,-0.2,-2.59,7.69,7.709,8.009,166993.43,139520.67,108869.79,3.11
2017-12-21,7.75,7.87,7.73,7.62,257139.06,0.0,0.0,7.744,7.744,8.061,147702.5,128040.96,100237.4,3.42
2017-12-20,7.76,7.79,7.73,7.69,116224.0,-0.03,-0.39,7.742,7.755,8.103,112281.35,110476.11,93161.0,1.54
2017-12-19,7.72,7.79,7.77,7.62,109334.0,0.03,0.39,7.734,7.779,8.145,104141.95,104462.28,90903.11,1.45
2017-12-18,7.76,7.8,7.71,7.64,118459.18,-0.07,-0.9,7.716,7.801,8.191,100549.22,109789.18,89496.91,1.57
2017-12-15,7.68,7.84,7.78,7.66,137356.27,0.06,0.78,7.728,7.838,8.249,112047.91,113839.66,88774.5,1.83
2017-12-14,7.69,7.75,7.72,7.58,80033.29,0.02,0.26,7.744,7.936,8.305,108379.41,104284.55,88401.09,1.06
2017-12-13,7.67,7.74,7.69,7.63,75527.0,0.01,0.13,7.768,8.042,8.374,108670.88,101377.39,92492.17,1.0
2017-12-12,7.71,7.76,7.68,7.59,91370.35,-0.08,-1.03,7.824,8.137,8.444,104782.61,96810.83,98990.32,1.21
2017-12-11,7.87,7.88,7.77,7.72,175952.64,-0.1,-1.27,7.886,8.237,8.548,119029.14,91722.76,104379.91,2.34
2017-12-08,7.85,7.89,7.86,7.78,119013.76,0.03,0.38,7.948,8.309,8.626,115631.41,78218.91,100167.53,1.58
2017-12-07,7.97,8.03,7.84,7.81,81490.64,-0.13,-1.63,8.128,8.377,8.703,100189.7,72433.85,98353.94,1.08
2017-12-06,7.89,8.01,7.97,7.8,56085.64,0.02,0.25,8.316,8.451,8.793,94083.89,75845.89,96734.86,0.75
2017-12-05,8.08,8.14,7.99,7.7,162603.0,-0.04,-0.5,8.45,8.51,8.875,88839.05,77343.95,96502.9,2.16
2017-12-04,8.76,8.76,8.08,8.0,158964.0,-0.68,-7.76,8.588,8.581,8.96,64416.38,69204.64,94077.8,2.11
2017-12-01,8.8,8.87,8.76,8.72,41805.21,-0.03,-0.34,8.67,8.66,9.055,40806.4,63709.35,91417.02,0.56
2017-11-30,8.65,8.87,8.78,8.63,50961.62,0.14,1.62,8.626,8.674,9.117,44678.01,72517.62,101152.59,0.68
2017-11-29,8.67,8.71,8.64,8.56,29861.43,-0.04,-0.46,8.586,8.705,9.155,57607.88,83606.96,104301.82,0.4
2017-11-28,8.54,8.7,8.68,8.48,40489.66,0.2,2.36,8.57,8.75,9.199,65848.85,101169.82,105980.3,0.54
2017-11-27,8.52,8.58,8.49,8.4,40914.1,-0.05,-0.58,8.574,8.858,9.249,73992.9,117037.07,106319.71,0.54
2017-11-24,8.56,8.61,8.54,8.45,61163.22,-0.02,-0.23,8.65,8.943,9.306,86612.29,122116.15,110850.89,0.81
2017-11-23,8.59,8.83,8.58,8.49,115611.0,0.01,0.12,8.722,9.029,9.383,100357.24,124274.03,112151.38,1.54
2017-11-22,8.7,8.76,8.56,8.55,71066.27,-0.13,-1.5,8.824,9.135,9.457,109606.04,117623.82,111173.95,0.94
2017-11-21,8.96,8.99,8.7,8.64,81209.9,-0.2,-2.25,8.93,9.24,9.54,136490.78,115661.86,109712.74,1.08
2017-11-20,8.87,8.97,8.87,8.5,104011.04,-0.06,-0.67,9.142,9.339,9.613,160081.24,118950.97,109003.95,1.38
2017-11-17,9.06,9.15,8.9,8.75,129888.0,-0.18,-1.98,9.236,9.449,9.664,157620.02,119124.7,109277.95,1.73
2017-11-16,8.95,9.25,9.09,8.79,161854.98,0.01,0.11,9.336,9.559,9.724,148190.82,129787.55,105637.28,2.15
2017-11-15,9.65,9.7,9.09,8.97,205490.0,-0.67,-6.87,9.446,9.604,9.775,125641.61,124996.69,102687.18,2.73
2017-11-14,9.4,9.84,9.76,9.2,199162.16,0.41,4.38,9.55,9.648,9.849,94832.93,110790.79,94688.35,2.65
2017-11-13,9.54,9.54,9.34,9.3,91704.94,-0.06,-0.64,9.536,9.64,9.895,77820.7,95602.35,88804.54,1.22
2017-11-10,9.61,9.64,9.4,9.38,82742.0,-0.23,-2.39,9.662,9.669,9.969,80629.38,99585.62,95497.63,1.1
2017-11-09,9.59,9.66,9.64,9.56,49108.93,0.03,0.31,9.782,9.736,10.039,111384.28,100028.73,97678.8,0.65
2017-11-08,9.64,9.74,9.61,9.54,51446.63,-0.08,-0.83,9.762,9.778,10.091,124351.76,104724.08,99869.31,0.68
2017-11-07,9.93,9.93,9.69,9.6,114101.0,-0.28,-2.81,9.746,9.84,10.149,126748.65,103763.62,102453.59,1.52
2017-11-06,9.87,10.05,9.97,9.81,105748.33,-0.03,-0.3,9.744,9.886,10.196,113384.0,99056.92,101279.84,1.41
2017-11-03,9.62,10.13,10.0,9.62,236516.52,0.46,4.82,9.676,9.879,10.224,118541.87,99431.2,101141.02,3.14
2017-11-02,9.57,9.6,9.54,9.2,113946.34,0.01,0.1,9.69,9.889,10.257,88673.17,81487.01,97310.72,1.51
