date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2018-01-12,22.5,22.55,21.95,21.91,206438.23,-0.52,-2.31,21.898,21.832,22.306,246635.07,231369.39,272623.09,1.12
2018-01-11,21.89,22.7,22.47,21.75,332447.06,0.32,1.45,21.886,21.771,22.351,247846.21,248743.51,287706.29,1.8
2018-01-10,21.47,22.2,22.11,21.06,279390.72,0.51,2.36,21.766,21.746,22.311,220985.26,239946.9,280641.01,1.51
2018-01-09,21.3,21.65,21.59,21.18,162611.02,0.23,1.08,21.72,21.804,22.289,215576.22,239808.56,277398.72,0.88
2018-01-08,22.0,22.01,21.37,21.15,252288.31,-0.52,-2.38,21.732,21.96,22.302,228634.08,248444.66,284180.34,1.37
2018-01-05,21.71,22.31,21.89,21.69,212493.95,0.05,0.23,21.766,22.126,22.291,216103.72,248008.34,284372.36,1.15
2018-01-04,21.8,22.23,21.87,21.61,198142.3,0.0,0.0,21.656,22.259,22.258,249640.81,260422.44,290764.09,1.07
2018-01-03,21.66,22.2,21.88,21.48,252345.52,0.23,1.06,21.726,22.41,22.28,258908.53,269812.77,295235.8,1.37
2018-01-02,21.49,21.74,21.65,21.06,227900.31,0.11,0.51,21.888,22.572,22.282,264040.89,291390.34,300293.55,1.23
2017-12-29,21.43,21.57,21.54,21.17,189636.52,0.22,1.03,22.188,22.635,22.32,268255.25,294951.49,307168.27,1.03
2017-12-28,22.12,22.44,21.34,21.13,380179.38,-0.89,-4.0,22.486,22.779,22.39,279912.96,313876.79,322735.86,2.06
2017-12-27,22.68,22.88,22.22,22.13,244480.92,-0.47,-2.07,22.862,22.93,22.424,271204.07,326669.07,315627.14,1.32
2017-12-26,23.0,23.09,22.69,22.37,278007.34,-0.47,-2.03,23.094,22.876,22.419,280717.01,321335.13,323452.86,1.51
2017-12-25,23.01,23.57,23.15,22.81,248972.08,0.14,0.61,23.256,22.773,22.402,318739.79,314988.89,330076.36,1.35
2017-12-22,23.15,23.26,23.03,22.79,247925.06,-0.18,-0.78,23.082,22.643,22.28,321647.72,319916.01,334066.53,1.34
2017-12-21,23.2,23.75,23.22,23.17,336634.97,-0.16,-0.68,23.072,22.455,22.197,347840.63,320736.39,333407.89,1.82
