date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2018-01-12,10.61,10.69,10.31,10.3,209505.06,-0.43,-4.0,10.664,10.878,11.263,250903.58,258600.2,392340.89,2.56
2018-01-11,10.7,10.82,10.73,10.52,188491.66,0.04,0.37,10.832,10.932,11.351,267053.41,270617.03,416689.56,2.3
2018-01-10,10.55,10.72,10.7,10.43,228062.48,0.1,0.94,10.882,10.948,11.417,292438.05,298902.99,454007.18,2.78
2018-01-09,10.91,10.99,10.6,10.56,350168.44,-0.39,-3.55,10.982,11.033,11.453,301736.05,318657.45,470288.9,4.27
2018-01-08,11.12,11.14,10.98,10.79,278290.25,-0.16,-1.44,11.078,11.147,11.49,271752.9,327067.74,473942.12,3.39
2018-01-05,10.93,11.22,11.15,10.82,290254.22,0.17,1.55,11.092,11.257,11.505,266296.81,352711.56,487235.76,3.54
2018-01-04,11.15,11.27,10.98,10.95,315414.88,-0.21,-1.88,11.032,11.357,11.473,274180.65,405864.45,486298.33,3.85
2018-01-03,11.03,11.26,11.2,10.99,274552.47,0.12,1.08,11.014,11.433,11.459,305367.92,417647.3,487863.42,3.35
2018-01-02,11.07,11.12,11.08,10.75,200252.7,0.03,0.27,11.084,11.513,11.414,335578.85,441049.51,499078.93,2.44
2017-12-29,10.81,11.09,11.05,10.8,251009.8,0.2,1.84,11.216,11.597,11.424,382382.57,486254.47,512026.17,3.06
2017-12-28,10.8,11.05,10.85,10.61,329673.41,-0.04,-0.37,11.422,11.648,11.444,439126.3,526081.57,524611.55,4.02
2017-12-27,11.5,11.67,10.89,10.85,471351.22,-0.68,-5.88,11.682,11.77,11.461,537548.24,562762.08,528032.06,5.75
2017-12-26,11.78,11.79,11.55,11.23,425607.12,-0.2,-1.7,11.852,11.886,11.472,529926.68,609111.37,521212.04,5.19
2017-12-25,12.0,12.04,11.74,11.6,434271.31,-0.34,-2.81,11.942,11.872,11.434,546520.17,621920.36,512150.47,5.3
2017-12-22,12.06,12.21,12.08,11.91,534728.44,-0.1,-0.82,11.978,11.833,11.371,590126.36,620816.49,502724.06,6.52
2017-12-21,11.6,12.32,12.15,11.35,821783.12,0.4,3.4,11.874,11.753,11.317,613036.85,621759.97,489829.04,10.02
2017-12-20,11.9,12.06,11.74,11.67,433243.41,-0.26,-2.17,11.858,11.589,11.25,587975.93,566732.2,473512.4,5.28
2017-12-19,11.8,12.01,12.0,11.52,508574.59,0.09,0.76,11.92,11.485,11.249,688296.07,558079.54,475840.54,6.2
2017-12-18,11.57,12.09,11.92,11.46,652302.25,0.36,3.11,11.802,11.315,11.227,697320.54,557108.35,486084.2,7.96
