date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2018-01-12,18.1,18.11,17.54,17.51,320929.06,-0.57,-3.15,17.894,18.13,18.198,236979.94,253980.45,241276.43,1.45
2018-01-11,17.82,18.16,18.11,17.73,208636.67,0.31,1.74,18.014,18.162,18.25,237592.12,237060.8,243263.71,0.95
2018-01-10,18.03,18.07,17.81,17.72,156501.59,-0.2,-1.11,18.088,18.128,18.317,256389.02,236012.17,245260.91,0.71
2018-01-09,17.98,18.13,18.04,17.78,267043.53,0.07,0.39,18.246,18.155,18.374,287325.96,243304.08,244477.71,1.21
2018-01-08,18.14,18.14,17.97,17.8,231788.86,-0.17,-0.94,18.31,18.142,18.435,284379.58,251437.18,243272.96,1.05
2018-01-05,18.41,18.45,18.14,18.02,323989.94,-0.33,-1.79,18.366,18.203,18.469,270980.96,249362.35,244191.58,1.47
2018-01-04,18.6,18.85,18.48,18.35,302621.19,-0.12,-0.65,18.31,18.262,18.507,236529.48,247891.08,241631.89,1.37
2018-01-03,18.39,18.85,18.6,18.16,311186.28,0.25,1.36,18.168,18.247,18.555,215635.33,234397.53,242640.7,1.41
2018-01-02,18.31,18.44,18.36,18.08,252311.64,0.08,0.44,18.064,18.235,18.593,199282.19,226547.0,246405.36,1.14
2017-12-29,17.89,18.3,18.25,17.82,164795.73,0.39,2.18,17.974,18.24,18.62,218494.77,225999.43,247364.66,0.75
2017-12-28,17.8,18.09,17.86,17.73,151732.55,0.08,0.45,18.04,18.265,18.661,227743.74,228572.4,249684.75,0.69
2017-12-27,18.12,18.13,17.77,17.71,198150.44,-0.31,-1.72,18.214,18.337,18.716,259252.68,249466.62,253400.32,0.9
2017-12-26,17.93,18.2,18.08,17.76,229420.59,0.19,1.06,18.326,18.506,18.777,253159.72,254509.64,260355.9,1.04
2017-12-25,18.6,18.79,17.91,17.76,348374.56,-0.68,-3.66,18.406,18.592,18.865,253811.82,245651.34,257971.26,1.58
2017-12-22,18.7,19.02,18.58,18.58,211040.58,-0.14,-0.75,18.506,18.728,18.958,233504.09,235108.74,250781.03,0.96
2017-12-21,18.38,18.91,18.73,18.3,309277.25,0.41,2.24,18.49,18.735,19.016,229401.06,239020.81,255381.82,1.4
2017-12-20,18.57,18.64,18.33,18.19,167685.64,-0.14,-0.76,18.46,18.752,19.064,239680.55,235372.7,263079.44,0.76
2017-12-19,18.34,18.64,18.48,18.3,232681.05,0.06,0.33,18.686,18.863,19.189,255859.55,250883.87,276735.62,1.05
2017-12-18,18.59,18.61,18.41,18.04,246835.91,-0.09,-0.49,18.778,18.95,19.304,237490.87,266263.72,290530.01,1.12
2017-12-15,18.58,18.85,18.5,18.45,190525.45,-0.07,-0.38,18.95,18.999,19.442,236713.4,268729.89,300177.04,0.86
2017-12-14,19.47,19.47,18.58,18.33,360674.69,-0.88,-4.52,18.98,19.056,19.551,248640.56,270797.09,324815.82,1.64
2017-12-13,19.01,19.58,19.46,18.85,248580.64,0.54,2.85,19.044,19.095,19.648,231064.86,257334.02,337770.17,1.13
