date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2018-01-12,35.77,36.64,35.6,34.88,1698.27,0.09,0.25,35.616,35.866,36.637,1562.36,1954.9,2012.77,0.27
2018-01-11,35.01,35.74,35.56,34.76,1522.0,0.29,0.82,35.736,35.959,36.745,1539.29,1926.47,2037.6,0.24
2018-01-10,35.55,35.64,35.35,35.15,1404.01,-0.36,-1.01,35.882,36.051,36.882,2044.86,1853.67,2023.5,0.22
2018-01-09,35.74,35.9,35.69,35.31,2069.5,-0.19,-0.53,36.042,36.179,37.034,2135.55,1886.07,2055.95,0.33
2018-01-08,36.15,36.15,35.88,35.39,1118.0,-0.27,-0.75,36.056,36.35,37.189,2066.45,1824.23,2036.08,0.18
2018-01-05,36.22,36.48,36.2,35.62,1582.95,-0.08,-0.22,36.116,36.551,37.315,2347.45,1866.43,2063.38,0.25
2018-01-04,36.15,36.99,36.29,35.52,4049.85,0.16,0.44,36.182,36.709,37.42,2313.66,1896.04,2047.38,0.65
2018-01-03,35.73,36.35,36.15,35.33,1857.46,0.39,1.09,36.22,36.855,37.505,1662.49,1900.28,1898.8,0.3
2018-01-02,35.82,35.96,35.76,35.01,1724.0,-0.22,-0.61,36.316,37.003,37.575,1636.59,1858.03,1923.88,0.28
2017-12-29,36.75,36.75,36.18,35.2,2522.97,-0.28,-0.77,36.644,37.176,37.675,1582.01,2170.43,1924.3,0.4
2017-12-28,36.17,36.79,36.53,36.03,1414.0,0.05,0.14,36.986,37.408,37.765,1385.42,2070.63,1873.05,0.23
2017-12-27,36.62,36.92,36.48,36.2,794.0,-0.14,-0.38,37.236,37.53,37.851,1478.42,2148.73,1918.18,0.13
2017-12-26,37.02,37.02,36.63,36.1,1728.0,-0.77,-2.06,37.49,37.712,37.957,2138.06,2193.33,2110.78,0.28
2017-12-25,37.8,38.0,37.4,37.01,1451.1,-0.47,-1.24,37.69,37.889,37.98,2079.46,2225.83,2162.85,0.29
2017-12-22,37.77,38.1,37.89,37.75,1540.01,0.13,0.34,37.708,38.027,37.931,2758.84,2247.92,2295.8,0.31
2017-12-21,37.7,37.97,37.78,37.65,1879.0,-0.02,-0.05,37.83,38.079,37.878,2755.84,2260.32,2446.0,0.38
2017-12-20,37.65,37.84,37.75,37.45,4092.21,0.13,0.35,37.824,38.131,37.872,2819.04,2198.72,2718.12,0.82
2017-12-19,37.7,38.16,37.63,37.44,1435.0,0.15,0.4,37.934,38.154,37.926,2248.6,1897.33,2781.61,0.29
2017-12-18,38.2,38.2,37.49,37.47,4848.0,-0.53,-1.39,38.088,38.147,38.012,2372.2,1989.73,2899.06,0.98
2017-12-15,37.75,38.5,38.5,37.53,1525.0,0.8,2.12,38.346,38.173,38.107,1737.0,1678.17,2895.82,0.31
2017-12-14,38.01,38.25,37.75,37.68,2195.0,-0.54,-1.41,38.328,38.122,38.157,1764.8,1675.47,3137.17,0.44
2017-12-13,38.4,38.4,38.3,37.99,1240.0,0.12,0.31,38.438,38.172,38.24,1578.4,1687.62,3276.57,0.25
2017-12-12,38.68,38.68,38.4,38.06,2053.0,-0.35,-0.9,38.374,38.202,38.316,1546.05,2028.24,3460.55,0.41
2017-12-11,38.08,38.78,38.78,38.08,1672.0,0.38,0.99,38.206,38.071,38.445,1607.25,2099.86,3725.95,0.34
2017-12-08,38.07,38.44,38.41,38.02,1664.0,0.14,0.37,38.0,37.834,38.564,1619.34,2343.68,3980.79,0.33
2017-12-07,37.94,38.37,38.3,37.85,1263.01,0.36,0.95,37.916,37.677,38.738,1586.14,2631.67,4279.23,0.25
2017-12-06,37.55,38.09,37.98,37.54,1078.25,0.42,1.12,37.906,37.612,38.874,1796.84,3237.51,4588.04,0.22
2017-12-05,37.8,38.08,37.56,37.56,2359.0,-0.24,-0.64,38.03,37.698,39.036,2510.42,3665.88,5170.8,0.47
2017-12-04,37.88,38.18,37.75,37.71,1732.43,-0.16,-0.42,37.936,37.877,39.312,2592.47,3808.39,5863.41,0.35
2017-12-01,38.0,38.36,37.99,37.85,1498.0,-0.27,-0.71,37.668,38.041,39.448,3068.01,4113.48,6163.89,0.3
2017-11-30,38.5,38.7,38.25,37.91,2316.5,-0.35,-0.91,37.438,38.192,39.579,3677.21,4598.86,6396.8,0.47
2017-11-29,37.16,38.8,38.6,36.64,4646.18,1.59,4.3,37.318,38.307,39.746,4678.18,4865.51,6525.15,0.93
2017-11-28,36.2,37.15,37.09,36.2,2769.22,0.77,2.12,37.366,38.43,39.938,4821.35,4892.87,6777.27,0.56
2017-11-27,36.02,36.74,36.41,35.92,4110.16,-0.4,-1.09,37.818,38.819,40.262,5024.32,5352.04,7285.63,0.83
2017-11-24,37.65,38.1,36.84,36.5,4543.99,-0.76,-2.02,38.414,39.294,40.56,5158.95,5617.9,7735.69,0.91
2017-11-23,38.9,39.13,37.65,36.5,7321.37,-1.19,-3.06,38.946,39.799,40.698,5520.52,5926.78,7797.84,1.47
2017-11-22,39.29,39.68,38.84,38.83,5362.0,-0.38,-0.97,39.296,40.136,40.823,5052.84,5938.57,7870.31,1.08
2017-11-21,39.05,40.24,39.35,39.05,3784.08,-0.02,-0.05,39.494,40.373,40.95,4964.4,6675.72,8338.94,0.76
2017-11-20,39.47,39.63,39.39,38.1,4783.3,-0.08,-0.2,39.82,40.746,41.08,5679.77,7918.43,9269.97,0.96
2017-11-17,39.32,39.68,39.5,38.8,6351.83,0.18,0.46,40.174,40.855,41.017,6076.86,8214.29,9329.71,1.28
2017-11-16,39.93,40.33,39.4,39.15,4983.0,-0.43,-1.08,40.652,40.966,40.905,6333.05,8194.74,9105.61,1.0
2017-11-15,40.28,41.0,39.83,39.8,4919.77,-0.98,-2.4,40.976,41.185,40.77,6824.3,8184.79,8977.48,0.99
2017-11-14,41.2,41.7,40.98,40.5,7360.93,-0.2,-0.49,41.252,41.446,40.613,8387.03,8661.67,9044.15,1.48
2017-11-13,42.1,42.16,41.16,41.03,6768.75,-0.7,-1.67,41.672,41.704,40.432,10157.09,9219.22,8790.33,1.36
2017-11-10,40.8,42.19,41.89,40.8,7632.82,0.81,1.97,41.536,41.825,40.249,10351.73,9853.48,8611.4,1.54
2017-11-09,41.12,41.76,41.02,40.41,7439.25,-0.19,-0.46,41.28,41.596,40.07,10056.42,9668.9,8376.75,1.5
2017-11-08,42.33,42.85,41.21,41.0,12733.42,-1.87,-4.34,41.394,41.51,39.919,9545.27,9802.05,8142.94,2.56
2017-11-07,41.0,43.55,43.08,40.5,16211.22,2.6,6.42,41.64,41.526,39.784,8936.31,10002.16,7717.01,3.26
2017-11-06,40.99,41.4,40.48,40.02,7741.95,-0.13,-0.32,41.736,41.413,39.543,8281.35,10621.51,7018.52,1.56
2017-11-03,41.27,41.99,40.61,40.2,6156.27,-0.98,-2.36,42.114,41.179,39.413,9355.22,10445.12,6741.18,1.24
2017-11-02,42.44,42.88,41.59,41.51,4883.5,-0.85,-2.0,41.912,40.844,39.271,9281.39,10016.48,6526.22,0.98
2017-11-01,43.77,43.82,42.44,41.66,9688.6,-1.12,-2.57,41.626,40.355,39.056,10058.82,9770.17,6400.51,1.95
2017-10-31,41.95,44.88,43.56,41.2,12936.41,1.19,2.81,41.412,39.779,38.805,11068.01,9426.64,6064.55,2.6
2017-10-30,39.7,43.44,42.37,39.01,13111.32,2.77,7.0,41.09,39.16,38.453,12961.67,8361.45,5609.79,2.64
2017-10-27,40.0,40.66,39.6,39.31,5787.1,-0.56,-1.39,40.244,38.673,38.192,11535.02,7369.32,5079.88,1.16
2017-10-26,40.95,40.99,40.16,39.8,8770.66,-1.21,-2.92,39.776,38.544,38.101,10751.58,7084.6,4907.67,1.76
2017-10-25,41.95,41.99,41.37,40.4,14734.55,-0.58,-1.38,39.084,38.328,37.993,9481.51,6483.83,4624.39,2.96
2017-10-24,38.09,41.95,41.95,38.09,22404.71,3.81,9.99,38.146,38.042,37.835,7785.27,5431.87,4152.05,4.51
2017-10-23,36.98,39.88,38.14,36.81,5978.1,0.88,2.36,37.23,37.672,37.632,3761.23,3415.54,3161.67,1.2
2017-10-20,36.5,37.38,37.26,36.3,1869.89,0.56,1.53,37.102,37.647,37.622,3203.61,3037.23,2991.42,0.38
2017-10-19,36.53,36.87,36.7,36.37,2420.32,0.02,0.06,37.312,37.698,37.645,3417.62,3035.95,3028.14,0.49
2017-10-18,37.3,37.63,36.68,36.5,6253.32,-0.69,-1.85,37.572,37.758,37.701,3486.15,3030.86,3065.45,1.26
2017-10-17,37.15,37.87,37.37,37.0,2284.5,-0.13,-0.35,37.938,37.83,37.786,3078.46,2702.47,2877.73,0.46
2017-10-16,38.31,38.32,37.5,37.1,3190.0,-0.81,-2.11,38.114,37.746,37.831,3069.85,2858.14,2992.71,0.64
2017-10-13,38.02,38.39,38.31,37.83,2939.94,0.31,0.82,38.192,37.711,37.899,2870.85,2790.44,2997.12,0.59
2017-10-12,38.8,38.8,38.0,37.7,2763.0,-0.51,-1.32,38.084,37.658,37.912,2654.28,2730.75,3084.69,0.56
2017-10-11,38.45,38.99,38.51,38.34,4214.88,0.26,0.68,37.944,37.657,37.956,2575.57,2764.95,3324.99,0.85
2017-10-10,38.08,38.27,38.25,37.68,2241.43,0.36,0.95,37.722,37.628,37.956,2326.47,2872.23,3327.75,0.45
2017-10-09,37.79,38.01,37.89,37.51,2195.01,0.12,0.32,37.378,37.592,37.974,2646.43,2907.8,3467.64,0.44
2017-09-29,37.21,37.8,37.77,37.18,1857.06,0.47,1.26,37.23,37.596,38.019,2710.03,2945.61,3721.63,0.37
2017-09-28,37.4,38.1,37.3,37.2,2369.49,-0.1,-0.27,37.232,37.591,38.027,2807.22,3020.33,3766.39,0.48
2017-09-27,36.77,37.49,37.4,36.38,2969.37,0.87,2.38,37.37,37.643,38.057,2954.33,3100.03,3762.67,0.6
2017-09-26,37.16,37.2,36.53,36.32,3841.23,-0.62,-1.67,37.534,37.741,38.081,3417.98,3053.0,3753.55,0.77
2017-09-25,37.61,37.9,37.15,37.0,2513.02,-0.63,-1.67,37.806,37.916,38.147,3169.17,3127.28,3700.85,0.51
2017-09-22,37.9,37.9,37.78,37.41,2343.01,-0.21,-0.55,37.962,38.087,38.186,3181.19,3203.8,3722.63,0.47
2017-09-21,38.51,38.51,37.99,37.72,3105.01,-0.23,-0.6,37.95,38.166,38.156,3233.44,3438.62,3751.08,0.62
2017-09-20,37.98,38.24,38.22,37.53,5287.65,0.33,0.87,37.916,38.254,38.105,3245.73,3885.04,3654.76,1.06
2017-09-19,37.93,38.24,37.89,37.63,2597.14,-0.04,-0.1,37.948,38.284,38.033,2688.01,3783.27,3486.65,0.52
2017-09-18,37.38,37.97,37.93,37.15,2573.16,0.21,0.56,38.026,38.355,38.002,3085.39,4027.47,3510.11,0.52
2017-09-15,37.44,38.16,37.72,37.03,2604.26,-0.1,-0.26,38.212,38.442,38.0,3226.41,4497.66,3497.89,0.52
2017-09-14,38.2,38.35,37.82,37.7,3166.46,-0.56,-1.46,38.382,38.463,37.998,3643.8,4512.45,3451.63,0.64
2017-09-13,38.28,38.55,38.38,37.84,2499.01,0.1,0.26,38.592,38.471,38.001,4524.34,4425.31,3367.81,0.5
2017-09-12,38.61,38.95,38.28,37.89,4584.07,-0.58,-1.49,38.62,38.42,37.971,4878.54,4454.11,3327.52,0.92
2017-09-11,38.45,39.17,38.86,38.45,3278.23,0.29,0.75,38.684,38.378,37.916,4969.55,4274.42,3157.12,0.66
2017-09-08,38.74,39.0,38.57,38.32,4691.23,-0.3,-0.77,38.672,38.286,37.816,5768.9,4241.45,3074.55,0.94
2017-09-07,38.04,39.27,38.87,38.04,7569.15,0.35,0.91,38.544,38.146,37.694,5381.11,4063.53,2941.04,1.52
2017-09-06,38.38,38.7,38.52,38.2,4270.0,-0.08,-0.21,38.35,37.956,37.565,4326.28,3424.49,2688.23,0.86
2017-09-05,38.15,39.29,38.6,38.15,5039.14,-0.2,-0.52,38.22,37.782,37.484,4029.68,3190.02,2589.9,1.01
2017-09-04,38.2,39.99,38.8,37.6,7275.0,0.87,2.29,38.072,37.648,37.409,3579.3,2992.74,2488.39,1.46
2017-09-01,37.95,38.4,37.93,37.62,2752.24,0.03,0.08,37.9,37.558,37.319,2714.0,2498.13,2193.66,0.55
2017-08-31,37.39,38.01,37.9,37.39,2295.0,0.03,0.08,37.748,37.533,37.275,2745.95,2390.81,2135.0,0.46
2017-08-30,37.65,38.05,37.87,37.35,2787.0,0.01,0.03,37.562,37.53,37.241,2522.71,2310.32,2101.3,0.56
2017-08-29,37.93,38.4,37.86,37.51,2787.25,-0.08,-0.21,37.344,37.522,37.208,2350.37,2200.93,2140.56,0.56
2017-08-28,37.2,37.99,37.94,37.17,2948.52,0.77,2.07,37.224,37.454,37.258,2406.19,2039.81,2284.21,0.59
2017-08-25,36.97,37.2,37.17,36.76,2912.0,0.2,0.54,37.216,37.346,37.199,2282.27,1907.66,2218.83,0.59
2017-08-24,36.84,37.18,36.97,36.5,1178.78,0.19,0.52,37.318,37.241,37.181,2035.66,1818.55,2209.27,0.24
2017-08-23,37.17,37.2,36.78,36.45,1925.29,-0.48,-1.29,37.498,37.174,37.211,2097.92,1951.98,2266.25,0.39
2017-08-22,37.85,37.85,37.26,36.86,3066.36,-0.64,-1.69,37.7,37.186,37.221,2051.5,1989.77,2223.29,0.62
2017-08-21,37.68,38.15,37.9,37.14,2328.9,0.22,0.58,37.684,37.17,37.205,1673.42,1984.04,2136.58,0.47
2017-08-18,37.28,38.03,37.68,37.28,1678.98,-0.19,-0.5,37.476,37.08,37.176,1533.04,1889.19,2213.63,0.34
2017-08-17,37.99,38.45,37.87,37.38,1490.07,0.08,0.21,37.164,37.016,37.086,1601.45,1879.2,2222.05,0.3
2017-08-16,37.4,37.88,37.79,36.98,1693.17,0.61,1.64,36.85,36.952,36.983,1806.03,1892.29,2260.45,0.34
2017-08-15,37.2,37.35,37.18,36.27,1176.0,0.32,0.87,36.672,36.893,36.867,1928.04,2080.19,2363.65,0.24
2017-08-14,36.12,37.4,36.86,35.89,1627.0,0.74,2.05,36.656,37.062,36.767,2294.66,2528.61,2461.09,0.33
2017-08-11,36.02,36.49,36.12,36.01,2021.0,-0.18,-0.5,36.684,37.052,36.674,2245.34,2530.0,2685.5,0.41
2017-08-10,36.88,36.95,36.3,36.13,2513.0,-0.6,-1.63,36.868,37.12,36.779,2156.94,2599.98,2765.25,0.51
2017-08-09,37.18,37.35,36.9,36.22,2303.21,-0.2,-0.54,37.054,37.248,36.924,1978.54,2580.53,2753.52,0.46
