date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2018-01-12,17.12,17.55,16.83,16.8,30423.48,-0.47,-2.72,16.97,16.918,16.565,25006.03,27619.46,19972.14,1.89
2018-01-11,16.6,17.68,17.3,16.57,42245.77,0.55,3.28,17.032,16.836,16.563,24161.34,26236.59,19099.07,2.62
2018-01-10,16.92,17.08,16.75,16.6,14404.02,-0.37,-2.16,16.996,16.687,16.527,25109.88,23225.52,17368.63,0.89
2018-01-09,16.87,17.14,17.13,16.74,18625.0,0.3,1.78,17.192,16.614,16.52,32740.46,23063.35,17289.09,1.16
2018-01-08,17.14,17.14,16.84,16.7,19331.89,-0.3,-1.75,16.992,16.475,16.516,31345.46,22773.53,17248.72,1.2
2018-01-05,17.09,17.38,17.14,16.92,26200.0,0.01,0.06,16.866,16.414,16.509,30232.88,22002.74,16954.53,1.63
2018-01-04,17.5,17.5,17.12,16.8,46988.49,-0.61,-3.44,16.64,16.322,16.475,28311.85,20656.04,16272.25,2.92
2018-01-03,16.12,17.73,17.73,16.08,52556.9,1.61,9.99,16.378,16.238,16.444,21341.15,17131.59,14947.69,3.26
2018-01-02,16.3,16.3,16.13,16.05,11650.01,-0.07,-0.43,16.036,16.128,16.369,13386.25,12838.7,14593.7,0.72
2017-12-29,15.92,16.26,16.21,15.92,13769.0,0.2,1.25,15.958,16.167,16.465,14201.59,12612.2,15829.6,0.85
2017-12-28,15.71,16.12,16.01,15.7,16594.86,0.2,1.26,15.962,16.211,16.627,13772.59,12324.82,15696.0,1.03
2017-12-27,16.0,16.16,15.81,15.65,12135.0,-0.22,-1.37,16.004,16.289,16.795,13000.22,11961.54,16040.09,0.75
2017-12-26,15.63,16.05,16.02,15.63,12782.39,0.29,1.84,16.098,16.367,17.0,12922.02,11511.74,16022.79,0.79
2017-12-25,16.19,16.25,15.74,15.71,15726.72,-0.47,-2.9,16.22,16.426,17.217,12291.14,11514.82,16544.83,0.98
2017-12-22,16.24,16.3,16.23,16.13,11624.0,-0.01,-0.06,16.376,16.556,17.439,11022.8,11723.91,16834.45,0.72
2017-12-21,16.25,16.36,16.22,16.08,12733.0,-0.05,-0.31,16.46,16.604,17.64,10877.05,11906.32,17102.35,0.79
2017-12-20,16.58,16.69,16.28,16.18,11744.0,-0.35,-2.1,16.574,16.627,17.816,10922.85,11888.46,17255.15,0.73
2017-12-19,16.5,16.72,16.63,16.38,9628.0,0.12,0.73,16.636,16.649,17.988,10101.45,12763.8,17457.45,0.6
2017-12-18,16.62,16.71,16.52,16.31,9385.0,-0.1,-0.6,16.632,16.609,18.146,10738.5,16348.7,17543.78,0.58
2017-12-15,16.79,16.79,16.65,16.54,10895.25,-0.14,-0.83,16.736,16.762,18.32,12425.01,19047.01,17750.44,0.68
2017-12-14,16.69,17.08,16.79,16.54,12962.01,0.18,1.08,16.748,17.042,18.499,12935.59,19067.19,18544.92,0.8
2017-12-13,16.54,16.68,16.59,16.52,7637.0,0.0,0.0,16.68,17.3,18.685,12854.07,20118.64,18313.07,0.47
2017-12-12,16.83,17.02,16.61,16.51,12813.25,-0.43,-2.52,16.662,17.633,18.892,15426.15,20533.84,18481.2,0.8
2017-12-11,16.7,17.19,17.04,16.7,17817.55,0.34,2.04,16.586,18.008,19.112,21958.9,21574.84,18605.14,1.11
2017-12-08,16.47,16.9,16.71,16.44,13448.16,0.24,1.46,16.788,18.322,19.301,25669.01,21944.99,18500.21,0.83
2017-12-07,16.44,16.75,16.45,16.3,12554.38,-0.05,-0.3,17.336,18.676,19.525,25198.78,22298.37,18350.11,0.78
2017-12-06,16.36,16.52,16.5,16.0,20497.39,0.27,1.66,17.92,19.005,19.768,27383.21,22621.84,18228.99,1.27
2017-12-05,17.88,18.28,16.23,16.23,45477.01,-1.8,-9.98,18.604,19.327,20.005,25641.54,22151.1,17977.14,2.82
2017-12-04,19.45,19.45,18.05,17.67,36368.1,-1.39,-7.15,19.43,19.682,20.252,21190.78,18738.85,16384.27,2.26
2017-12-01,19.3,19.55,19.45,19.16,11097.0,0.0,0.0,19.856,19.877,20.411,18220.96,16453.88,15555.01,0.69
2017-11-30,19.94,20.14,19.37,19.3,23476.54,-0.57,-2.86,20.016,19.955,20.459,19397.97,18022.66,15679.19,1.46
2017-11-29,20.23,20.28,19.92,19.86,11789.04,-0.44,-2.16,20.09,20.07,20.523,17860.46,16507.51,15420.16,0.73
2017-11-28,19.91,20.39,20.36,19.91,23223.23,0.14,0.69,20.05,20.151,20.591,18660.66,16428.56,15396.91,1.44
2017-11-27,20.9,20.99,20.18,20.12,21519.0,-0.07,-0.35,19.934,20.216,20.641,16286.92,15635.44,14593.85,1.34
2017-11-24,19.6,20.28,20.25,19.49,16982.05,0.51,2.58,19.898,20.279,20.694,14686.8,15055.44,14491.5,1.05
2017-11-23,19.68,20.35,19.74,19.56,15788.99,0.02,0.1,19.894,20.374,20.778,16647.35,14401.84,14349.32,0.98
2017-11-22,19.72,19.85,19.72,19.52,15790.01,-0.06,-0.3,20.05,20.53,20.906,15154.56,13836.14,14315.66,0.98
2017-11-21,20.0,20.19,19.78,19.65,11354.54,-0.33,-1.64,20.252,20.683,21.033,14196.47,13803.17,14056.16,0.7
2017-11-20,20.09,20.17,20.0,19.1,13518.39,-0.22,-1.09,20.498,20.821,21.155,14983.96,14029.69,14228.32,0.84
2017-11-17,20.6,20.79,20.23,20.0,26784.84,-0.3,-1.46,20.66,20.944,21.281,15424.08,14656.15,14665.93,1.66
2017-11-16,20.79,20.82,20.52,20.47,8325.01,-0.19,-0.92,20.854,20.963,21.375,12156.32,13335.72,13739.5,0.52
2017-11-15,20.98,21.13,20.73,20.6,10999.57,-0.36,-1.71,21.01,20.975,21.442,12517.72,14332.82,14044.1,0.68
2017-11-14,20.8,21.2,21.01,20.71,15292.0,0.2,0.96,21.114,21.03,21.508,13409.88,14365.26,14435.37,0.95
2017-11-13,21.25,21.37,20.81,20.73,15718.96,-0.38,-1.79,21.144,21.066,21.584,13075.41,13552.26,14481.19,0.98
2017-11-10,21.31,21.37,21.2,21.1,10446.08,-0.11,-0.52,21.228,21.109,21.657,13888.22,13927.56,14671.24,0.65
2017-11-09,21.28,21.5,21.3,21.16,10132.0,0.05,0.23,21.072,21.182,21.741,14515.12,14296.81,14886.74,0.63
2017-11-08,21.17,21.36,21.25,21.05,15460.35,0.09,0.42,20.94,21.282,21.827,16147.92,14795.17,15676.52,0.96
2017-11-07,21.23,21.23,21.16,20.93,13619.68,-0.07,-0.33,20.946,21.383,21.929,15320.64,14309.14,16399.15,0.85
2017-11-06,20.65,21.25,21.23,20.65,19783.01,0.81,3.97,20.988,21.489,22.03,14029.11,14426.95,17039.52,1.23
2017-11-03,20.63,20.8,20.42,20.31,13580.56,-0.22,-1.07,20.99,21.617,22.108,13966.9,14675.72,17022.77,0.84
2017-11-02,21.3,21.42,20.64,20.51,18295.98,-0.64,-3.01,21.292,21.786,22.208,14078.5,14143.27,16966.96,1.14
2017-11-01,21.43,21.56,21.28,21.09,11323.98,-0.09,-0.42,21.624,21.909,22.293,13442.43,13755.37,17058.28,0.7
2017-10-31,21.15,21.48,21.37,21.15,7162.0,0.13,0.61,21.82,21.985,22.358,13297.65,14505.48,18234.11,0.44
2017-10-30,21.63,21.92,21.24,20.9,19471.98,-0.69,-3.15,21.99,22.102,22.448,14824.79,15410.13,20262.89,1.21
2017-10-27,22.24,22.36,21.93,21.9,14138.54,-0.37,-1.66,22.244,22.204,22.48,15384.54,15414.92,21419.8,0.88
2017-10-26,22.39,22.51,22.3,22.17,15115.65,0.04,0.18,22.28,22.299,22.528,14208.05,15476.67,21530.72,0.94
2017-10-25,22.22,22.28,22.26,22.04,10600.06,0.04,0.18,22.194,22.372,22.565,14068.32,16557.86,21885.39,0.66
2017-10-24,22.36,22.48,22.22,22.05,14797.74,-0.29,-1.29,22.15,22.475,22.632,15713.3,18489.16,22833.46,0.92
2017-10-23,22.54,22.96,22.51,22.3,22270.7,0.4,1.81,22.214,22.571,22.696,15995.46,19652.08,24294.93,1.38
2017-10-20,21.87,22.22,22.11,21.87,8256.08,0.24,1.1,22.164,22.599,22.72,15445.3,19369.81,23946.85,0.51
2017-10-19,21.97,22.3,21.87,21.8,14417.0,-0.17,-0.77,22.318,22.629,22.761,16745.29,19790.64,24500.91,0.9
2017-10-18,22.54,22.54,22.04,22.01,18825.0,-0.5,-2.22,22.55,22.676,22.835,19047.4,20361.19,25142.1,1.17
2017-10-17,22.29,22.88,22.54,22.1,16208.54,0.28,1.26,22.8,22.73,22.893,21265.02,21962.74,25277.75,1.01
2017-10-16,22.95,22.95,22.26,22.2,19519.87,-0.62,-2.71,22.928,22.793,22.941,23308.7,25115.65,25972.74,1.21
2017-10-13,22.85,23.09,22.88,22.73,14756.04,-0.15,-0.65,23.034,22.756,23.015,23294.33,27424.68,26137.98,0.92
2017-10-12,23.29,23.34,23.03,22.56,25927.56,-0.26,-1.12,22.94,22.756,23.04,22835.99,27584.77,26744.05,1.61
2017-10-11,23.2,23.48,23.29,23.01,29913.09,0.11,0.47,22.802,22.757,23.056,21674.98,27212.92,27521.76,1.86
2017-10-10,22.6,23.29,23.18,22.55,26426.92,0.39,1.71,22.66,22.789,23.095,22660.47,27177.76,27369.69,1.64
2017-10-09,22.59,22.94,22.79,22.59,19448.05,0.38,1.7,22.658,22.82,23.136,26922.6,28937.78,27649.65,1.21
2017-09-29,22.25,22.6,22.41,22.25,12464.35,0.07,0.31,22.478,22.84,23.2,31555.03,28523.88,28603.95,0.77
2017-09-28,22.3,22.81,22.34,22.2,20122.51,-0.24,-1.06,22.572,22.893,23.308,32333.55,29211.17,29709.18,1.25
2017-09-27,22.83,22.98,22.58,22.49,34840.51,-0.59,-2.55,22.712,22.994,23.429,32750.85,29923.01,31930.27,2.16
2017-09-26,21.74,23.6,23.17,21.37,47737.6,1.28,5.85,22.918,23.055,23.503,31695.05,28592.77,32840.98,2.96
2017-09-25,22.86,22.86,21.89,21.74,42610.17,-0.99,-4.33,22.982,23.088,23.57,30952.96,26829.82,33048.2,2.65
2017-09-22,22.81,23.32,22.88,22.8,16356.97,-0.16,-0.69,23.202,23.274,23.697,25492.73,24851.29,34010.89,1.02
2017-09-21,23.58,23.58,23.04,22.94,22208.98,-0.57,-2.41,23.214,23.323,23.777,26088.79,25903.32,36363.55,1.38
2017-09-20,23.4,23.84,23.61,23.28,29561.51,0.12,0.51,23.276,23.354,23.865,27095.17,27830.6,41056.88,1.84
2017-09-19,23.02,23.79,23.49,22.87,44027.19,0.5,2.17,23.192,23.4,23.886,25490.48,27561.63,43352.32,2.73
2017-09-18,22.91,23.13,22.99,22.72,15309.0,0.05,0.22,23.194,23.451,23.859,22706.68,26361.52,43669.62,0.95
2017-09-15,23.33,23.36,22.94,22.92,19337.28,-0.41,-1.76,23.346,23.56,23.881,24209.84,28684.02,47482.94,1.2
2017-09-14,23.17,23.48,23.35,22.85,27240.86,0.16,0.69,23.432,23.723,23.916,25717.85,30207.19,50108.84,1.69
2017-09-13,23.42,23.55,23.19,23.15,21538.09,-0.31,-1.32,23.432,23.863,23.927,28566.03,33937.53,52801.99,1.34
2017-09-12,23.71,23.95,23.5,23.35,30108.19,-0.25,-1.05,23.608,23.95,23.907,29632.77,37089.19,54134.18,1.87
2017-09-11,23.48,23.93,23.75,23.21,22824.8,0.38,1.63,23.708,24.052,23.87,30016.36,39266.57,54904.51,1.42
2017-09-08,23.38,23.7,23.37,23.08,26877.31,0.02,0.09,23.774,24.119,23.798,33158.2,43170.49,55481.86,1.67
2017-09-07,24.07,24.2,23.35,23.26,41481.78,-0.72,-2.99,24.014,24.23,23.725,34696.54,46823.79,55996.56,2.58
2017-09-06,24.0,24.2,24.07,23.81,26871.78,0.07,0.29,24.294,24.376,23.681,39309.03,54283.15,55588.07,1.67
2017-09-05,24.14,24.24,24.0,23.81,32026.11,-0.08,-0.33,24.292,24.372,23.609,44545.6,59143.0,56859.75,1.99
2017-09-04,24.46,24.71,24.08,24.0,38534.01,-0.49,-1.99,24.396,24.266,23.553,48516.78,60977.71,58742.04,2.39
2017-09-01,24.8,24.85,24.57,24.42,34569.01,-0.18,-0.73,24.464,24.201,23.434,53182.77,66281.85,57911.83,2.15
2017-08-31,23.63,24.9,24.75,23.63,64544.25,0.69,2.87,24.446,24.109,23.3,58951.04,70010.49,58004.95,4.01
2017-08-30,24.86,24.97,24.06,23.84,53054.63,-0.46,-1.88,24.458,23.99,23.142,69257.27,71666.45,56479.25,3.29
2017-08-29,24.32,24.8,24.52,24.1,51882.0,0.1,0.41,24.452,23.863,23.005,73740.41,71179.17,55767.85,3.22
2017-08-28,24.32,24.98,24.42,24.2,61863.97,-0.06,-0.24,24.136,23.688,22.864,73438.64,70542.45,54950.29,3.84
2017-08-25,24.5,24.78,24.48,24.2,63410.33,-0.33,-1.33,23.938,23.477,22.724,79380.93,67793.24,54375.01,3.94
2017-08-24,23.8,25.26,24.81,23.41,116075.4,0.78,3.25,23.772,23.219,22.622,81069.94,65169.34,52867.17,7.21
2017-08-23,22.83,24.24,24.03,22.55,75470.33,1.09,4.75,23.522,22.985,22.528,74075.63,56893.0,49753.61,4.69
2017-08-22,23.25,23.82,22.94,22.78,50373.18,-0.49,-2.09,23.274,22.845,22.471,68617.93,54576.5,48325.79,3.13
2017-08-21,23.92,24.73,23.43,23.27,91575.42,-0.22,-0.93,23.24,22.84,22.444,67646.25,56506.38,48261.05,5.69
2017-08-18,23.41,23.92,23.65,23.0,71855.36,0.09,0.38,23.016,22.667,22.422,56205.55,49541.8,46515.52,4.46
2017-08-17,22.95,23.78,23.56,22.8,81103.85,0.77,3.38,22.666,22.491,22.369,49268.74,45999.42,45568.09,5.04
2017-08-16,22.6,23.15,22.79,22.6,48181.82,0.02,0.09,22.448,22.293,22.349,39710.37,41292.04,44979.57,2.99
2017-08-15,22.21,22.91,22.77,22.05,45514.8,0.46,2.06,22.416,22.147,22.399,40535.07,40356.53,47450.64,2.83
2017-08-14,21.72,22.4,22.31,21.67,34371.94,0.41,1.87,22.44,22.04,22.426,45366.51,39358.14,50767.52,2.13
2017-08-11,22.01,22.49,21.9,21.5,37171.3,-0.57,-2.54,22.318,21.971,22.399,42878.04,40956.77,52573.56,2.31
2017-08-10,22.61,22.99,22.47,22.3,33312.0,-0.16,-0.71,22.316,22.025,22.437,42730.1,40565.0,54657.05,2.07
