date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2018-01-12,14.01,14.03,13.83,13.81,418363.16,-0.3,-2.12,13.974,13.999,14.246,613803.83,650844.87,634282.43,1.84
2018-01-11,13.92,14.23,14.13,13.8,582581.62,0.06,0.43,13.984,13.997,14.335,650980.05,658307.49,673531.89,2.56
2018-01-10,14.2,14.37,14.07,13.78,751838.0,0.07,0.5,13.998,13.973,14.378,675722.07,675300.8,690625.38,3.3
2018-01-09,13.75,14.06,14.0,13.68,656002.81,0.17,1.23,14.044,14.025,14.432,732133.51,638821.57,699617.71,2.88
2018-01-08,13.88,13.9,13.84,13.55,660233.56,-0.04,-0.29,14.002,14.08,14.51,754943.56,625444.27,715462.32,2.9
2018-01-05,14.19,14.34,13.88,13.81,604244.25,-0.32,-2.25,14.024,14.183,14.586,687885.91,598011.04,738950.88,2.66
2018-01-04,14.25,14.43,14.2,14.06,706291.75,-0.08,-0.56,14.01,14.292,14.671,665634.94,605894.23,766871.02,3.1
2018-01-03,13.77,14.49,14.3,13.77,1033895.19,0.51,3.7,13.948,14.346,14.747,674879.53,605422.27,789679.78,4.54
2018-01-02,14.01,14.1,13.79,13.52,770053.06,-0.15,-1.08,14.006,14.364,14.776,545509.63,553326.41,815600.77,3.38
2017-12-29,13.8,14.02,13.95,13.78,324945.28,0.15,1.09,14.158,14.413,14.865,495944.98,548212.1,828394.06,1.43
2017-12-28,13.85,14.06,13.81,13.7,492989.41,-0.06,-0.43,14.342,14.492,14.925,508136.18,617719.99,854756.4,2.17
2017-12-27,14.5,14.5,13.89,13.82,752514.69,-0.68,-4.67,14.574,14.673,14.981,546153.52,688756.29,873145.42,3.31
2017-12-26,14.52,14.62,14.59,14.31,387045.72,0.05,0.34,14.744,14.782,15.022,535965.02,705949.95,874030.8,1.7
2017-12-25,14.87,14.99,14.55,14.35,522229.81,-0.32,-2.15,14.722,14.838,15.042,561143.2,760413.85,893720.08,2.29
2017-12-22,14.83,15.05,14.87,14.81,385901.25,-0.09,-0.6,14.668,14.939,15.035,600479.21,805480.36,915622.04,1.7
2017-12-21,14.69,15.14,14.97,14.45,683076.12,0.24,1.63,14.642,14.989,15.045,727303.81,879890.73,947909.12,3.0
2017-12-20,14.49,14.85,14.74,14.3,701572.19,0.25,1.73,14.772,15.049,15.041,831359.06,927847.81,973777.89,3.08
2017-12-19,14.36,14.57,14.48,14.28,512936.62,0.2,1.4,14.82,15.147,15.095,875934.89,973937.3,1007776.37,2.25
2017-12-18,14.59,14.69,14.28,14.21,718909.88,-0.46,-3.12,14.954,15.188,15.145,959684.5,1077875.12,1068448.96,3.16
2017-12-15,15.41,15.52,14.74,14.71,1020024.25,-0.88,-5.63,15.21,15.316,15.208,1010481.51,1108576.02,1114709.86,4.48
2017-12-14,15.01,15.64,15.62,14.92,1203352.38,0.63,4.2,15.336,15.358,15.205,1032477.64,1091792.82,1169352.18,5.29
2017-12-13,14.94,15.19,14.98,14.66,924451.31,-0.17,-1.12,15.326,15.289,15.147,1024336.56,1057534.56,1176641.68,4.06
2017-12-12,15.43,15.76,15.15,15.13,931684.69,-0.39,-2.51,15.474,15.262,15.09,1071939.7,1042111.65,1197625.82,4.09
2017-12-11,15.22,15.56,15.56,15.08,972894.94,0.18,1.17,15.422,15.245,15.046,1196065.74,1027026.31,1194309.14,4.27
2017-12-08,15.4,15.82,15.37,15.26,1130004.88,-0.21,-1.35,15.422,15.13,14.99,1206670.53,1025763.71,1207316.66,4.97
2017-12-07,15.51,16.06,15.57,15.38,1162647.0,-0.14,-0.89,15.38,15.1,14.931,1151107.99,1015927.52,1213807.51,5.11
2017-12-06,14.82,15.73,15.72,14.54,1162467.0,0.8,5.36,15.252,15.033,14.841,1090732.55,1019707.96,1193153.38,5.11
2017-12-05,15.36,15.79,14.89,14.52,1552314.88,-0.67,-4.31,15.05,15.042,14.727,1012283.6,1041615.45,1172170.78,6.82
2017-12-04,15.05,15.65,15.56,15.05,1025918.88,0.41,2.71,15.068,15.101,14.651,857986.89,1059022.81,1142074.88,4.51
2017-12-01,14.9,15.33,15.16,14.64,852192.19,0.23,1.54,14.838,15.099,14.532,844856.9,1120843.69,1124717.99,3.74
2017-11-30,14.6,15.24,14.93,14.46,860769.81,0.23,1.56,14.82,15.051,14.414,880747.05,1246911.55,1117292.17,3.78
2017-11-29,14.93,14.97,14.71,14.35,770222.25,-0.27,-1.8,14.814,15.004,14.294,948683.36,1295748.81,1112914.66,3.38
2017-11-28,14.38,15.05,14.98,14.28,780831.31,0.59,4.1,15.034,14.917,14.195,1070947.29,1353139.98,1118340.57,3.43
