date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2018-01-12,17.3,17.44,17.03,17.0,72953.36,-0.48,-2.74,17.016,16.887,16.803,60460.44,42348.75,30896.59,1.48
2018-01-11,16.96,17.95,17.5,16.78,130929.35,0.4,2.34,16.97,16.826,16.807,50250.59,37646.21,28751.19,2.65
2018-01-10,16.77,17.15,17.11,16.65,53716.43,0.35,2.09,16.83,16.719,16.778,27994.3,26108.67,22898.68,1.09
2018-01-09,16.69,16.9,16.75,16.61,21530.69,0.05,0.3,16.792,16.665,16.766,23241.57,22140.39,21687.28,0.44
2018-01-08,16.95,16.95,16.69,16.65,23172.39,-0.12,-0.71,16.786,16.629,16.788,24218.94,22297.91,23152.68,0.47
2018-01-05,16.83,16.98,16.8,16.79,21904.07,0.0,0.0,16.758,16.64,16.782,24237.06,21366.29,22865.01,0.44
2018-01-04,16.99,16.99,16.8,16.76,19647.94,-0.11,-0.65,16.682,16.639,16.761,25041.84,20710.3,22731.56,0.4
2018-01-03,16.66,16.99,16.92,16.66,29952.74,0.19,1.14,16.608,16.638,16.739,24223.03,20975.94,23199.16,0.61
2018-01-02,16.59,16.79,16.72,16.41,26417.57,0.17,1.03,16.538,16.661,16.713,21039.22,20710.73,23798.32,0.53
2017-12-29,16.38,16.65,16.55,16.37,23263.0,0.13,0.79,16.472,16.678,16.726,20376.88,19813.71,23529.79,0.47
2017-12-28,16.5,16.88,16.42,16.39,25927.95,-0.01,-0.06,16.522,16.719,16.752,18495.51,19444.43,23390.59,0.52
2017-12-27,16.55,16.6,16.43,16.39,15553.87,-0.15,-0.91,16.596,16.788,16.775,16378.77,19856.17,23246.42,0.31
2017-12-26,16.8,16.8,16.57,16.39,14033.72,0.18,1.1,16.668,16.837,16.809,17728.86,19688.69,23412.91,0.28
2017-12-25,16.78,16.82,16.39,16.37,23105.86,-0.41,-2.44,16.784,16.867,16.841,20382.23,21234.17,24004.78,0.47
2017-12-22,16.8,16.91,16.8,16.72,13856.16,0.01,0.06,16.884,16.947,16.861,19250.53,24007.45,24007.8,0.28
2017-12-21,16.78,16.87,16.79,16.49,15344.22,0.0,0.0,16.916,16.924,16.875,20393.35,24363.74,24460.6,0.31
2017-12-20,17.11,17.17,16.79,16.76,22304.36,-0.36,-2.1,16.98,16.883,16.888,23333.57,24752.82,25250.31,0.45
2017-12-19,16.89,17.27,17.15,16.89,27300.54,0.25,1.48,17.006,16.839,16.929,21648.51,25422.37,26376.44,0.55
2017-12-18,16.91,17.02,16.89,16.81,17447.38,-0.06,-0.35,16.95,16.765,16.946,22086.11,26885.92,26155.93,0.35
2017-12-15,17.1,17.12,16.96,16.9,19570.26,-0.15,-0.88,17.01,16.773,16.981,28764.36,27245.87,27247.27,0.4
2017-12-14,16.94,17.16,17.11,16.83,30045.33,0.19,1.12,16.932,16.784,17.001,28334.12,27336.75,29240.95,0.61
2017-12-13,16.86,17.01,16.92,16.77,13879.03,0.07,0.41,16.786,16.762,17.049,26172.06,26636.67,29853.45,0.28
2017-12-12,17.17,17.18,16.87,16.81,29488.57,-0.32,-1.86,16.672,16.781,17.122,29196.24,27137.14,33821.87,0.6
2017-12-11,17.1,17.39,17.19,16.86,50838.6,0.63,3.8,16.58,16.814,17.241,31685.73,26775.39,38795.19,1.03
2017-12-08,16.39,16.65,16.57,16.35,17419.07,0.21,1.28,16.536,16.774,17.32,25727.39,24008.16,38469.06,0.35
2017-12-07,16.34,16.54,16.38,16.28,19235.02,0.02,0.12,16.636,16.825,17.433,26339.38,24557.46,40321.02,0.39
2017-12-06,16.31,16.53,16.35,16.0,28999.94,-0.05,-0.3,16.738,16.893,17.551,27101.29,25747.8,40924.93,0.59
2017-12-05,17.0,17.11,16.41,16.05,41936.04,-0.55,-3.24,16.89,17.018,17.66,25078.04,27330.5,41546.02,0.85
2017-12-04,17.03,17.23,16.97,16.9,21046.86,-0.11,-0.64,17.048,17.126,17.758,21865.05,25425.94,41135.58,0.43
2017-12-01,16.78,17.18,17.07,16.78,20479.04,0.18,1.07,17.012,17.189,17.812,22288.94,27248.66,41071.5,0.41
