date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2018-01-12,23.02,23.17,22.95,22.91,17291.09,-0.15,-0.65,23.43,23.842,24.448,25492.3,25491.14,24259.74,0.53
2018-01-11,23.22,23.37,23.1,22.8,29523.03,-0.04,-0.17,23.696,23.952,24.562,24746.28,25363.19,24398.0,0.9
2018-01-10,23.9,23.97,23.14,23.03,50661.53,-0.74,-3.1,23.95,24.047,24.678,21742.31,24371.63,23686.31,1.55
2018-01-09,24.09,24.09,23.9,23.83,15069.6,-0.16,-0.67,24.224,24.162,24.787,16990.41,20920.32,22324.7,0.46
2018-01-08,24.1,24.3,24.06,23.81,14916.25,-0.23,-0.95,24.27,24.208,24.857,19204.03,21345.88,22605.24,0.46
2018-01-05,24.3,24.44,24.28,24.2,13561.0,-0.09,-0.37,24.254,24.299,24.914,25489.97,22541.05,23091.15,0.41
2018-01-04,24.52,24.66,24.37,24.31,14503.18,-0.14,-0.57,24.208,24.434,24.936,25980.1,23205.03,23363.85,0.44
2018-01-03,24.25,24.68,24.51,24.15,26902.03,0.36,1.49,24.144,24.545,24.949,27000.95,23659.47,23727.26,0.82
2018-01-02,24.01,24.38,24.13,23.72,26137.68,0.12,0.5,24.1,24.684,24.934,24850.22,23204.17,23620.63,0.8
2017-12-29,24.0,24.3,23.98,23.28,46345.97,-0.07,-0.29,24.146,24.867,24.971,23487.74,23979.64,23415.28,1.41
2017-12-28,24.1,24.3,24.05,23.97,16011.62,0.02,0.08,24.344,25.054,25.048,19592.13,23028.34,21834.72,0.49
2017-12-27,24.48,24.48,24.05,23.98,19607.44,-0.24,-0.99,24.66,25.172,25.122,20429.97,23432.8,22667.9,0.6
2017-12-26,24.55,24.73,24.29,24.15,16148.4,-0.08,-0.33,24.946,25.309,25.19,20318.0,23000.98,22672.86,0.49
2017-12-25,25.0,25.1,24.36,24.3,19325.25,-0.63,-2.52,25.268,25.412,25.238,21558.11,23729.09,22498.11,0.59
2017-12-22,25.67,25.68,24.97,24.84,26867.94,-0.66,-2.58,25.588,25.506,25.268,24471.53,23864.6,23468.68,0.82
