date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2018-01-12,53.53,53.53,51.22,50.94,319450.44,-2.3,-4.3,50.112,48.84,48.234,282849.08,199206.24,160375.97,5.17
2018-01-11,50.96,54.5,53.56,50.38,478173.47,2.94,5.81,49.48,48.358,48.133,249246.77,174663.01,150664.29,7.74
2018-01-10,47.63,51.79,50.68,47.63,378787.22,3.43,7.26,48.324,47.632,47.893,173655.57,134627.15,132343.48,6.13
2018-01-09,47.84,47.84,47.22,46.8,90512.85,-0.68,-1.42,47.806,47.252,47.784,119689.14,104907.25,123063.98,1.47
2018-01-08,48.3,48.35,47.88,46.5,147321.41,-0.19,-0.4,47.878,47.128,47.848,124117.1,109648.3,131221.71,2.38
2018-01-05,48.8,49.33,48.06,47.9,151438.89,0.29,0.61,47.568,47.11,47.694,115563.41,106906.53,128779.7,2.45
2018-01-04,47.8,48.53,47.78,47.33,100217.48,-0.28,-0.58,47.236,47.206,47.531,100079.26,102571.43,125298.94,1.62
2018-01-03,47.56,48.12,48.09,47.11,108955.07,0.51,1.07,46.94,47.32,47.389,95598.72,106118.8,125811.46,1.76
2018-01-02,46.46,47.83,47.58,46.2,112652.65,1.18,2.54,46.698,47.504,47.183,90125.37,117565.72,131953.13,1.82
2017-12-29,46.28,46.69,46.33,45.5,104552.94,-0.08,-0.17,46.378,47.526,47.167,95179.49,118651.73,130063.01,1.69
2017-12-28,46.3,46.99,46.4,45.75,74018.17,0.16,0.35,46.652,47.628,47.246,98249.65,121545.69,129953.78,1.2
2017-12-27,46.99,47.35,46.3,45.85,77814.79,-0.58,-1.24,47.176,47.907,47.276,105063.6,126665.56,132286.31,1.26
2017-12-26,46.38,47.11,46.88,45.56,81588.29,0.88,1.91,47.7,48.154,47.385,116638.88,130059.81,133928.35,1.32
2017-12-25,47.5,48.08,45.98,45.8,137923.28,-1.72,-3.61,48.31,48.316,47.515,145006.07,141220.7,134883.49,2.23
2017-12-22,49.05,49.67,47.7,47.68,119903.7,-1.33,-2.71,48.674,48.568,47.634,142123.96,152795.11,134231.66,1.94
2017-12-21,48.8,49.53,49.02,48.13,108087.95,0.12,0.24,48.604,48.277,47.698,144841.74,150652.88,134264.8,1.75
2017-12-20,49.7,49.8,48.92,48.52,135691.2,-1.02,-2.04,48.638,47.857,47.744,148267.53,148026.45,136601.63,2.2
2017-12-19,48.11,50.38,49.93,48.11,223424.23,2.23,4.67,48.608,47.457,47.916,143480.74,145504.12,138342.75,3.62
2017-12-18,47.75,49.15,47.8,47.4,123512.74,0.46,0.97,48.322,46.862,48.033,137435.32,146340.54,137166.38,2.0
2017-12-15,49.22,49.49,47.35,47.1,133492.56,-1.83,-3.72,48.462,46.808,48.21,163466.26,141474.29,141105.08,2.16
2017-12-14,48.68,50.2,49.19,48.62,125216.9,0.45,0.92,47.95,46.863,48.451,156464.03,138361.86,147206.51,2.03
2017-12-13,48.15,49.46,48.77,48.03,111757.25,0.27,0.56,47.076,46.644,48.687,147785.38,137907.05,148158.75,1.81
2017-12-12,47.9,49.44,48.5,47.49,193197.16,-0.03,-0.06,46.306,46.616,48.948,147527.51,137796.88,154240.34,3.13
2017-12-11,45.5,49.18,48.5,45.3,253667.45,3.72,8.31,45.402,46.713,49.338,155245.75,128546.29,154779.99,4.11
2017-12-08,44.97,45.66,44.79,44.71,98481.37,-0.06,-0.13,45.154,46.7,49.785,119482.32,115668.2,156666.9,1.59
2017-12-07,44.69,45.58,44.82,44.53,81823.69,-0.13,-0.29,45.776,47.119,50.38,120259.7,117876.73,169501.75,1.32
2017-12-06,44.17,45.07,44.92,43.7,110467.87,0.96,2.18,46.212,47.63,50.815,128028.71,125176.8,171467.45,1.79
2017-12-05,47.3,47.79,43.98,42.88,231788.38,-3.3,-6.98,46.926,48.374,51.236,128066.25,131181.39,175641.86,3.75
2017-12-04,47.7,47.85,47.26,47.06,74850.3,-0.64,-1.34,48.024,49.204,51.772,101846.83,127992.23,173551.95,1.21
2017-12-01,47.2,48.3,47.9,47.0,102368.25,0.94,2.0,48.246,49.611,52.131,111854.07,140735.88,179994.13,1.66
2017-11-30,48.01,48.48,47.0,46.8,120668.74,-1.5,-3.09,48.462,50.039,52.378,115493.75,156051.17,183743.06,1.95
2017-11-29,49.5,49.5,48.49,47.6,110655.6,-0.99,-2.0,49.048,50.73,52.695,122324.89,158410.45,189529.63,1.79
2017-11-28,48.47,49.65,49.47,48.2,100691.27,1.14,2.36,49.822,51.279,52.904,134296.52,170683.79,192363.47,1.63
2017-11-27,49.33,50.39,48.37,47.85,124886.49,-0.62,-1.27,50.384,51.962,52.984,154137.62,181013.69,191535.47,2.02
2017-11-24,49.5,50.61,48.98,48.9,120566.67,-1.02,-2.04,50.976,52.869,53.089,169617.68,197665.6,191728.21,1.95
2017-11-23,51.81,52.15,49.93,49.9,154824.41,-2.4,-4.59,51.616,53.64,53.246,196608.58,221126.77,190362.84,2.51
2017-11-22,51.9,53.68,52.36,51.5,170513.75,0.08,0.15,52.412,53.999,53.371,194496.02,217758.09,189473.24,2.76
2017-11-21,51.28,53.27,52.28,51.0,199896.8,0.92,1.79,52.736,54.098,53.326,207071.06,220102.33,186977.61,3.24
2017-11-20,51.0,51.83,51.33,49.11,202286.77,-0.81,-1.55,53.54,54.339,53.212,207889.76,219111.67,181009.87,3.27
2017-11-17,54.3,55.7,52.18,51.76,255521.16,-1.73,-3.21,54.762,54.65,53.169,225713.51,219252.39,174532.6,4.14
2017-11-16,53.72,54.8,53.91,53.5,144261.62,-0.03,-0.06,55.664,54.717,53.05,245644.96,211434.96,165526.11,2.34
2017-11-15,56.0,56.99,53.98,53.87,233388.95,-2.35,-4.17,55.586,54.66,52.808,241020.16,220648.8,165877.05,3.78
2017-11-14,57.01,57.34,56.3,55.89,203990.31,-1.19,-2.07,55.46,54.528,52.642,233133.59,214043.16,160063.59,3.3
2017-11-13,56.21,57.8,57.44,55.59,291405.53,0.8,1.41,55.138,54.006,52.412,230333.57,202057.25,154802.65,4.72
2017-11-10,53.4,56.7,56.69,53.21,355178.41,3.18,5.94,54.538,53.309,52.121,212791.26,185790.82,149572.19,5.75
2017-11-09,53.0,53.79,53.52,52.81,121137.62,0.17,0.32,53.77,52.852,51.988,177224.96,159598.91,136340.29,1.96
2017-11-08,54.99,54.99,53.35,53.32,193956.08,-1.34,-2.45,53.734,52.742,52.026,200277.44,161188.4,137254.35,3.14
2017-11-07,54.22,54.75,54.69,53.6,189990.23,0.25,0.46,53.596,52.553,52.063,194952.72,153852.89,135207.17,3.08
2017-11-06,52.79,54.5,54.44,52.5,203693.97,1.59,3.01,52.874,52.085,52.072,173780.93,142908.08,138056.05,3.3
2017-11-03,53.34,54.1,52.85,52.06,177346.91,-0.49,-0.92,52.08,51.688,51.984,158790.38,129812.8,134304.92,2.87
2017-11-02,52.78,54.35,53.34,52.29,236400.02,0.68,1.29,51.934,51.383,51.893,141972.86,119617.26,128970.53,3.83
2017-11-01,51.14,53.7,52.66,50.76,167332.48,1.58,3.09,51.75,50.955,51.772,122099.35,111105.3,122140.99,2.71
2017-10-31,50.5,51.4,51.08,50.3,84131.26,0.61,1.21,51.51,50.755,51.703,112753.06,106084.03,118292.45,1.36
2017-10-30,52.01,52.68,50.47,50.38,128741.24,-1.65,-3.17,51.296,50.817,51.712,112035.22,107548.05,118877.58,2.08
2017-10-27,52.5,52.5,52.12,51.52,93259.29,-0.3,-0.57,51.296,50.932,51.716,100835.22,113353.55,118312.0,1.51
2017-10-26,51.22,52.55,52.42,51.02,137032.48,0.96,1.87,50.832,51.123,51.689,97261.66,113081.67,122963.57,2.22
2017-10-25,50.21,51.77,51.46,50.06,120601.04,1.45,2.9,50.16,51.31,51.745,100111.24,113320.31,125179.89,1.95
2017-10-24,50.5,50.66,50.01,49.16,80542.06,-0.46,-0.91,50.0,51.573,51.899,99414.99,116561.46,128780.15,1.3
2017-10-23,49.82,50.85,50.47,49.82,72741.24,0.67,1.34,50.338,52.058,52.065,103060.88,133204.03,131988.26,1.18
2017-10-20,48.98,49.98,49.8,48.94,75391.46,0.74,1.51,50.568,52.279,52.244,125871.89,138797.04,137343.77,1.22
