date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2018-01-12,3.68,3.7,3.65,3.63,77733.11,-0.04,-1.08,3.664,3.675,3.685,76456.67,66870.45,62979.95,0.35
2018-01-11,3.63,3.72,3.69,3.6,103425.73,0.05,1.37,3.672,3.672,3.694,72068.9,64871.98,63892.25,0.47
2018-01-10,3.68,3.68,3.63,3.61,65296.0,-0.04,-1.09,3.676,3.666,3.703,63377.25,59781.84,61878.42,0.3
2018-01-09,3.67,3.69,3.67,3.66,54572.94,-0.01,-0.27,3.69,3.668,3.715,64754.08,58645.65,64470.85,0.25
2018-01-08,3.69,3.71,3.68,3.65,81255.55,-0.01,-0.27,3.692,3.663,3.727,64035.9,61549.27,69824.09,0.37
2018-01-05,3.71,3.72,3.69,3.67,55794.27,-0.02,-0.54,3.686,3.663,3.735,57284.24,56962.32,71603.79,0.25
2018-01-04,3.69,3.73,3.71,3.69,59967.5,0.02,0.54,3.672,3.662,3.74,57675.07,57999.26,72085.45,0.27
2018-01-03,3.67,3.71,3.7,3.66,72180.15,0.03,0.82,3.656,3.658,3.744,56186.43,62214.72,73146.76,0.33
2018-01-02,3.64,3.68,3.68,3.63,50982.05,0.04,1.1,3.646,3.668,3.747,52537.21,58585.54,75699.19,0.23
2017-12-29,3.65,3.65,3.65,3.61,47497.21,0.02,0.55,3.634,3.678,3.754,59062.64,58007.34,78459.36,0.22
2017-12-28,3.62,3.66,3.62,3.6,57748.44,-0.01,-0.28,3.64,3.694,3.764,56640.4,59089.46,89166.98,0.26
2017-12-27,3.65,3.65,3.63,3.61,52524.32,-0.02,-0.55,3.652,3.715,3.772,58323.44,62912.52,98097.07,0.24
2017-12-26,3.62,3.66,3.65,3.6,53934.02,0.03,0.83,3.66,3.74,3.775,68243.01,63975.0,99949.46,0.25
2017-12-25,3.68,3.7,3.62,3.6,83609.22,-0.07,-1.9,3.69,3.762,3.776,64633.86,70296.05,99959.33,0.38
2017-12-22,3.7,3.72,3.68,3.67,35386.0,-0.01,-0.27,3.722,3.79,3.776,56952.04,78098.92,99776.67,0.16
2017-12-21,3.66,3.71,3.68,3.63,66163.64,0.02,0.55,3.748,3.806,3.775,61538.52,86245.26,101994.71,0.3
2017-12-20,3.78,3.82,3.67,3.65,102122.18,-0.13,-3.42,3.778,3.817,3.772,67501.59,86171.64,102593.55,0.47
2017-12-19,3.77,3.81,3.8,3.77,35888.27,0.02,0.53,3.82,3.829,3.774,59706.98,84078.79,103669.33,0.16
2017-12-18,3.81,3.83,3.78,3.76,45200.11,-0.03,-0.79,3.834,3.826,3.767,75958.23,92812.85,106444.49,0.21
2017-12-15,3.82,3.82,3.81,3.78,58318.39,-0.01,-0.26,3.858,3.83,3.759,99245.79,98911.39,109399.69,0.27
2017-12-14,3.89,3.89,3.83,3.8,95979.02,-0.05,-1.29,3.864,3.834,3.747,110952.0,119244.51,114159.29,0.44
2017-12-13,3.88,3.9,3.88,3.86,63149.12,0.01,0.26,3.856,3.828,3.741,104841.69,133281.62,114211.17,0.29
2017-12-12,3.9,3.92,3.87,3.85,117144.53,-0.03,-0.77,3.838,3.809,3.735,108450.6,135923.92,115229.6,0.53
2017-12-11,3.83,3.94,3.9,3.81,161637.89,0.06,1.56,3.818,3.789,3.731,109667.46,129622.61,116280.1,0.74
2017-12-08,3.77,3.87,3.84,3.76,116849.46,0.05,1.32,3.802,3.762,3.729,98576.99,121454.43,120776.77,0.53
2017-12-07,3.77,3.81,3.79,3.75,65427.45,0.01,0.27,3.804,3.744,3.723,127537.01,117744.16,119983.58,0.3
2017-12-06,3.76,3.79,3.79,3.71,81193.69,0.02,0.53,3.8,3.726,3.718,161721.55,119015.45,120246.19,0.37
2017-12-05,3.82,3.84,3.77,3.76,123228.82,-0.04,-1.05,3.78,3.718,3.713,163397.23,123259.88,120618.14,0.56
2017-12-04,3.84,3.85,3.82,3.8,106185.52,-0.03,-0.78,3.76,3.707,3.708,149577.77,120076.13,119516.45,0.48
2017-12-01,3.75,3.87,3.85,3.73,261649.55,0.08,2.12,3.722,3.687,3.699,144331.86,119887.99,118622.38,1.19
2017-11-30,3.69,3.82,3.77,3.66,236350.19,0.08,2.17,3.684,3.66,3.688,107951.32,109074.08,112377.06,1.08
2017-11-29,3.66,3.71,3.69,3.63,89572.07,0.02,0.55,3.652,3.653,3.685,76309.35,95140.72,104512.54,0.41
2017-11-28,3.65,3.68,3.67,3.6,54131.5,0.03,0.82,3.656,3.661,3.689,83122.52,94535.28,103790.0,0.25
2017-11-27,3.66,3.71,3.63,3.61,79956.01,-0.03,-0.82,3.654,3.673,3.694,90574.5,102937.58,105538.92,0.36
2017-11-24,3.6,3.7,3.66,3.58,79746.84,0.05,1.39,3.652,3.695,3.699,95444.11,120099.12,108709.2,0.36
2017-11-23,3.71,3.72,3.61,3.61,78140.31,-0.1,-2.69,3.636,3.702,3.709,110196.84,122222.99,108434.81,0.36
2017-11-22,3.66,3.76,3.71,3.65,123637.94,0.05,1.37,3.654,3.71,3.723,113972.1,121476.92,110071.83,0.56
2017-11-21,3.6,3.69,3.66,3.59,91391.41,0.04,1.1,3.666,3.707,3.731,105948.03,117976.41,107298.57,0.42
2017-11-20,3.58,3.62,3.62,3.49,104304.06,0.04,1.12,3.692,3.708,3.74,115300.66,118956.76,108365.09,0.48
2017-11-17,3.7,3.72,3.58,3.54,153510.5,-0.12,-3.24,3.738,3.71,3.754,144754.13,117356.77,108912.63,0.7
2017-11-16,3.73,3.76,3.7,3.7,97016.6,-0.07,-1.86,3.768,3.715,3.771,134249.13,115680.03,104516.83,0.44
2017-11-15,3.78,3.82,3.77,3.75,83517.6,-0.01,-0.27,3.766,3.716,3.782,128981.74,113884.36,106458.27,0.38
2017-11-14,3.84,3.86,3.79,3.77,138154.53,-0.06,-1.56,3.748,3.716,3.794,130004.78,113044.72,109224.54,0.63
2017-11-13,3.72,3.96,3.85,3.68,251571.41,0.12,3.22,3.724,3.714,3.802,122612.87,108140.27,106322.67,1.15
2017-11-10,3.69,3.74,3.73,3.68,100985.53,0.05,1.36,3.682,3.702,3.809,89959.41,97319.28,101787.18,0.46
2017-11-09,3.68,3.7,3.69,3.66,70679.65,0.01,0.27,3.662,3.716,3.826,97110.93,94646.63,102304.69,0.32
2017-11-08,3.67,3.71,3.68,3.65,88632.8,0.01,0.27,3.666,3.735,3.846,98786.97,98666.74,103972.44,0.4
2017-11-07,3.63,3.68,3.67,3.63,101194.94,0.03,0.82,3.684,3.754,3.868,96084.66,96620.73,106035.06,0.46
2017-11-06,3.63,3.66,3.64,3.61,88304.12,0.01,0.28,3.704,3.772,3.891,93667.67,97773.41,107047.96,0.4
2017-11-03,3.7,3.7,3.63,3.61,136743.16,-0.08,-2.16,3.722,3.797,3.915,104679.16,100468.49,112963.03,0.62
2017-11-02,3.76,3.77,3.71,3.7,79059.83,-0.06,-1.59,3.77,3.827,3.934,92182.33,93353.64,110705.83,0.36
2017-11-01,3.77,3.81,3.77,3.76,75121.23,0.0,0.0,3.804,3.847,3.948,98546.51,99032.18,111877.68,0.34
2017-10-31,3.73,3.77,3.77,3.7,89110.02,0.04,1.07,3.824,3.871,3.961,97156.81,105404.36,110783.04,0.41
2017-10-30,3.86,3.86,3.73,3.71,143361.55,-0.14,-3.62,3.84,3.89,3.973,101879.15,104505.07,111131.59,0.65
2017-10-27,3.88,3.89,3.87,3.86,74259.0,-0.01,-0.26,3.872,3.915,3.988,96257.82,106255.07,108326.52,0.34
2017-10-26,3.87,3.88,3.88,3.84,110880.75,0.01,0.26,3.884,3.935,3.996,94524.94,109962.75,110740.27,0.51
2017-10-25,3.85,3.87,3.87,3.83,68172.75,0.02,0.52,3.89,3.956,4.006,99517.86,109278.13,112977.58,0.31
2017-10-24,3.88,3.9,3.85,3.83,112721.68,-0.04,-1.03,3.918,3.982,4.017,113651.9,115449.38,115211.26,0.51
2017-10-23,3.9,3.92,3.89,3.87,115254.93,-0.04,-1.02,3.94,4.009,4.028,107130.99,116322.52,117079.92,0.53
