date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2018-01-12,4.98,5.04,4.94,4.92,134928.55,-0.06,-1.2,5.078,5.213,5.209,182315.01,194156.27,227405.02,1.79
2018-01-11,4.91,5.04,5.0,4.88,186861.92,0.01,0.2,5.146,5.248,5.218,190461.87,203486.65,237821.67,2.47
2018-01-10,5.23,5.23,4.99,4.99,273329.06,-0.26,-4.95,5.218,5.275,5.216,197768.02,215293.53,237059.14,3.62
2018-01-09,5.24,5.34,5.25,5.19,147178.89,0.04,0.77,5.314,5.31,5.209,191181.41,223086.1,235854.44,1.95
2018-01-08,5.25,5.28,5.21,5.16,169276.61,-0.08,-1.51,5.334,5.295,5.199,206191.64,228283.46,235398.43,2.24
2018-01-05,5.34,5.35,5.28,5.23,175662.89,-0.08,-1.49,5.348,5.291,5.189,205997.54,235108.38,235791.28,2.33
2018-01-04,5.41,5.44,5.36,5.32,223392.67,-0.11,-2.01,5.35,5.294,5.174,216511.43,262324.18,235909.28,2.96
2018-01-03,5.35,5.54,5.47,5.28,240395.98,0.12,2.24,5.332,5.292,5.157,232819.03,263130.29,236390.78,3.18
2018-01-02,5.43,5.55,5.35,5.33,222230.06,0.06,1.13,5.306,5.255,5.129,254990.79,255268.37,240560.06,2.94
2017-12-29,5.29,5.34,5.28,5.21,168306.09,-0.01,-0.19,5.256,5.228,5.121,250375.28,253869.52,244297.95,2.23
2017-12-28,5.24,5.4,5.29,5.23,228232.34,0.03,0.57,5.234,5.205,5.13,264219.22,260653.76,246754.55,3.02
2017-12-27,5.4,5.45,5.27,5.24,304930.66,-0.07,-1.31,5.238,5.188,5.134,308136.93,272156.7,243516.48,4.04
2017-12-26,5.15,5.34,5.34,5.11,351254.81,0.25,4.91,5.252,5.156,5.142,293441.55,258824.75,237222.97,4.65
2017-12-25,5.15,5.3,5.1,5.05,199152.52,-0.08,-1.54,5.204,5.107,5.153,255545.95,248622.77,227371.24,2.64
2017-12-22,5.24,5.28,5.17,5.16,237525.77,-0.14,-2.64,5.2,5.102,5.172,257363.76,242513.39,230909.49,3.15
2017-12-21,5.46,5.57,5.31,5.31,447820.88,-0.03,-0.56,5.176,5.087,5.185,257088.3,236474.18,228412.31,5.93
2017-12-20,5.08,5.34,5.34,5.08,231453.75,0.25,4.91,5.138,5.054,5.194,236176.46,209494.38,215335.65,3.07
2017-12-19,5.05,5.18,5.1,5.03,161776.81,0.02,0.39,5.06,5.021,5.213,224207.96,209651.28,212303.29,2.14
2017-12-18,5.01,5.21,5.08,4.98,208241.61,0.03,0.59,5.01,5.003,5.25,241699.59,225851.75,214451.12,2.76
2017-12-15,5.14,5.18,5.05,5.03,236148.45,-0.08,-1.56,5.004,5.013,5.29,227663.02,234726.37,217121.73,3.13
2017-12-14,4.93,5.2,5.12,4.93,343261.69,0.17,3.43,4.998,5.054,5.337,215860.05,232855.35,235647.39,4.55
2017-12-13,4.86,4.97,4.95,4.86,171611.22,0.1,2.06,4.97,5.08,5.389,182812.3,214876.26,228806.7,2.27
2017-12-12,5.03,5.04,4.85,4.84,249235.0,-0.2,-3.96,4.982,5.127,5.434,195094.6,215621.18,227691.12,3.3
2017-12-11,5.03,5.08,5.05,5.01,138058.75,0.04,0.8,4.996,5.198,5.471,210003.9,206119.7,227863.3,1.83
2017-12-08,4.97,5.05,5.02,4.96,177133.61,0.04,0.8,5.022,5.241,5.504,241789.72,219305.6,238981.27,2.35
2017-12-07,4.98,5.08,4.98,4.95,178022.91,-0.03,-0.6,5.11,5.283,5.553,249850.64,220350.44,241488.55,2.36
