date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2018-01-12,8.18,8.2,8.09,8.07,62881.69,-0.2,-2.41,8.068,8.018,7.972,54728.97,45719.97,35796.31,0.94
2018-01-11,7.95,8.44,8.29,7.87,122768.66,0.36,4.54,8.068,7.981,7.974,49349.42,41519.06,34485.18,1.83
2018-01-10,8.0,8.0,7.93,7.88,32854.83,-0.08,-1.0,7.998,7.918,7.976,32166.08,31750.01,30185.7,0.49
2018-01-09,8.01,8.04,8.01,7.95,25451.3,-0.01,-0.12,8.026,7.897,7.988,34173.07,31719.87,29826.85,0.38
2018-01-08,8.07,8.07,8.02,7.95,29688.36,-0.07,-0.86,7.996,7.875,8.001,35653.93,32092.78,30025.66,0.44
2018-01-05,7.96,8.1,8.09,7.93,35983.94,0.14,1.76,7.968,7.869,8.012,36710.97,30723.75,29964.62,0.54
2018-01-04,8.02,8.06,7.94,7.92,36851.99,-0.12,-1.49,7.894,7.863,8.013,33688.7,30664.41,30099.79,0.55
2018-01-03,7.84,8.1,8.07,7.84,42889.74,0.22,2.8,7.838,7.876,8.013,31333.94,30040.17,29656.46,0.64
2018-01-02,7.89,7.98,7.86,7.85,32855.62,-0.02,-0.25,7.768,7.882,8.0,29266.68,27672.08,30961.18,0.49
2017-12-29,7.72,7.91,7.88,7.69,34973.56,0.16,2.07,7.754,7.903,8.025,28531.64,26608.71,31021.2,0.52
2017-12-28,7.65,7.73,7.72,7.62,20872.61,0.06,0.78,7.77,7.926,8.059,24736.53,25872.66,31406.92,0.31
2017-12-27,7.75,7.76,7.66,7.65,25078.18,-0.06,-0.78,7.832,7.967,8.089,27640.12,27451.31,31805.09,0.37
2017-12-26,7.75,7.8,7.72,7.7,32553.43,-0.07,-0.9,7.914,8.033,8.127,28746.4,28621.39,32352.34,0.48
2017-12-25,7.96,7.97,7.79,7.75,29180.42,-0.17,-2.14,7.996,8.078,8.167,26077.47,27933.83,32032.14,0.43
2017-12-22,8.05,8.09,7.96,7.95,15998.02,-0.07,-0.87,8.052,8.127,8.197,24685.79,27958.53,32050.01,0.24
2017-12-21,8.05,8.1,8.03,7.9,35390.53,-0.03,-0.37,8.082,8.155,8.226,27008.78,29205.49,32932.88,0.53
2017-12-20,8.13,8.18,8.07,7.9,30609.62,-0.06,-0.74,8.102,8.163,8.246,27262.5,29535.18,33586.17,0.46
2017-12-19,8.06,8.14,8.13,8.06,19208.76,0.07,0.87,8.152,8.15,8.273,28496.37,29272.75,35395.34,0.29
2017-12-18,8.07,8.13,8.07,8.03,22222.0,-0.03,-0.37,8.16,8.117,8.305,29790.18,34250.28,36538.75,0.33
2017-12-15,8.15,8.17,8.11,8.02,27612.99,-0.02,-0.25,8.202,8.146,8.346,31231.27,35433.7,38302.23,0.41
2017-12-14,8.28,8.29,8.13,8.07,36659.11,-0.2,-2.4,8.228,8.191,8.392,31402.21,36941.18,41866.88,0.55
2017-12-13,8.17,8.34,8.32,8.05,36778.97,0.15,1.84,8.224,8.21,8.468,31807.86,36158.87,42472.28,0.55
2017-12-12,8.29,8.32,8.17,8.15,25677.85,-0.11,-1.33,8.148,8.221,8.532,30049.14,36083.3,44411.27,0.38
2017-12-11,8.24,8.36,8.28,8.17,29427.43,0.03,0.36,8.074,8.255,8.602,38710.38,36130.46,45039.73,0.44
2017-12-08,8.11,8.3,8.24,8.1,28467.68,0.13,1.6,8.09,8.267,8.665,39636.12,36141.5,45572.72,0.42
2017-12-07,7.96,8.19,8.11,7.9,38687.35,0.17,2.14,8.154,8.296,8.735,42480.15,36660.27,47348.26,0.58
2017-12-06,7.85,7.95,7.94,7.75,27985.41,0.13,1.67,8.196,8.328,8.813,40509.88,37637.17,47108.62,0.42
2017-12-05,8.3,8.43,7.8,7.72,68984.01,-0.55,-6.59,8.294,8.396,8.904,42117.46,41517.92,47505.48,1.03
2017-12-04,8.54,8.58,8.36,8.33,34056.17,-0.19,-2.22,8.436,8.493,9.0,33550.53,38827.21,45875.29,0.51
2017-12-01,8.33,8.6,8.56,8.31,42687.82,0.23,2.76,8.444,8.545,9.064,32646.88,41170.77,45909.86,0.64
2017-11-30,8.42,8.45,8.32,8.29,28836.0,-0.11,-1.3,8.438,8.592,9.111,30840.39,46792.59,46640.59,0.43
2017-11-29,8.51,8.51,8.43,8.32,36023.29,-0.08,-0.94,8.46,8.725,9.175,34764.46,48785.69,47933.22,0.54
2017-11-28,8.36,8.51,8.51,8.3,26149.39,0.12,1.43,8.498,8.843,9.243,40918.38,52739.24,50170.65,0.39
2017-11-27,8.54,8.54,8.4,8.3,29537.89,-0.13,-1.52,8.55,8.949,9.32,44103.89,53949.0,50630.38,0.44
2017-11-24,8.35,8.54,8.53,8.35,33655.39,0.11,1.31,8.646,9.063,9.401,49694.66,55003.93,53461.42,0.5
2017-11-23,8.61,8.73,8.43,8.4,48456.33,-0.18,-2.09,8.746,9.173,9.491,62744.78,58036.25,56133.11,0.72
2017-11-22,8.79,8.8,8.62,8.49,66792.91,-0.14,-1.6,8.99,9.298,9.575,62806.92,56580.06,56373.56,0.99
2017-11-21,8.8,8.9,8.77,8.69,42076.92,-0.1,-1.13,9.188,9.411,9.651,64560.1,53493.03,55953.29,0.63
2017-11-20,8.98,8.98,8.88,8.6,57491.74,-0.15,-1.66,9.348,9.507,9.717,63794.12,52923.37,61293.23,0.86
2017-11-17,9.68,9.69,9.03,9.0,98906.0,-0.62,-6.42,9.48,9.583,9.817,60313.2,50648.96,60070.21,1.47
2017-11-16,9.61,9.71,9.65,9.5,48767.02,0.04,0.42,9.6,9.63,9.901,53327.73,46488.59,56947.5,0.73
2017-11-15,9.56,9.76,9.61,9.5,75558.8,0.05,0.52,9.606,9.625,9.949,50353.21,47080.76,57838.3,1.12
2017-11-14,9.55,9.65,9.57,9.4,38247.03,0.03,0.31,9.634,9.643,10.018,42425.97,47602.06,57293.9,0.57
2017-11-13,9.6,9.63,9.54,9.39,40087.17,-0.09,-0.94,9.666,9.69,10.103,42052.61,47311.75,57685.65,0.6
2017-11-10,9.68,9.73,9.63,9.5,63978.62,-0.06,-0.62,9.686,9.738,10.188,40984.72,51918.91,59699.52,0.95
2017-11-09,9.79,9.79,9.68,9.63,33894.43,-0.07,-0.72,9.66,9.809,10.293,39649.44,54229.98,59473.89,0.5
2017-11-08,9.72,9.83,9.75,9.64,35922.58,0.02,0.21,9.644,9.852,10.395,43808.3,56167.06,62263.69,0.53
2017-11-07,9.63,9.74,9.73,9.61,36380.27,0.09,0.93,9.652,9.89,10.498,52778.16,58413.56,63712.2,0.54
2017-11-06,9.46,9.68,9.64,9.45,34747.68,0.14,1.47,9.714,9.926,10.609,52570.88,69663.09,66723.88,0.52
2017-11-03,9.55,9.66,9.5,9.44,57302.26,-0.1,-1.04,9.79,10.05,10.735,62853.1,69491.46,72268.16,0.85
2017-11-02,9.77,9.79,9.6,9.55,54688.73,-0.19,-1.94,9.958,10.171,10.866,68810.51,67406.42,77839.11,0.81
2017-11-01,10.06,10.06,9.79,9.76,80771.87,-0.25,-2.49,10.06,10.273,10.973,68525.82,68595.85,80991.73,1.2
2017-10-31,9.98,10.07,10.04,9.95,35343.88,0.02,0.2,10.128,10.392,11.064,64048.95,66985.74,82472.03,0.53
2017-10-30,10.35,10.4,10.02,9.88,86158.75,-0.32,-3.1,10.138,10.516,11.152,86755.3,68059.56,86234.59,1.28
2017-10-27,10.15,10.52,10.34,10.11,87089.3,0.23,2.27,10.31,10.638,11.217,76129.81,67480.14,87854.05,1.3
2017-10-26,10.12,10.21,10.11,10.04,53265.31,-0.02,-0.2,10.384,10.776,11.275,66002.33,64717.81,88545.89,0.79
2017-10-25,10.03,10.15,10.13,9.91,58387.5,0.04,0.4,10.486,10.938,11.348,68665.87,68360.32,92745.33,0.87
2017-10-24,10.63,10.65,10.09,10.05,148875.66,-0.79,-7.26,10.656,11.105,11.437,69922.54,69010.85,102977.26,2.22
2017-10-23,10.79,10.9,10.88,10.68,33031.29,0.17,1.59,10.894,11.292,11.505,49363.81,63784.67,104252.23,0.49
2017-10-20,10.55,10.74,10.71,10.46,36451.91,0.09,0.85,10.966,11.42,11.525,58830.47,75044.86,110242.92,0.54
2017-10-19,10.95,11.05,10.62,10.56,66583.01,-0.36,-3.28,11.168,11.561,11.545,63433.28,88271.8,112733.54,0.99
2017-10-18,11.33,11.36,10.98,10.87,64670.83,-0.3,-2.66,11.39,11.672,11.551,68054.77,93387.61,112829.97,0.96
2017-10-17,11.26,11.39,11.28,11.13,46082.0,0.04,0.36,11.554,11.736,11.546,68099.15,97958.33,112866.78,0.69
2017-10-16,11.73,11.78,11.24,11.23,80364.58,-0.48,-4.1,11.69,11.787,11.532,78205.54,104409.62,117056.95,1.2
2017-10-13,11.77,11.81,11.72,11.58,59466.0,-0.01,-0.09,11.874,11.795,11.509,91259.26,108227.97,117040.88,0.89
2017-10-12,11.81,11.99,11.73,11.55,89690.42,-0.07,-0.59,11.954,11.773,11.462,113110.32,112373.98,119022.98,1.33
2017-10-11,11.91,12.06,11.8,11.75,64892.76,-0.16,-1.34,11.954,11.757,11.409,118720.45,117130.34,119039.08,0.97
2017-10-10,12.1,12.12,11.96,11.81,96613.94,-0.2,-1.65,11.918,11.768,11.346,127817.5,136943.68,118399.21,1.44
2017-10-09,12.27,12.54,12.16,11.97,145633.19,0.04,0.33,11.884,11.717,11.278,130613.71,144719.78,116663.17,2.17
2017-09-29,11.71,12.22,12.12,11.63,168721.28,0.39,3.33,11.716,11.63,11.203,125196.67,145440.98,113517.78,2.51
2017-09-28,11.57,11.91,11.73,11.56,117741.09,0.11,0.95,11.592,11.528,11.122,111637.63,137195.28,107139.21,1.75
2017-09-27,11.74,11.87,11.62,11.56,110377.99,-0.17,-1.44,11.56,11.429,11.058,115540.22,132272.32,103199.82,1.64
2017-09-26,11.23,11.81,11.79,11.05,110594.98,0.47,4.15,11.618,11.355,11.004,146069.86,127775.23,99510.17,1.65
2017-09-25,11.47,11.86,11.32,11.3,118548.0,-0.18,-1.56,11.55,11.276,10.94,158825.85,129704.28,97091.54,1.76
2017-09-22,11.5,11.56,11.5,11.25,100926.11,-0.07,-0.6,11.544,11.223,10.912,165685.29,125853.8,94248.61,1.5
2017-09-21,11.85,11.88,11.57,11.55,137254.03,-0.34,-2.85,11.464,11.151,10.873,162752.93,125671.98,91701.96,2.04
2017-09-20,11.38,11.95,11.91,11.35,263026.16,0.46,4.02,11.298,11.061,10.825,149004.42,120947.82,87261.55,3.92
2017-09-19,11.28,11.58,11.45,11.22,174374.97,0.16,1.42,11.092,10.923,10.755,109480.6,99854.75,77024.91,2.6
2017-09-18,11.01,11.32,11.29,10.95,152845.2,0.19,1.71,11.002,10.838,10.715,100582.71,88606.56,72582.66,2.28
2017-09-15,10.75,11.15,11.1,10.62,86264.27,0.36,3.35,10.902,10.775,10.69,86022.31,81594.58,71086.0,1.28
2017-09-14,10.85,10.95,10.74,10.67,68511.51,-0.14,-1.29,10.838,10.716,10.681,88591.04,77083.14,73260.99,1.02
2017-09-13,10.99,10.99,10.88,10.84,65407.04,-0.12,-1.09,10.824,10.687,10.675,92891.21,74127.31,75316.16,0.97
2017-09-12,10.75,11.0,11.0,10.75,129885.53,0.21,1.95,10.754,10.653,10.652,90228.89,71245.11,74684.27,1.93
2017-09-11,10.79,10.87,10.79,10.62,80043.18,0.01,0.09,10.674,10.603,10.615,76630.41,64478.8,69804.7,1.19
2017-09-08,10.68,10.81,10.78,10.52,99107.94,0.11,1.03,10.648,10.6,10.588,77166.86,62643.42,67625.59,1.48
2017-09-07,10.53,10.85,10.67,10.46,90012.36,0.14,1.33,10.594,10.595,10.555,65575.23,57731.93,64970.57,1.34
2017-09-06,10.58,10.62,10.53,10.47,52095.45,-0.07,-0.66,10.55,10.588,10.541,55363.41,53575.29,64004.11,0.78
2017-09-05,10.66,10.69,10.6,10.48,61893.1,-0.06,-0.56,10.552,10.587,10.541,52261.32,54195.07,66351.09,0.92
2017-09-04,10.47,10.68,10.66,10.37,82725.46,0.15,1.43,10.532,10.591,10.526,52327.2,56558.76,65389.53,1.23
2017-09-01,10.42,10.53,10.51,10.39,41149.8,0.06,0.57,10.552,10.605,10.506,48119.98,60577.41,63182.55,0.61
2017-08-31,10.52,10.55,10.45,10.36,38953.25,-0.09,-0.85,10.596,10.645,10.496,49888.62,69438.85,66137.66,0.58
2017-08-30,10.51,10.61,10.54,10.48,36585.0,0.04,0.38,10.626,10.663,10.477,51787.17,76505.02,65809.93,0.54
