date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2018-01-12,7.68,7.71,7.63,7.59,175015.92,-0.11,-1.42,7.496,7.426,7.511,149008.35,122369.79,141901.08,1.83
2018-01-11,7.26,7.79,7.74,7.25,307950.81,0.44,6.03,7.454,7.382,7.519,131086.35,113844.14,140701.79,3.22
2018-01-10,7.4,7.45,7.31,7.24,83840.31,-0.14,-1.88,7.386,7.321,7.523,86531.86,93919.1,134225.5,0.88
2018-01-09,7.35,7.46,7.45,7.27,85726.14,0.1,1.36,7.414,7.325,7.542,100432.61,100987.43,137269.3,0.9
2018-01-08,7.38,7.44,7.35,7.25,92508.56,-0.07,-0.94,7.382,7.328,7.552,99395.47,107072.31,141078.64,0.97
2018-01-05,7.39,7.48,7.42,7.35,85405.95,0.02,0.27,7.356,7.379,7.564,95731.24,110809.93,147590.23,0.89
2018-01-04,7.43,7.44,7.4,7.35,85178.32,-0.05,-0.67,7.31,7.431,7.562,96601.93,126493.41,152351.86,0.89
2018-01-03,7.28,7.56,7.45,7.26,153344.06,0.16,2.19,7.256,7.468,7.559,101306.35,131853.71,154828.36,1.6
2018-01-02,7.21,7.33,7.29,7.19,80540.45,0.06,0.83,7.236,7.512,7.539,101542.26,135212.04,154896.21,0.84
2017-12-29,7.14,7.29,7.22,7.12,74187.42,0.04,0.56,7.274,7.563,7.54,114749.15,152540.67,157226.46,0.78
2017-12-28,7.14,7.28,7.19,7.1,89759.4,0.06,0.84,7.402,7.595,7.551,125888.62,161432.36,162251.05,0.94
2017-12-27,7.32,7.36,7.13,7.11,108700.42,-0.22,-2.99,7.552,7.655,7.551,156384.9,167559.45,163133.97,1.14
2017-12-26,7.4,7.45,7.35,7.18,154523.62,-0.15,-2.0,7.68,7.725,7.558,162401.07,174531.9,164462.98,1.62
2017-12-25,7.83,7.88,7.48,7.48,146574.91,-0.37,-4.71,7.788,7.758,7.563,168881.82,173551.17,164413.47,1.53
2017-12-22,7.9,7.93,7.86,7.78,129884.75,-0.07,-0.88,7.852,7.775,7.554,190332.19,175084.98,173846.53,1.36
2017-12-21,7.74,8.02,7.94,7.58,242240.78,0.17,2.19,7.788,7.749,7.567,196976.1,184370.53,184479.89,2.53
2017-12-20,7.84,7.84,7.77,7.67,138781.28,-0.12,-1.52,7.758,7.693,7.56,178734.0,178210.31,183907.06,1.45
2017-12-19,7.81,7.9,7.89,7.71,186927.39,0.09,1.15,7.77,7.649,7.578,186662.72,177803.01,188502.17,1.96
2017-12-18,7.54,8.03,7.8,7.47,253826.77,0.25,3.31,7.728,7.565,7.597,178220.53,174580.38,197366.19,2.66
2017-12-15,7.78,7.8,7.54,7.42,163104.27,-0.25,-3.21,7.698,7.516,7.619,159837.76,161912.25,199792.4,1.71
2017-12-14,7.76,7.87,7.79,7.63,151030.27,-0.04,-0.51,7.71,7.506,7.631,171764.97,163069.74,209470.21,1.58
2017-12-13,7.61,7.84,7.83,7.58,178424.91,0.15,1.95,7.628,7.446,7.642,177686.63,158708.5,220606.06,1.87
2017-12-12,7.61,7.69,7.68,7.52,144716.41,0.03,0.39,7.528,7.391,7.663,168943.29,154394.07,230266.14,1.51
2017-12-11,7.56,7.73,7.65,7.51,161912.94,0.05,0.66,7.402,7.368,7.654,170940.23,155275.76,228494.35,1.69
2017-12-08,7.31,7.79,7.6,7.31,222740.31,0.21,2.84,7.334,7.333,7.658,163986.74,172608.07,228049.69,2.33
2017-12-07,7.25,7.54,7.38,7.25,180638.56,0.05,0.68,7.302,7.384,7.664,154374.52,184589.26,227026.65,1.89
2017-12-06,6.99,7.36,7.33,6.95,134708.22,0.29,4.12,7.264,7.427,7.67,139730.36,189603.82,221996.0,1.41
2017-12-05,7.25,7.41,7.05,6.85,154701.12,-0.26,-3.56,7.254,7.507,7.676,139844.84,199201.33,220360.98,1.62
2017-12-04,7.37,7.52,7.31,7.25,127145.5,-0.13,-1.75,7.334,7.629,7.699,139611.28,220152.0,218594.1,1.33
2017-12-01,7.15,7.55,7.44,7.1,174679.19,0.26,3.62,7.332,7.721,7.707,181229.41,237672.55,220154.51,1.83
2017-11-30,7.28,7.38,7.19,7.15,107417.79,-0.1,-1.37,7.466,7.755,7.695,214803.99,255870.68,215596.09,1.12
2017-11-29,7.43,7.45,7.28,7.13,135280.62,-0.17,-2.28,7.59,7.838,7.691,239477.27,282503.63,214280.18,1.42
2017-11-28,7.13,7.48,7.45,7.08,153533.31,0.15,2.06,7.76,7.935,7.689,258557.82,306138.22,211720.61,1.61
2017-11-27,8.04,8.06,7.3,7.3,335236.12,-0.81,-9.99,7.924,7.94,7.674,300692.72,301712.95,208455.89,3.51
2017-11-24,7.86,8.48,8.11,7.83,342552.12,0.3,3.84,8.11,7.982,7.664,294115.69,283491.31,197718.94,3.58
2017-11-23,8.01,8.28,7.81,7.72,230784.19,-0.31,-3.82,8.044,7.943,7.628,296937.37,269464.04,185493.39,2.41
2017-11-22,8.16,8.26,8.13,7.92,230683.38,-0.11,-1.33,8.086,7.912,7.615,325529.98,254388.19,182696.51,2.41
2017-11-21,8.11,8.47,8.27,8.01,364207.81,0.06,0.73,8.11,7.845,7.58,353718.61,241520.62,174513.39,3.81
2017-11-20,7.84,8.25,8.23,7.76,302350.94,0.48,6.19,7.956,7.769,7.536,302733.17,217036.19,162969.21,3.16
2017-11-17,8.0,8.3,7.78,7.56,356660.53,-0.26,-3.23,7.854,7.693,7.502,272866.93,202636.47,152588.02,3.73
2017-11-16,8.38,8.42,8.02,8.01,373747.25,-0.23,-2.79,7.842,7.635,7.492,241990.71,175321.51,139788.38,3.91
2017-11-15,7.49,8.25,8.25,7.45,371626.5,0.75,10.0,7.738,7.544,7.467,183246.39,146056.74,129164.36,3.89
2017-11-14,7.71,7.71,7.5,7.45,109280.64,-0.21,-2.72,7.58,7.442,7.44,129322.63,117303.0,117007.08,1.14
2017-11-13,7.67,7.83,7.72,7.62,153019.73,0.01,0.13,7.582,7.408,7.456,131339.2,115198.82,117663.31,1.6
2017-11-10,7.5,7.8,7.72,7.39,202279.45,0.23,3.07,7.532,7.345,7.46,132406.01,111946.58,121787.29,2.12
2017-11-09,7.44,7.52,7.5,7.36,80025.64,0.04,0.54,7.428,7.312,7.486,108652.3,101522.73,125454.11,0.84
2017-11-08,7.46,7.58,7.46,7.42,102007.68,-0.05,-0.67,7.35,7.317,7.538,108867.08,111004.83,142737.75,1.07
2017-11-07,7.39,7.53,7.51,7.32,119363.51,0.04,0.54,7.304,7.314,7.579,105283.36,107506.17,154894.11,1.25
2017-11-06,7.2,7.54,7.47,7.17,158353.77,0.27,3.75,7.234,7.302,7.631,99058.44,108902.24,168528.37,1.66
2017-11-03,7.1,7.21,7.2,7.03,83510.91,0.09,1.27,7.158,7.31,7.699,91487.14,102539.56,193723.29,0.87
2017-11-02,7.2,7.2,7.11,7.02,81099.52,-0.12,-1.66,7.196,7.349,7.74,94393.16,104255.25,211320.27,0.85
2017-11-01,7.22,7.32,7.23,7.18,84089.11,0.07,0.98,7.284,7.389,7.761,113142.57,112271.99,220599.78,0.88
2017-10-31,7.11,7.16,7.16,7.03,88238.9,0.07,0.99,7.324,7.437,7.781,109728.98,116711.16,231680.85,0.92
2017-10-30,7.37,7.44,7.09,7.02,120497.26,-0.3,-4.06,7.37,7.503,7.786,118746.04,120127.79,231808.06,1.26
2017-10-27,7.52,7.63,7.39,7.36,98041.0,-0.16,-2.12,7.462,7.575,7.793,113591.99,131628.0,235572.97,1.03
2017-10-26,7.43,7.68,7.55,7.4,174846.59,0.12,1.61,7.502,7.66,7.798,114117.34,149385.49,246306.15,1.83
2017-10-25,7.37,7.46,7.43,7.33,67021.13,0.04,0.54,7.494,7.758,7.777,111401.4,174470.68,242646.2,0.7
2017-10-24,7.57,7.58,7.39,7.24,133324.2,-0.16,-2.12,7.55,7.843,7.767,123693.35,202282.05,246818.1,1.39
2017-10-23,7.59,7.6,7.55,7.48,94727.01,-0.04,-0.53,7.636,7.96,7.751,121509.55,228154.49,245310.42,0.99
2017-10-20,7.52,7.6,7.59,7.45,100667.77,0.08,1.06,7.688,8.087,7.721,149664.0,284907.02,242483.04,1.05
2017-10-19,7.75,7.76,7.51,7.4,161266.88,-0.2,-2.59,7.818,8.13,7.687,184653.64,318385.29,239373.81,1.69
2017-10-18,7.82,7.93,7.71,7.66,128480.88,-0.11,-1.41,8.022,8.132,7.659,237539.97,328927.57,233479.6,1.34
2017-10-17,7.88,7.98,7.82,7.8,122405.22,0.01,0.13,8.136,8.124,7.62,280870.75,346650.53,228827.71,1.28
2017-10-16,8.13,8.19,7.81,7.7,235499.27,-0.43,-5.22,8.284,8.068,7.572,334799.43,343488.33,226111.18,2.46
2017-10-13,8.4,8.47,8.24,8.06,275615.97,-0.29,-3.4,8.486,8.011,7.529,420150.03,339517.95,216107.39,2.88
2017-10-12,8.26,8.76,8.53,8.16,425698.5,0.25,3.02,8.442,7.935,7.462,452116.94,343226.8,205227.58,4.45
2017-10-11,8.45,8.48,8.28,8.1,345134.81,-0.28,-3.27,8.242,7.796,7.382,420315.17,310821.72,188113.21,3.61
2017-10-10,8.64,8.77,8.56,8.45,392048.62,-0.26,-2.95,8.112,7.69,7.322,412430.31,291354.15,175218.04,4.1
2017-10-09,8.17,8.82,8.82,8.03,662252.25,0.8,9.97,7.852,7.541,7.244,352177.22,262466.34,158440.45,6.93
2017-09-29,7.5,8.2,8.02,7.41,435450.53,0.49,6.51,7.536,7.354,7.155,258885.88,200059.06,128868.75,4.55
2017-09-28,7.56,7.78,7.53,7.5,266689.62,-0.1,-1.31,7.428,7.244,7.106,234336.66,160362.33,110479.03,2.79
2017-09-27,7.24,7.85,7.63,7.16,305710.53,0.37,5.1,7.35,7.186,7.079,201328.26,138031.63,99710.08,3.2
2017-09-26,7.15,7.28,7.26,7.13,90783.18,0.02,0.28,7.268,7.115,7.05,170277.99,111004.89,88935.2,0.95
2017-09-25,7.45,7.57,7.24,7.09,195795.52,-0.24,-3.21,7.23,7.076,7.034,172755.47,108734.03,88057.13,2.05
2017-09-22,7.13,7.65,7.48,7.02,312704.44,0.34,4.76,7.172,7.046,7.023,141232.24,92696.83,83129.26,3.27
