date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2018-01-12,13.5,13.56,13.03,12.98,469969.72,-0.7,-5.1,12.878,12.442,12.26,449093.03,282787.15,202099.17,5.6
2018-01-11,13.17,14.25,13.73,12.82,805539.56,0.56,4.25,12.682,12.293,12.24,380490.55,245603.91,188835.87,9.59
2018-01-10,12.13,13.3,13.18,12.13,623823.75,1.05,8.66,12.356,12.065,12.16,239517.36,177249.86,153651.78,7.43
2018-01-09,12.22,12.31,12.13,12.04,131008.21,-0.19,-1.54,12.156,11.919,12.101,146889.39,122885.59,127778.96,1.56
2018-01-08,11.96,12.55,12.32,11.7,215123.91,0.28,2.33,12.106,11.87,12.1,139702.41,124252.48,127696.45,2.56
2018-01-05,12.16,12.38,12.05,12.03,126957.3,-0.04,-0.33,12.006,11.851,12.072,116481.26,112991.22,129467.58,1.51
2018-01-04,12.06,12.18,12.1,12.01,100673.64,-0.07,-0.57,11.904,11.875,12.099,110717.28,114671.16,129601.32,1.2
2018-01-03,11.81,12.26,12.18,11.81,160683.91,0.31,2.61,11.774,11.915,12.132,114982.35,116436.22,133047.12,1.91
2018-01-02,11.83,11.93,11.88,11.75,95073.27,0.06,0.51,11.682,11.957,12.146,98881.79,112327.21,130054.33,1.13
2017-12-29,11.54,11.84,11.82,11.53,99018.18,0.28,2.43,11.634,12.017,12.183,108802.55,117811.59,132024.48,1.18
2017-12-28,11.4,11.67,11.54,11.36,98137.38,0.09,0.79,11.696,12.078,12.23,109501.17,121411.19,134634.05,1.17
2017-12-27,11.7,11.7,11.45,11.43,121999.03,-0.27,-2.3,11.846,12.187,12.27,118625.03,132067.83,135584.1,1.47
2017-12-26,11.6,11.77,11.72,11.56,80181.08,0.07,0.6,12.056,12.254,12.315,117890.09,130053.7,138046.61,0.97
2017-12-25,12.02,12.02,11.64,11.55,144677.09,-0.48,-3.96,12.232,12.282,12.364,125772.63,132672.34,146089.96,1.74
2017-12-22,12.22,12.27,12.13,12.04,102511.27,-0.15,-1.22,12.4,12.33,12.448,126820.62,131140.43,149011.92,1.23
2017-12-21,12.37,12.49,12.29,12.01,143756.7,-0.19,-1.52,12.46,12.293,12.51,133321.2,145943.94,153374.43,1.73
2017-12-20,12.73,12.76,12.5,12.41,118324.31,-0.1,-0.79,12.528,12.322,12.566,145510.63,144531.48,155340.62,1.42
2017-12-19,12.38,12.73,12.6,12.38,119593.79,0.14,1.12,12.452,12.348,12.605,142217.31,149658.03,168533.22,1.44
2017-12-18,12.51,12.74,12.48,12.31,149917.02,0.05,0.4,12.332,12.334,12.684,139572.04,147781.45,176470.18,1.8
2017-12-12,12.52,12.71,12.43,12.38,135014.2,-0.19,-1.51,12.26,12.349,12.761,135460.24,146237.38,181592.77,1.63
2017-12-11,12.61,12.79,12.63,12.44,204703.83,0.51,4.21,12.126,12.381,12.869,158566.67,147856.92,192190.28,2.46
2017-12-08,12.02,12.19,12.12,11.94,101857.72,0.12,1.0,12.116,12.352,12.968,143552.32,139100.38,204312.44,1.23
2017-12-07,12.09,12.18,12.0,11.97,106367.44,-0.11,-0.91,12.244,12.376,13.065,157098.74,146039.52,213279.58,1.28
2017-12-06,11.78,12.13,12.12,11.7,129358.02,0.37,3.15,12.336,12.445,13.162,155990.85,159507.59,217178.31,1.56
2017-12-05,12.5,12.5,11.76,11.42,250546.36,-0.81,-6.44,12.438,12.566,13.251,157014.51,166883.42,222876.86,3.02
2017-12-04,12.73,12.83,12.58,12.51,129632.07,-0.17,-1.33,12.636,12.726,13.36,137147.16,160804.91,223635.12,1.56
2017-12-01,12.45,12.79,12.76,12.41,169589.81,0.3,2.41,12.588,12.809,13.413,134648.43,166149.77,225481.45,2.04
2017-11-30,12.58,12.71,12.46,12.45,100828.01,-0.18,-1.42,12.508,12.861,13.441,134980.3,187408.42,225593.72,1.21
2017-11-29,12.75,12.77,12.63,12.39,134476.3,-0.12,-0.94,12.554,13.033,13.494,163024.33,205158.92,231777.07,1.62
2017-11-28,12.36,12.76,12.75,12.36,151209.59,0.42,3.41,12.694,13.173,13.538,176752.33,216948.16,235609.95,1.82
2017-11-27,12.32,12.57,12.34,12.3,117138.45,-0.02,-0.16,12.816,13.357,13.58,184462.67,236523.64,241944.17,1.41
2017-11-24,12.61,12.79,12.36,12.34,171249.14,-0.33,-2.6,13.03,13.583,13.632,197651.1,269524.5,257017.72,2.06
2017-11-23,13.21,13.24,12.69,12.63,241048.17,-0.63,-4.73,13.214,13.753,13.734,239836.53,280519.64,257208.07,2.9
2017-11-22,13.3,13.64,13.33,13.22,203116.28,-0.02,-0.15,13.512,13.879,13.833,247293.51,274849.02,253341.05,2.44
2017-11-21,13.28,13.6,13.36,13.12,189761.3,-0.05,-0.37,13.652,13.936,13.896,257144.0,278870.31,252662.53,2.28
2017-11-20,13.11,13.42,13.41,12.8,183080.61,0.15,1.13,13.898,13.994,13.946,288584.62,286465.33,251621.97,2.2
2017-11-17,14.0,14.07,13.28,13.0,382176.31,-0.89,-6.28,14.136,14.016,14.0,341397.91,284813.14,251178.62,4.6
2017-11-16,13.95,14.6,14.18,13.95,278333.06,0.17,1.21,14.292,14.02,14.056,321202.74,263779.03,241840.38,3.35
2017-11-15,14.48,14.68,14.03,14.0,252368.7,-0.56,-3.84,14.246,13.955,14.056,302404.53,258395.22,243883.44,3.04
2017-11-14,14.52,14.76,14.59,14.24,346964.41,0.0,0.0,14.22,13.902,14.088,300596.62,254271.74,247279.34,4.18
2017-11-13,14.06,14.64,14.6,13.91,447147.06,0.54,3.84,14.09,13.802,14.123,284346.04,247364.7,239812.55,5.38
2017-11-10,13.93,14.2,14.06,13.73,281200.47,0.12,0.86,13.896,13.68,14.158,228228.37,244510.94,242121.71,3.38
2017-11-09,13.99,14.05,13.95,13.75,184342.03,0.05,0.36,13.748,13.714,14.251,206355.31,233896.5,257278.64,2.22
2017-11-08,13.86,14.18,13.9,13.79,243329.12,-0.04,-0.29,13.664,13.787,14.371,214385.9,231833.07,307961.61,2.93
2017-11-07,13.61,14.0,13.94,13.57,265711.53,0.31,2.27,13.584,13.856,14.509,207946.87,226454.76,336167.83,3.2
2017-11-06,13.33,13.64,13.63,13.23,166558.7,0.31,2.33,13.514,13.897,14.623,210383.36,216778.61,345638.09,2.0
2017-11-03,13.41,13.6,13.32,13.16,171835.17,-0.21,-1.55,13.464,13.983,14.747,260793.5,217544.09,362097.62,2.07
2017-11-02,13.4,13.8,13.53,13.24,224495.0,0.03,0.22,13.68,14.092,14.851,261437.68,219901.74,365507.22,2.7
2017-11-01,13.51,13.77,13.5,13.41,211133.95,-0.09,-0.66,13.91,14.156,14.949,249280.24,229371.67,372126.34,2.54
2017-10-31,13.38,13.66,13.59,13.0,277894.0,0.21,1.57,14.128,14.273,15.031,244962.65,240286.94,372283.65,3.35
2017-10-30,14.2,14.34,13.38,13.0,418609.38,-1.02,-7.08,14.28,14.444,15.115,223173.85,232260.39,368955.07,5.04
