date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2018-01-12,11.53,11.53,11.31,11.28,52993.37,-0.24,-2.08,11.238,11.135,11.184,58473.24,50600.65,46355.3,0.48
2018-01-11,11.14,11.57,11.54,11.06,104633.91,0.39,3.5,11.208,11.084,11.211,55195.95,49465.39,44977.29,0.95
2018-01-10,11.08,11.22,11.16,10.96,53814.92,0.12,1.09,11.128,11.0,11.23,42267.95,42364.72,41619.46,0.49
2018-01-09,11.12,11.13,11.05,11.03,37491.06,-0.08,-0.72,11.122,10.967,11.278,43905.91,41262.29,41861.27,0.34
2018-01-08,11.18,11.2,11.13,10.97,43432.94,-0.03,-0.27,11.092,10.94,11.324,44720.4,46712.38,41687.43,0.39
2018-01-05,11.2,11.29,11.16,11.12,36606.91,0.04,0.36,11.032,10.953,11.356,42728.05,45901.05,40726.43,0.33
2018-01-04,11.14,11.25,11.14,11.05,39993.94,-0.01,-0.09,10.96,10.972,11.383,43734.84,47850.25,40018.82,0.36
2018-01-03,10.95,11.25,11.13,10.9,62004.69,0.23,2.11,10.872,11.012,11.413,42461.48,46769.63,39894.51,0.56
2018-01-02,10.83,10.94,10.9,10.83,41563.5,0.07,0.65,10.812,11.069,11.44,38618.67,43303.7,40728.33,0.38
2017-12-29,10.76,10.9,10.83,10.73,33471.23,0.04,0.37,10.788,11.14,11.507,48704.37,43005.31,40262.42,0.3
2017-12-28,10.71,10.86,10.8,10.64,41640.83,0.08,0.75,10.874,11.232,11.577,49074.05,42109.95,40630.93,0.38
2017-12-27,10.82,10.86,10.7,10.7,33627.16,-0.12,-1.11,10.984,11.337,11.644,51965.66,40489.18,40105.19,0.3
2017-12-26,10.74,10.85,10.83,10.69,42790.62,0.06,0.56,11.152,11.46,11.715,51077.78,40874.2,39995.28,0.39
2017-12-25,11.3,11.37,10.78,10.66,91992.0,-0.49,-4.35,11.326,11.589,11.784,47988.74,42460.25,38982.49,0.83
2017-12-22,11.4,11.4,11.26,11.22,35319.66,-0.08,-0.7,11.492,11.707,11.853,37306.26,36662.48,35570.69,0.32
2017-12-21,11.53,11.58,11.35,11.27,56098.85,-0.19,-1.65,11.59,11.758,11.898,35145.85,35551.81,35031.43,0.51
2017-12-20,11.69,11.76,11.54,11.5,29187.78,-0.17,-1.45,11.69,11.793,11.942,29012.71,32187.4,33962.34,0.26
2017-12-19,11.65,11.77,11.7,11.6,27345.4,0.09,0.78,11.768,11.814,11.986,30670.62,33019.4,34090.97,0.25
2017-12-18,11.74,11.83,11.61,11.55,38579.61,-0.15,-1.28,11.852,11.811,12.024,36931.77,38152.96,34323.91,0.35
2017-12-15,11.88,11.92,11.75,11.7,24517.62,-0.1,-0.84,11.922,11.874,12.066,36018.7,37519.53,34976.23,0.22
2017-12-14,11.97,11.97,11.85,11.82,25433.12,-0.08,-0.67,11.926,11.921,12.112,35957.77,39151.91,38082.2,0.23
2017-12-13,12.07,12.12,11.93,11.85,37477.35,-0.19,-1.57,11.896,11.951,12.18,35362.09,39721.2,39647.32,0.34
2017-12-12,11.95,12.38,12.12,11.88,58651.16,0.16,1.34,11.86,11.97,12.239,35368.17,39116.36,39321.3,0.53
2017-12-11,11.78,11.98,11.96,11.74,34014.27,0.18,1.53,11.77,11.979,12.284,39374.15,35504.72,38793.39,0.31
2017-12-08,11.7,11.84,11.77,11.66,24212.93,0.05,0.43,11.826,11.999,12.348,39020.35,34478.9,38929.6,0.22
2017-12-07,11.77,11.8,11.7,11.65,22454.76,-0.07,-0.59,11.916,12.038,12.425,42346.06,34511.05,39468.41,0.2
2017-12-06,11.62,11.79,11.75,11.57,37507.74,0.08,0.69,12.006,12.091,12.51,44080.31,35737.29,40514.99,0.34
2017-12-05,12.19,12.27,11.67,11.55,78681.06,-0.58,-4.74,12.08,12.158,12.592,42864.54,35162.55,41352.91,0.71
2017-12-04,12.17,12.43,12.24,12.16,32245.26,0.01,0.08,12.188,12.237,12.665,31635.29,30494.86,39097.99,0.29
2017-12-01,12.17,12.44,12.22,12.1,40841.47,0.07,0.58,12.172,12.258,12.706,29937.46,32432.94,39097.68,0.37
2017-11-30,12.11,12.26,12.15,12.08,31126.0,0.03,0.25,12.16,12.303,12.74,26676.05,37012.49,40406.08,0.28
2017-11-29,12.28,12.28,12.12,12.04,31428.93,-0.08,-0.66,12.176,12.408,12.788,27394.27,39573.44,41144.73,0.28
2017-11-28,12.1,12.25,12.21,12.08,22534.8,0.06,0.49,12.236,12.508,12.847,27460.56,39526.23,41715.2,0.2
2017-11-27,12.17,12.25,12.16,12.07,23756.1,0.0,0.0,12.286,12.589,12.899,29354.42,42082.06,42271.42,0.21
2017-11-24,12.1,12.3,12.16,12.06,24534.4,-0.07,-0.57,12.344,12.697,12.947,34928.42,43380.3,45505.71,0.22
2017-11-23,12.5,12.5,12.23,12.21,34717.12,-0.21,-1.69,12.446,12.811,13.022,47348.94,44425.76,46517.89,0.31
2017-11-22,12.48,12.65,12.42,12.41,31760.36,-0.03,-0.24,12.64,12.928,13.097,51752.62,45292.7,47611.01,0.29
2017-11-21,12.43,12.61,12.46,12.32,32004.13,0.01,0.08,12.78,13.025,13.157,51591.91,47543.28,48276.64,0.29
2017-11-20,12.67,12.68,12.45,12.18,51626.08,-0.2,-1.58,12.892,13.093,13.211,54809.7,47701.12,50769.03,0.47
2017-11-17,13.23,13.29,12.67,12.6,86637.03,-0.52,-3.94,13.05,13.153,13.277,51832.18,45762.42,52908.22,0.78
2017-11-16,13.01,13.39,13.2,12.96,56735.48,0.08,0.61,13.176,13.176,13.344,41502.58,43799.67,52301.81,0.51
2017-11-15,13.08,13.22,13.12,12.97,30956.82,0.1,0.77,13.216,13.168,13.377,38832.79,42716.03,54313.62,0.28
2017-11-14,13.22,13.25,13.02,12.98,48093.07,-0.23,-1.74,13.27,13.186,13.423,43494.65,43904.17,59545.84,0.43
2017-11-13,13.29,13.34,13.24,13.21,36738.51,-0.05,-0.38,13.294,13.208,13.493,40592.54,42460.77,66150.08,0.33
2017-11-10,13.37,13.44,13.3,13.27,34989.04,-0.09,-0.67,13.256,13.196,13.572,39692.65,47631.12,82285.55,0.32
2017-11-09,13.37,13.45,13.4,13.25,43386.5,0.01,0.07,13.176,13.232,13.669,46096.76,48610.02,101667.71,0.39
2017-11-08,13.15,13.39,13.39,13.08,54266.14,0.25,1.9,13.12,13.265,13.754,46599.26,49929.32,116261.1,0.49
2017-11-07,13.05,13.15,13.14,13.01,33582.51,0.09,0.69,13.102,13.288,13.803,44313.69,49010.01,121000.4,0.3
2017-11-06,13.01,13.07,13.05,12.87,32239.06,0.15,1.16,13.122,13.329,13.863,44329.01,53836.94,123078.02,0.29
2017-11-03,13.17,13.18,12.9,12.8,67009.61,-0.22,-1.68,13.136,13.401,13.927,55569.59,60054.02,127345.37,0.61
2017-11-02,13.25,13.29,13.12,13.1,45899.0,-0.18,-1.35,13.288,13.512,13.974,51123.27,60803.94,126218.48,0.42
2017-11-01,13.3,13.44,13.3,13.24,42838.28,0.06,0.45,13.41,13.585,14.008,53259.37,65911.22,126216.05,0.39
2017-10-31,13.14,13.3,13.24,13.1,33659.09,0.12,0.92,13.474,13.66,14.039,53706.32,75187.5,126257.74,0.3
2017-10-30,13.64,13.69,13.12,13.1,88441.95,-0.54,-3.95,13.536,13.778,14.069,63344.87,89839.38,128936.79,0.8
2017-10-27,13.75,13.8,13.66,13.64,44778.01,-0.07,-0.51,13.666,13.947,14.116,64538.46,116939.99,128439.15,0.4
2017-10-26,13.6,13.81,13.73,13.6,56579.52,0.11,0.81,13.736,14.106,14.156,70484.61,154725.4,132825.35,0.51
2017-10-25,13.54,13.67,13.62,13.53,45073.03,0.07,0.52,13.76,14.242,14.174,78563.07,182592.88,133150.48,0.41
2017-10-24,13.74,13.74,13.55,13.44,81851.86,-0.22,-1.6,13.846,14.317,14.213,96668.68,192990.79,134386.58,0.74
2017-10-23,13.95,13.95,13.77,13.62,94409.89,-0.24,-1.71,14.02,14.396,14.254,116333.88,192319.09,134544.27,0.85
2017-10-20,13.86,14.05,14.01,13.75,74508.75,0.16,1.16,14.228,14.452,14.28,169341.52,194636.72,132840.81,0.67
2017-10-19,14.0,14.13,13.85,13.73,96971.81,-0.2,-1.42,14.476,14.435,14.293,238966.19,191633.03,132976.35,0.88
2017-10-18,14.49,14.54,14.05,14.0,135601.09,-0.37,-2.57,14.724,14.431,14.322,286622.69,186520.88,131866.74,1.23
2017-10-17,14.66,14.68,14.42,14.19,180177.88,-0.39,-2.63,14.788,14.417,14.335,289312.89,177327.98,129375.89,1.63
2017-10-16,15.15,15.9,14.81,14.67,359448.06,-0.44,-2.88,14.772,14.36,14.335,268304.3,168034.2,125193.5,3.25
2017-10-13,14.92,15.68,15.25,14.8,422632.12,0.16,1.06,14.676,14.285,14.326,219931.93,139938.3,111786.02,3.82
2017-10-12,14.34,15.4,15.09,14.17,335254.31,0.72,5.01,14.394,14.206,14.293,144299.86,110925.3,96423.73,3.03
2017-10-11,14.35,14.7,14.37,14.29,149052.08,0.03,0.21,14.138,14.106,14.277,86419.06,83708.07,89006.91,1.35
2017-10-10,14.25,14.42,14.34,14.18,75134.91,0.01,0.07,14.046,14.109,14.318,65343.07,75782.37,96786.05,0.68
2017-10-09,13.88,14.43,14.33,13.88,117586.21,0.49,3.54,13.948,14.111,14.344,67764.1,76769.46,99567.51,1.06
2017-09-29,13.78,13.93,13.84,13.78,44471.8,0.03,0.22,13.894,14.107,14.36,59944.68,71044.89,98228.41,0.4
2017-09-28,13.89,13.89,13.81,13.76,45850.3,-0.1,-0.72,14.018,14.15,14.407,77550.73,74319.68,103067.12,0.41
2017-09-27,13.76,13.94,13.91,13.76,43672.11,0.06,0.43,14.074,14.212,14.443,80997.08,77212.6,103610.64,0.39
2017-09-26,14.06,14.12,13.85,13.77,87240.1,-0.21,-1.49,14.172,14.253,14.472,86221.68,81423.8,105688.44,0.79
2017-09-25,14.3,14.44,14.06,14.04,78489.07,-0.4,-2.77,14.274,14.31,14.519,85774.82,82352.8,106687.77,0.71
2017-09-22,14.08,14.48,14.46,13.88,132502.09,0.37,2.63,14.32,14.366,14.546,82145.11,83633.74,108001.28,1.2
2017-09-21,14.39,14.39,14.09,14.08,63082.05,-0.31,-2.15,14.282,14.38,14.551,71088.62,81922.16,105946.67,0.57
2017-09-20,14.37,14.45,14.4,14.18,69795.09,0.04,0.28,14.35,14.448,14.572,73428.11,94305.75,106162.23,0.63
2017-09-19,14.29,14.46,14.36,14.24,85005.78,0.07,0.49,14.334,14.527,14.573,76625.91,117789.74,106979.29,0.77
2017-09-18,14.25,14.32,14.29,14.17,60340.54,0.02,0.14,14.346,14.577,14.588,78930.78,122365.57,106989.25,0.55
2017-09-15,14.4,14.42,14.27,14.14,77219.66,-0.16,-1.11,14.412,14.613,14.614,85122.37,125411.93,107664.26,0.7
2017-09-14,14.34,14.45,14.43,14.27,74779.48,0.11,0.77,14.478,14.664,14.638,92755.69,131814.57,109553.12,0.68
2017-09-13,14.42,14.46,14.32,14.18,85784.11,-0.1,-0.69,14.546,14.674,14.67,115183.38,130008.69,111668.55,0.78
2017-09-12,14.57,14.61,14.42,14.38,96530.13,-0.2,-1.37,14.72,14.691,14.706,158953.56,129953.08,116489.84,0.87
2017-09-11,14.6,14.69,14.62,14.5,91298.46,0.02,0.14,14.808,14.727,14.743,165800.36,131022.75,124325.48,0.83
2017-09-08,14.77,14.84,14.6,14.45,115386.25,-0.17,-1.15,14.814,14.726,14.744,165701.49,132368.81,129670.27,1.04
2017-09-07,15.0,15.2,14.77,14.75,186917.97,-0.42,-2.77,14.85,14.722,14.723,170873.45,129971.19,130846.77,1.69
2017-09-06,15.53,15.88,15.19,15.1,304634.97,0.33,2.22,14.802,14.696,14.697,144834.0,118018.71,131874.03,2.76
2017-09-05,14.67,14.98,14.86,14.55,130764.13,0.21,1.43,14.662,14.619,14.626,100952.6,96168.84,119554.58,1.18
2017-09-04,14.7,14.76,14.65,14.52,90804.14,-0.13,-0.88,14.646,14.598,14.58,96245.14,91612.92,116720.1,0.82
2017-09-01,14.69,14.96,14.78,14.6,141246.06,0.25,1.72,14.638,14.614,14.537,99036.13,89916.58,115815.49,1.28
2017-08-31,14.42,14.66,14.53,14.42,56720.69,0.04,0.28,14.594,14.611,14.489,89068.92,87291.67,116227.19,0.51
2017-08-30,14.71,14.77,14.49,14.45,85228.0,-0.29,-1.96,14.59,14.666,14.441,91203.43,93328.42,116575.48,0.77
2017-08-29,14.65,14.88,14.78,14.6,107226.83,0.17,1.16,14.576,14.72,14.393,91385.07,103026.6,114991.9,0.97
2017-08-28,14.56,14.78,14.61,14.5,104759.07,0.05,0.34,14.55,14.758,14.337,86980.7,117628.2,113394.39,0.95
2017-08-25,14.52,14.74,14.56,14.41,91410.03,0.05,0.34,14.59,14.762,14.297,80797.04,126971.73,111873.14,0.83
2017-08-24,14.4,14.66,14.51,14.34,67393.22,0.09,0.62,14.628,14.723,14.256,85514.41,131722.34,111165.9,0.61
2017-08-23,14.9,14.93,14.42,14.41,86136.22,-0.23,-1.57,14.742,14.698,14.229,95453.4,145729.34,115942.82,0.78
